,Unnamed: 0,Cand_Name,Cand_Office_St,Cand_Office_Dist,Cand_Party_Affiliation,Year,recent_presidential_vote,percent_bachelor_or_above,gov_party,Party_Previous_Vote_Share,Incumbent,minority_percentage,Gender,Presidential_Approval_Rating,Same_Party_As_President,seat_transition,Median_Income,name_commonness,Primary.Vote.Percent,labor_force,Raised,Spent
1095,1100,"HILL, BARON PAUL",IN,9.0,DEM,2010,0.564570593,19.7,REP,0.5776886210000001,1,0.06448999999999999,1.0,0.45,True,,42314.0,500,69.58,73.6,2167448.66,2167569.97
1099,1096,"LUCAS, JERRY R.",IN,9.0,IND,2010,0.564570593,19.7,REP,0.0,0,0.06448999999999999,1.0,0.45,False,,42314.0,63,,73.6,,
1104,1095,"YOUNG, TODD CHRISTOPHER",IN,9.0,REP,2010,0.564570593,19.7,REP,0.384090069,0,0.06448999999999999,1.0,0.45,False,,42314.0,41,8.13,73.6,1964851.77,1950158.91
1109,1115,"HUELSKAMP, TIMOTHY A",KS,1.0,REP,2010,0.35919299299999996,20.0,DEM,0.818804932,0,0.09922,1.0,0.42,False,0.0,43367.0,21,34.82,74.58421,1185350.41,1252546.71
1110,1114,"JILKA, ALAN",KS,1.0,DEM,2010,0.35919299299999996,20.0,DEM,0.132700065,0,0.09922,1.0,0.42,True,0.0,43367.0,110,100.00,74.58421,162129.69,159052.29
1116,1123,"HUDSPETH, CHERYL",KS,2.0,DEM,2010,0.537680708,26.8,DEM,0.462119437,0,0.1239,0.0,0.42,True,4.0,45992.0,79,44.19,73.08095,13544.0,13954.0
1117,1121,"JENKINS, LYNN",KS,2.0,REP,2010,0.537680708,26.8,DEM,0.506111133,1,0.1239,0.0,0.42,False,4.0,45992.0,164,57.15,73.08095,1471057.18,1170132.52
1131,1139,"MOORE, STEPHENE ANN",KS,3.0,DEM,2010,0.288050615,43.5,DEM,0.564404305,0,0.17726,0.0,0.42,True,0.0,60507.0,500,78.06,73,965853.08,965853.08
1133,1127,"ROSE, STEVE",KS,3.0,REP,2010,0.288050615,43.5,DEM,0.396555183,0,0.17726,1.0,0.42,False,0.0,60507.0,159,,73,1972243.33,1946870.53
1138,1134,"YODER, KEVIN W",KS,3.0,REP,2010,0.288050615,43.5,DEM,0.396555183,0,0.17726,1.0,0.42,False,0.0,60507.0,13,44.42,73,1972243.33,1946870.53
1141,1140,"GOYLE, RAJ",KS,4.0,DEM,2010,0.37512960100000003,25.5,DEM,0.32382394,0,0.1834,1.0,0.42,True,,45291.0,500,79.73,71.2,1891732.75,1872201.37
1145,1149,"POMPEO, MICHAEL RICHARD",KS,4.0,REP,2010,0.37512960100000003,25.5,DEM,0.634099583,0,0.1834,1.0,0.42,False,,45291.0,1,38.72,71.2,2241023.49,2122256.32
1150,1151,"HATCHETT, CHARLES KENDALL",KY,1.0,DEM,2010,0.25671959899999997,13.9,REP,0.356499245,0,0.10057999999999999,1.0,0.4,True,4.0,36752.0,23,100.00,69.7,0.0,0.0
1151,1152,"WHITFIELD, ED",KY,1.0,REP,2010,0.25671959899999997,13.9,REP,0.643482691,1,0.10057999999999999,1.0,0.4,False,4.0,36752.0,40,100.00,69.7,1259408.75,859805.36
1152,1153,"GUTHRIE, S. BRETT",KY,2.0,REP,2010,0.36175190399999996,16.3,REP,0.525729785,1,0.09973,1.0,0.4,False,4.0,41459.0,500,100.00,68.2,1233305.24,983293.52
1153,1154,"MARKSBERRY, WARREN E",KY,2.0,DEM,2010,0.36175190399999996,16.3,REP,0.474270215,0,0.09973,1.0,0.4,True,4.0,41459.0,500,100.00,68.2,8253.34,8255.57
1158,1161,"LALLY, TODD",KY,3.0,REP,2010,0.364627434,29.0,REP,0.40634592399999997,0,0.26341,1.0,0.4,False,0.0,42397.0,41,51.90,69.6,739493.09,739484.09
1159,1155,"MARTIN, EDWARD",KY,3.0,LIB,2010,0.364627434,29.0,REP,0.0,0,0.26341,1.0,0.4,False,0.0,42397.0,40,0.81,69.6,,
1163,1158,"YARMUTH, JOHN A MR",KY,3.0,DEM,2010,0.364627434,29.0,REP,0.593654076,1,0.26341,1.0,0.4,True,0.0,42397.0,6,100.00,69.6,1537400.97,1318581.96
1164,1165,"DAVIS, GEOFFREY C.",KY,4.0,REP,2010,0.175894988,22.0,REP,0.630337455,1,0.05947,1.0,0.4,False,0.0,46707.0,193,100.00,69.26,1591164.03,1514778.54
1165,1166,"WALTZ, JOHN WILLIAM",KY,4.0,DEM,2010,0.175894988,22.0,REP,0.369662545,0,0.05947,1.0,0.4,True,0.0,46707.0,6,100.00,69.26,444682.4,412046.31
1166,1169,"HOLBERT, JAMES E ''JIM''",KY,5.0,DEM,2010,0.321213707,11.5,REP,0.0,0,0.02962,1.0,0.4,True,0.0,28411.0,5,41.00,76.3,13012.0,12502.0
1168,1170,"ROGERS, HAROLD DALLAS",KY,5.0,REP,2010,0.321213707,11.5,REP,0.8410969840000001,1,0.02962,1.0,0.4,False,0.0,28411.0,152,100.00,76.3,895671.36,1098006.75
1171,1176,"BARR, GARLAND ''ANDY''",KY,6.0,REP,2010,0.428511606,28.5,REP,0.35342163200000004,0,0.14378,1.0,0.4,False,,42936.0,500,63.93,74.6,1580018.1,1554521.77
1172,1171,"CHANDLER, A.B. III",KY,6.0,DEM,2010,0.428511606,28.5,REP,0.646578368,1,0.14378,1.0,0.4,True,,42936.0,500,100.00,74.6,1674099.52,2665906.21
1179,1182,"KATZ, MYRON B",LA,1.0,DEM,2010,0.505241861,29.0,REP,0.343182631,0,0.21852,1.0,0.43,True,4.0,49866.0,500,100.00,73.8381,64420.0,60708.38
1180,1181,"SCALISE, STEVE MR.",LA,1.0,REP,2010,0.505241861,29.0,REP,0.656817369,1,0.21852,1.0,0.43,False,4.0,49866.0,159,100.00,73.8381,1358024.47,1007473.53
1182,1188,"AUSTIN, RON",LA,2.0,IND,2010,,21.9,REP,0.0,0,0.67408,1.0,0.43,False,4.0,37162.0,43,,74.2,,
1184,1191,"CAO, ANH 'JOSEPH'",LA,2.0,REP,2010,,21.9,REP,0.49537992299999994,1,0.67408,0.0,0.43,False,4.0,37162.0,500,100.00,74.2,2079914.93,2097805.85
1190,1187,"RICHMOND, CEDRIC L",LA,2.0,DEM,2010,,21.9,REP,0.468257528,0,0.67408,1.0,0.43,True,4.0,37162.0,500,60.50,74.2,1139878.66,1134506.11
1192,1197,"LANDRY, JEFFREY M",LA,3.0,REP,2010,,13.4,REP,0.0,0,0.33588,1.0,0.43,False,4.0,46048.0,15,49.62,72.1,1362786.05,1362330.02
1196,1193,"SANGISETTY, RAVI",LA,3.0,DEM,2010,,13.4,REP,1.0,0,0.33588,1.0,0.43,True,4.0,46048.0,500,100.00,72.1,828013.7,836316.07
1198,1198,"FLEMING, JOHN CALVIN JR.",LA,4.0,REP,2010,,18.5,REP,0.480717712,1,0.38606999999999997,1.0,0.43,False,4.0,38966.0,6,100.00,72.8,1448368.96,1271949.79
1200,1201,"MELVILLE, DAVID ROLAND JR",LA,4.0,DEM,2010,,18.5,REP,0.47693687100000004,0,0.38606999999999997,1.0,0.43,True,4.0,38966.0,4,81.10,72.8,229078.71,228313.15
1201,1203,"ALEXANDER, RODNEY M. MR.",LA,5.0,REP,2010,0.5799323679999999,17.1,REP,1.0,1,0.379,1.0,0.43,False,4.0,36401.0,74,88.94,72,1260754.53,1239962.91
1202,1202,"GIBBS, 'TOM' JR.",LA,5.0,NNE,2010,0.5799323679999999,17.1,REP,0.0,0,0.379,1.0,0.43,False,4.0,36401.0,500,,72,,
1204,1206,"CASSIDY, WILLIAM",LA,6.0,REP,2010,,26.7,REP,0.481191744,1,0.39121999999999996,1.0,0.43,False,4.0,49016.0,9,100.00,70.9,1584256.37,738170.53
1205,1205,"MCDONALD, MERRITT E. SR.",LA,6.0,DEM,2010,,26.7,REP,0.40294351100000003,0,0.39121999999999996,1.0,0.43,True,4.0,49016.0,500,100.00,70.9,0.0,0.0
1206,1207,"BOUSTANY, CHARLES DR. JR.",LA,7.0,REP,2010,,18.9,REP,0.6188390460000001,1,0.29074,1.0,0.43,False,,,23,100.00,71.5,1677845.14,1258637.84
1208,1211,"ENGEL, MICHAEL",MA,1.0,IND,2010,,29.1,DEM,0.0,0,0.09316,1.0,0.56,False,4.0,50865.0,1,,72.4,,
1209,1209,"GUNN, WILLIAM LESLIE JR",MA,1.0,REP,2010,,29.1,DEM,0.270713375,0,0.09316,1.0,0.56,False,4.0,50865.0,9,99.49,72.4,60341.51,53347.99
1210,1210,"OLVER, JOHN WALTER",MA,1.0,DEM,2010,,29.1,DEM,0.729286625,1,0.09316,1.0,0.56,True,4.0,50865.0,6,99.54,72.4,863992.01,908833.64
1214,1215,"NEAL, RICHARD E MR.",MA,2.0,DEM,2010,,28.0,DEM,1.0,1,0.16399999999999998,1.0,0.56,True,0.0,55932.0,16,98.68,69.17368,2273404.61,2304755.73
1215,1212,"WESLEY, TOM",MA,2.0,REP,2010,,28.0,DEM,0.0,0,0.16399999999999998,1.0,0.56,False,0.0,55932.0,20,56.08,69.17368,176927.29,171637.43
1220,1223,"LAMB, MARTIN A",MA,3.0,REP,2010,,36.9,DEM,0.0,0,0.14138,1.0,0.56,False,3.0,61622.0,115,31.12,65.57143,120736.51,105305.41
1221,1218,"MCGOVERN, JIM",MA,3.0,DEM,2010,,36.9,DEM,1.0,1,0.14138,1.0,0.56,True,3.0,61622.0,5,99.15,65.57143,1839052.44,2145194.78
1222,1222,"STOPA, MICHAEL",MA,3.0,REP,2010,,36.9,DEM,0.0,0,0.14138,1.0,0.56,False,3.0,61622.0,1,16.54,65.57143,120736.51,105305.41
1224,1230,"BIELAT, SEAN D",MA,4.0,REP,2010,,39.9,DEM,0.253210745,0,0.13982,1.0,0.56,False,3.0,64958.0,39,60.01,63.4,2420925.46,2413466.81
1226,1229,"FRANK, BARNEY",MA,4.0,DEM,2010,,39.9,DEM,0.6802858759999999,1,0.13982,1.0,0.56,True,3.0,64958.0,500,79.40,63.4,4052943.71,4205447.48
1232,1231,"GOLNIK, JONATHAN A",MA,5.0,REP,2010,,38.0,DEM,0.0,0,0.23811,1.0,0.56,False,0.0,68241.0,32,38.55,61.8,401986.01,388775.82
1235,1236,"TSONGAS, NICOLA S",MA,5.0,DEM,2010,,38.0,DEM,1.0,1,0.23811,0.0,0.56,True,0.0,68241.0,500,98.92,61.8,1933422.0,1932911.9
1236,1237,"WEAVER, THOMAS J M",MA,5.0,REP,2010,,38.0,DEM,0.0,0,0.23811,1.0,0.56,False,0.0,68241.0,20,20.80,61.8,401986.01,388775.82
1237,1241,"HUDAK, WILLIAM JOHN JR",MA,6.0,REP,2010,,40.7,DEM,0.295411152,0,0.09963999999999999,1.0,0.56,False,4.0,70330.0,9,76.29,61.9,827876.68,826438.96
1240,1238,"TIERNEY, JOHN F",MA,6.0,DEM,2010,,40.7,DEM,0.704588848,1,0.09963999999999999,1.0,0.56,True,4.0,70330.0,6,98.15,61.9,901893.33,1996268.97
1241,1245,"DEMBROWSKI, GERRY DR",MA,7.0,REP,2010,,44.6,DEM,0.242534305,0,0.20981999999999998,1.0,0.56,False,0.0,71400.0,500,55.98,61.2,73202.31,70675.76
1242,1244,"MARKEY, EDWARD JOHN MR.",MA,7.0,DEM,2010,,44.6,DEM,0.757465695,1,0.20981999999999998,1.0,0.56,True,0.0,71400.0,40,98.79,61.2,1535339.78,1291209.68
1243,1243,"TIERNEY, THOMAS P",MA,7.0,REP,2010,,44.6,DEM,0.242534305,0,0.20981999999999998,1.0,0.56,False,0.0,71400.0,20,98.15,61.2,73202.31,70675.76
1244,1242,"TIERNEY, THOMAS P.",MA,7.0,REP,2010,,44.6,DEM,0.242534305,0,0.20981999999999998,1.0,0.56,False,0.0,71400.0,20,98.15,61.2,73202.31,70675.76
1245,1248,"CAPUANO, MICHAEL E",MA,8.0,DEM,2010,,46.5,DEM,1.0,1,0.44936000000000004,1.0,0.56,True,0.0,47604.0,1,98.94,63.7,3699635.0,3699584.0
1247,1246,"JANKE, WILLIAM SCOTT",MA,8.0,REP,2010,,46.5,DEM,0.0,0,0.44936000000000004,1.0,0.56,False,0.0,47604.0,9,,63.7,,
1250,1249,"HARRISON, VERNON MCKINLEY",MA,9.0,REP,2010,,39.6,DEM,0.0,0,0.25296,1.0,0.56,False,0.0,72927.0,500,62.48,64.6,23057.0,30640.0
1252,1253,"LYNCH, STEPHEN F.",MA,9.0,DEM,2010,,39.6,DEM,1.0,1,0.25296,1.0,0.56,True,0.0,72927.0,33,64.71,64.6,911231.33,1540337.8
1255,1257,"KEATING, WILLIAM RICHARD",MA,10.0,DEM,2010,,39.6,DEM,1.0,0,0.09267,1.0,0.56,True,,,9,50.93,63.72667,1508868.57,1505515.72
1260,1264,"PERRY, JEFFREY DAVIS",MA,10.0,REP,2010,,39.6,DEM,0.0,0,0.09267,1.0,0.56,False,,,15,60.56,63.72667,1292756.77,1229157.63
1267,1271,"HARRIS, ANDREW P",MD,1.0,REP,2010,0.570101878,31.2,DEM,0.483722105,0,0.16907,1.0,0.6,False,3.0,66890.0,28,67.35,75.65238,2359142.16,2383183.91
1269,1270,"KRATOVIL, FRANK M MR. JR",MD,1.0,DEM,2010,0.570101878,31.2,DEM,0.491641006,1,0.16907,1.0,0.6,True,3.0,66890.0,65,100.00,75.65238,2642168.1,2621892.54
1270,1266,"ROBERTS, JOHN A.",MD,1.0,REP,2010,0.570101878,31.2,DEM,0.483722105,0,0.16907,1.0,0.6,False,3.0,66890.0,6,,75.65238,2359142.16,2383183.91
1275,1283,"CARDARELLI, MARCELO GABRIEL",MD,2.0,REP,2010,,24.3,DEM,0.248476941,0,0.43371000000000004,1.0,0.6,False,4.0,56215.0,500,46.09,76.3,203114.54,203114.68
1280,1281,"RUPPERSBERGER, DUTCH",MD,2.0,DEM,2010,,24.3,DEM,0.719681073,1,0.43371000000000004,1.0,0.6,True,4.0,56215.0,500,74.04,76.3,1137058.12,1334073.04
1286,1285,"HARRIS, THOMAS E.",MD,3.0,REP,2010,,42.4,DEM,0.301599002,0,0.29784,1.0,0.6,False,0.0,70113.0,20,67.35,75.5,45015.0,41109.48
1287,1288,"KIBLER, JOHN",MD,3.0,DEM,2010,,42.4,DEM,0.698400998,0,0.29784,1.0,0.6,True,0.0,70113.0,6,4.54,75.5,908856.49,829908.82
1292,1286,"MILLER, MICHAEL",MD,3.0,DEM,2010,,42.4,DEM,0.698400998,0,0.29784,1.0,0.6,True,0.0,70113.0,1,8.28,75.5,908856.49,829908.82
1293,1291,"SARBANES, JOHN P. MR.",MD,3.0,DEM,2010,,42.4,DEM,0.698400998,1,0.29784,1.0,0.6,True,0.0,70113.0,6,83.04,75.5,908856.49,829908.82
1294,1293,"WILHELM, JIM",MD,3.0,REP,2010,,42.4,DEM,0.301599002,0,0.29784,1.0,0.6,False,0.0,70113.0,5,36.04,75.5,45015.0,41109.48
1295,1299,"BROADUS, ROBERT",MD,4.0,REP,2010,,35.9,DEM,0.128710404,0,0.7229800000000001,1.0,0.6,False,0.0,71863.0,7,100.00,73.8,8861.0,5724.0
1296,1298,"EDWARDS, DONNA",MD,4.0,DEM,2010,,35.9,DEM,0.8595445509999999,1,0.7229800000000001,0.0,0.6,True,0.0,71863.0,64,83.56,73.8,672649.98,675839.95
1302,1302,"GALL, ANDREW CHARLES",MD,5.0,DEM,2010,,32.4,DEM,0.737274697,0,0.47472,1.0,0.6,True,0.0,83020.0,28,9.75,74.1,4511873.27,4687712.78
1303,1305,"HOYER, STENY HAMILTON",MD,5.0,DEM,2010,,32.4,DEM,0.737274697,1,0.47472,1.0,0.6,True,0.0,83020.0,500,85.66,74.1,4511873.27,4687712.78
1304,1307,"LOLLAR, CHARLES J",MD,5.0,REP,2010,,32.4,DEM,0.239987337,0,0.47472,1.0,0.6,False,0.0,83020.0,23,57.97,74.1,585295.22,575230.63
1307,1316,"BARTLETT, ROSCOE G. JR.",MD,6.0,REP,2010,,29.0,DEM,0.578225462,1,0.12345,1.0,0.6,False,4.0,69501.0,500,69.84,76.7,334112.78,387788.9
1309,1315,"DUCK, ANDREW JAMES",MD,6.0,DEM,2010,,29.0,DEM,0.388278976,0,0.12345,1.0,0.6,True,4.0,69501.0,28,65.36,76.7,45905.37,45905.37
1317,1321,"CUMMINGS, ELIJAH E",MD,7.0,DEM,2010,,33.8,DEM,0.7956964040000001,1,0.6673,1.0,0.6,True,0.0,51012.0,500,91.02,76.4,796199.93,627514.56
1319,1317,"MIRABILE, FRANK CHARLES JR",MD,7.0,REP,2010,,33.8,DEM,0.185984092,0,0.6673,1.0,0.6,False,0.0,51012.0,65,55.97,76.4,12353.0,10369.96
1325,1328,"LONG, ROBERT",MD,8.0,DEM,2010,,55.7,DEM,0.7515284740000001,0,0.43712,1.0,0.6,True,,85926.0,7,7.06,76,1901713.03,2570774.52
1327,1332,"PHILIPS, MICHAEL LEE",MD,8.0,REP,2010,,55.7,DEM,0.217048254,0,0.43712,1.0,0.6,False,,85926.0,1,32.09,76,166729.09,151763.34
1332,1330,"VAN HOLLEN, CHRIS",MD,8.0,DEM,2010,,55.7,DEM,0.7515284740000001,1,0.43712,1.0,0.6,True,,85926.0,500,92.94,76,1901713.03,2570774.52
1335,1336,"PINGREE, CHELLIE M",ME,1.0,DEM,2010,,32.2,DEM,0.5489896120000001,1,0.04689,0.0,0.48,True,0.0,53011.0,500,100.00,74.9,1282674.73,1290022.33
1336,1337,"SCONTRAS, DEAN P",ME,1.0,REP,2010,,32.2,DEM,0.451010388,0,0.04689,1.0,0.48,False,0.0,53011.0,177,100.00,74.9,491374.12,491374.12
1337,1339,"LEVESQUE, JASON JOHN",ME,2.0,REP,2010,0.440298289,20.7,DEM,0.325646268,0,0.04633,1.0,0.48,False,,39465.0,3,100.00,76.2,542625.74,529782.73
1338,1338,"MICHAUD, MICHAEL H.",ME,2.0,DEM,2010,0.440298289,20.7,DEM,0.674353732,1,0.04633,1.0,0.48,True,,39465.0,1,100.00,76.2,1044371.88,1244847.93
1340,1353,"BENISHEK, DANIEL J",MI,1.0,REP,2010,0.530001617,18.6,,0.327419807,0,0.06799,1.0,0.51,False,4.0,38761.0,12,38.14,73.8,1379310.6,1343624.48
1345,1345,"HOOPER, DON",MI,1.0,REP,2010,0.530001617,18.6,,0.327419807,0,0.06799,1.0,0.51,False,4.0,38761.0,42,5.59,73.8,1379310.6,1343624.48
1347,1352,"MCDOWELL, GARY J.",MI,1.0,DEM,2010,0.530001617,18.6,,0.650373967,0,0.06799,1.0,0.51,True,4.0,38761.0,47,100.00,73.8,838207.84,838159.65
1357,1357,"HUIZENGA, WILLIAM P",MI,2.0,REP,2010,0.612922173,21.1,,0.6236364320000001,0,0.11249,1.0,0.51,False,4.0,44527.0,9,25.40,73.23158,684347.06,633952.16
1358,1364,"JOHNSON, FREDDIE LEE III",MI,2.0,DEM,2010,0.612922173,21.1,,0.348100399,0,0.11249,1.0,0.51,True,4.0,44527.0,500,59.94,73.23158,125473.88,119304.67
1359,1363,"KUIPERS, WAYNE",MI,2.0,REP,2010,0.612922173,21.1,,0.6236364320000001,0,0.11249,1.0,0.51,False,4.0,44527.0,112,21.81,73.23158,684347.06,633952.16
1366,1370,"AMASH, JUSTIN",MI,3.0,REP,2010,,27.8,,0.611058474,0,0.15728,1.0,0.51,False,1.0,47614.0,38,40.35,72.12381,1103513.44,1093007.4
1370,1376,"JOHNSON, LOUISE E",MI,3.0,REP,2010,,27.8,,0.611058474,0,0.15728,0.0,0.51,False,1.0,47614.0,500,59.94,72.12381,1103513.44,1093007.4
1373,1372,"MILES, PATRICK A JR",MI,3.0,DEM,2010,,27.8,,0.353687057,0,0.15728,1.0,0.51,True,1.0,47614.0,37,68.53,72.12381,990598.95,987809.61
1375,1369,"ROGERS, JAMES MATTHEW",MI,3.0,LIB,2010,,27.8,,0.035254469,0,0.15728,1.0,0.51,False,1.0,47614.0,5,99.98,72.12381,,
1378,1381,"CAMP, DAVID LEE",MI,4.0,REP,2010,,21.2,,0.6194096379999999,0,0.07007000000000001,1.0,0.51,False,4.0,41496.0,4,100.00,71.1,3051807.73,2148414.58
1379,1382,"CAMPBELL, JERRY MELVIN",MI,4.0,DEM,2010,,21.2,,0.356815783,0,0.07007000000000001,1.0,0.51,True,4.0,41496.0,63,100.00,71.1,15881.0,15880.0
1380,1379,"EMERICK, JOHN",MI,4.0,TX,2010,,21.2,,0.0,0,0.07007000000000001,1.0,0.51,False,4.0,41496.0,6,,71.1,,
1383,1389,"KILDEE, DALE",MI,5.0,DEM,2010,,17.6,,0.703598218,1,0.2329,1.0,0.51,True,4.0,38495.0,148,78.43,71.6,622561.45,1207957.97
1384,1385,"KUPIEC, JOHN",MI,5.0,REP,2010,,17.6,,0.269642716,0,0.2329,1.0,0.51,False,4.0,38495.0,6,55.69,71.6,356588.53,356390.24
1389,1393,"COONEY, DON",MI,6.0,DEM,2010,0.456576305,24.0,,0.3856047,0,0.14975,1.0,0.51,True,4.0,42521.0,42,100.00,70.2,62446.55,61614.14
1390,1390,"FOSTER, PAT",MI,6.0,GRE,2010,0.456576305,24.0,,0.010987155,0,0.14975,0.0,0.51,False,4.0,42521.0,37,,70.2,,
1392,1394,"MILLER, PATRICK",MI,6.0,TX,2010,0.456576305,24.0,,0.0,0,0.14975,1.0,0.51,False,4.0,42521.0,37,100.00,70.2,,
1394,1395,"UPTON, FREDERICK STEPHEN",MI,6.0,REP,2010,0.456576305,24.0,,0.58864181,1,0.14975,1.0,0.51,False,4.0,42521.0,135,57.12,70.2,2014320.67,2083790.2
1401,1401,"SCHAUER, MARK HAMILTON",MI,7.0,DEM,2010,0.47808619399999996,22.3,,0.48780586200000003,1,0.10948,1.0,0.51,True,4.0,46606.0,18,100.00,72.2,3255381.61,3261650.68
1403,1405,"WALBERG, TIMOTHY L.",MI,7.0,REP,2010,0.47808619399999996,22.3,,0.464745599,0,0.10948,1.0,0.51,False,4.0,46606.0,21,57.47,72.2,1678049.16,1647378.98
1406,1410,"ENDERLE, LANCE LYLE",MI,8.0,DEM,2010,,32.0,,0.0,0,0.12247999999999999,1.0,0.51,True,0.0,54323.0,129,6.01,70,12339.0,12169.0
1409,1406,"ROGERS, MICHAEL J",MI,8.0,REP,2010,,32.0,,0.565276668,1,0.12247999999999999,1.0,0.51,False,0.0,54323.0,1,99.98,70,1778686.59,861380.99
1417,1419,"PETERS, GARY",MI,9.0,DEM,2010,,47.6,,0.5208246320000001,1,0.2249,1.0,0.51,True,4.0,62098.0,47,100.00,71.4,3284645.92,3236451.51
1418,1412,"RACZKOWSKI, ANDREW ROCKY",MI,9.0,REP,2010,,47.6,,0.426280603,0,0.2249,1.0,0.51,False,4.0,62098.0,28,41.97,71.4,2038244.18,1995897.75
1422,1424,"MILLER, CANDICE S.",MI,10.0,REP,2010,,21.1,,0.663029375,1,0.06569,0.0,0.51,False,4.0,51487.0,500,100.00,71.05333,761648.76,846119.38
1423,1422,"YANEZ, HENRY",MI,10.0,DEM,2010,,21.1,,0.311717678,0,0.06569,1.0,0.51,True,4.0,51487.0,120,100.00,71.05333,0.0,0.0
1424,1427,"MCCOTTER, THADDEUS G. MR.",MI,11.0,REP,2010,,33.6,,0.514108499,1,0.18052,1.0,0.51,False,4.0,58150.0,500,100.00,75,1195300.81,870514.1
1425,1425,"MOSHER, NATALIE",MI,11.0,DEM,2010,,33.6,,0.45374614,0,0.18052,0.0,0.51,True,4.0,58150.0,105,100.00,75,307081.38,307081.38
1426,1426,"TATAR, JOHN J",MI,11.0,LIB,2010,,33.6,,0.017385031999999998,0,0.18052,1.0,0.51,False,4.0,58150.0,6,,75,,
1428,1433,"LEVIN, SANDER M MR",MI,12.0,DEM,2010,,22.6,,0.7206605540000001,1,0.28344,1.0,0.51,True,4.0,43431.0,500,76.02,75,2345154.74,2392308.92
1432,1429,"VOLARIC, DONALD CECIL",MI,12.0,REP,2010,,22.6,,0.23872717300000001,0,0.28344,1.0,0.51,False,4.0,43431.0,42,100.00,75,62174.24,57382.78
1436,1443,"CLARKE, HANSEN",MI,13.0,DEM,2010,,15.6,,0.741322226,0,0.66238,1.0,0.51,True,4.0,29343.0,500,47.32,74.97895,575898.92,344009.77
1438,1444,"HAULER, JOHN RAYMOND",MI,13.0,REP,2010,,15.6,,0.190764954,0,0.66238,1.0,0.51,False,4.0,29343.0,6,100.00,74.97895,33160.37,16854.93
1444,1449,"CONYERS, JOHN JR.",MI,14.0,DEM,2010,,16.2,,0.923974403,1,0.64646,1.0,0.51,True,4.0,31786.0,6,100.00,74.98571,1137009.84,1227587.39
1448,1447,"UKRAINEC, DONALD WILLIAM",MI,14.0,REP,2010,,16.2,,0.0,0,0.64646,1.0,0.51,False,4.0,31786.0,42,55.43,74.98571,16505.55,16505.55
1451,1458,"DINGELL, JOHN D. MR.",MI,15.0,DEM,2010,,29.7,,0.7070314529999999,1,0.23013000000000003,1.0,0.51,True,,,6,100.00,75,1960194.84,2790615.64
1458,1457,"STEELE, ROBERT L",MI,15.0,REP,2010,,29.7,,0.249527952,0,0.23013000000000003,1.0,0.51,False,,,7,50.76,75,1059928.66,1059928.66
1460,1462,"DEMMER, RANDY LEE",MN,1.0,REP,2010,0.320334894,24.8,DEM,0.32956851600000003,0,0.07091,1.0,0.49,False,4.0,49844.0,77,100.00,73.8,939331.36,893916.6
1466,1468,"WALZ, TIMOTHY J",MN,1.0,DFL,2010,0.320334894,24.8,DEM,0.0,1,0.07091,1.0,0.49,False,4.0,49844.0,21,100.00,73.8,,
1468,1471,"KLINE, JOHN PAUL JR",MN,2.0,REP,2010,0.585029263,36.0,DEM,0.573740648,1,0.12448,1.0,0.49,False,4.0,71862.0,6,100.00,75.5,1552171.91,1404779.03
1469,1470,"MADORE, SHELLY",MN,2.0,DFL,2010,0.585029263,36.0,DEM,0.0,0,0.12448,0.0,0.49,False,4.0,71862.0,122,54.74,75.5,,
1473,1474,"MEFFERT, JAMES A",MN,3.0,DFL,2010,,43.4,DEM,0.0,0,0.18705,1.0,0.49,False,4.0,70552.0,5,100.00,73.6,,
1475,1476,"PAULSEN, ERIK",MN,3.0,REP,2010,,43.4,DEM,0.485307759,1,0.18705,1.0,0.49,False,4.0,70552.0,87,100.00,73.6,2688948.45,2575921.6
1477,1483,"COLLETT, TERESA STANTON",MN,4.0,REP,2010,0.6725127879999999,37.3,DEM,0.313879265,0,0.25347,1.0,0.49,False,4.0,51277.0,52,67.20,75,216531.81,211206.35
1481,1480,"MCCOLLUM, BETTY",MN,4.0,DFL,2010,0.6725127879999999,37.3,DEM,0.0,1,0.25347,0.0,0.49,False,4.0,51277.0,500,86.55,75,,
1483,1489,"CAVLAN, MICHAEL J",MN,5.0,OTH,2010,,40.9,DEM,0.0,0,0.28255,1.0,0.49,False,4.0,49135.0,1,,74.61333,,
1484,1487,"DEMOS, JOEL ALEXANDER",MN,5.0,REP,2010,,40.9,DEM,0.220480948,0,0.28255,1.0,0.49,False,4.0,49135.0,75,100.00,74.61333,95234.82,89730.92
1485,1488,"ELLISON, KEITH MAURICE",MN,5.0,DFL,2010,,40.9,DEM,0.0,1,0.28255,1.0,0.49,False,4.0,49135.0,45,81.55,74.61333,,
1491,1496,"BACHMANN, MICHELE M",MN,6.0,REP,2010,0.63717262,29.2,DEM,0.464587672,1,0.07921,0.0,0.49,False,4.0,67049.0,51,100.00,77.2,13562811.19,11661973.44
1492,1495,"CLARK, TARRYL LYNN",MN,6.0,DFL,2010,0.63717262,29.2,DEM,0.0,0,0.07921,0.0,0.49,False,4.0,67049.0,500,69.10,77.2,,
1497,1499,"BYBERG, VIDAR",MN,7.0,REP,2010,0.496066444,19.7,DEM,0.277047819,0,0.07361000000000001,1.0,0.49,False,0.0,46198.0,500,60.95,75.4,396707.42,379260.79
