filler,filler,filler,filler,filler,filler,filler,filler,filler,filler,filler,Party_Previous_Vote_ShareLEFT,IncumbentLEFT,filler,filler,filler,filler,filler,filler,filler,filler,filler,RaisedLEFT,SpentLEFT,filler,filler,filler,filler,filler,filler,filler,filler,filler,filler,filler,Party_Previous_Vote_ShareRIGHT,IncumbentRIGHT,filler,filler,filler,filler,filler,filler,filler,filler,filler,RaisedRIGHT,SpentRIGHT,PollingLEFT,PollingRIGHT,Wave,won
310,2100,2099,"GRAHAM, JAMES J",OH,17,REP,2010,,18.6,DEM,0.218541155,0,0.15608,1,0.49,FALSE,4,,5,71.71,71.77368,71053.27,71052.48,0,2104,2106,"RYAN, TIMOTHY J.",OH,17,DEM,2010,,18.6,DEM,0.781458845,1,0.15608,1,0.49,TRUE,4,,21,78.75,71.77368,1071074.3,1224704.82,0.218541155,0.781458845,-6.8,1
311,2111,2114,"GIBBS, ROBERT BRIAN MR.",OH,18,REP,2010,0.25203252,13.2,DEM,0.401253747,0,0.04275,1,0.49,FALSE,,,7,20.94,71.9381,1123243.79,1090872.45,1,2117,2108,"SPACE, ZACHARY T",OH,18,DEM,2010,0.25203252,13.2,DEM,0.598746253,1,0.04275,1,0.49,TRUE,,,141,100,71.9381,2687568.41,2932435.72,0.57,0.43,-6.8,0
312,2123,2122,"O'DELL, ANGELIA",OK,1,IND,2010,0.615526953,27.7,DEM,0,0,0.266,0,0.37,FALSE,4,45677,500,,71.7,,,0,2125,2125,"SULLIVAN, JOHN",OK,1,REP,2010,0.615526953,27.7,DEM,0.661676257,1,0.266,1,0.37,FALSE,4,45677,6,62.07,71.7,940405.83,808865.65,0,0.661676257,-6.8,1
313,2128,2135,"BOREN, DAVID DANIEL",OK,2,DEM,2010,,15,DEM,0.704690719,1,0.31764,1,0.37,TRUE,4,37011,4,75.55,71.5,1615295.71,1833028.67,1,2132,2131,"THOMPSON, CHARLES LEROY JR",OK,2,REP,2010,,15,DEM,0.295309281,0,0.31764,1,0.37,FALSE,4,37011,23,33.56,71.5,112146.45,104769.67,0.704690719,0.295309281,-6.8,0
314,2135,2137,"LUCAS, FRANK D.",OK,3,REP,2010,0.514413601,20.5,DEM,0.697180728,1,0.19283,1,0.37,FALSE,1,41509,65,100,70.9,1024225.42,1023450.73,1,2136,2136,"ROBBINS, FRANKIE LEE",OK,3,DEM,2010,0.514413601,20.5,DEM,0.235653032,0,0.19283,1,0.37,TRUE,1,41509,65,100,70.9,1975.17,2006.29,0.697180728,0.235653032,-6.8,0
315,2141,2151,"COYLE, BILLY",OK,5,DEM,2010,,27.2,DEM,0.341084083,0,0.32095,1,0.37,TRUE,,41262,84,56.83,71.4,365801.35,358550.45,0,2147,2144,"LANKFORD, JAMES",OK,5,REP,2010,,27.2,DEM,0.658915917,0,0.32095,1,0.37,FALSE,,41262,5,33.58,71.4,1245943.97,1156646.91,0.341084083,0.658915917,-6.8,1
316,2152,2158,"CORNILLES, ROBERT",OR,1,REP,2010,0.476646556,37.5,DEM,0,0,0.19741,1,0.51,FALSE,0,54824,7,41.07,74.5,1045891.18,1012847.71,0,2160,2155,"WU, DAVID",OR,1,DEM,2010,0.476646556,37.5,DEM,0.723985031,1,0.19741,1,0.51,TRUE,0,54824,4,80.92,74.5,1537849.39,1824957.12,0.451666667,0.548333333,-6.8,1
317,2161,2164,"SEGERS, JOYCE B",OR,2,DEM,2010,0.388812779,21.6,DEM,0.258023398,0,0.09842,0,0.51,TRUE,0,41302,500,97.48,73.3,33572.83,33572.83,0,2163,2162,"WALDEN, GREGORY P",OR,2,REP,2010,0.388812779,21.6,DEM,0.696391458,1,0.09842,1,0.51,FALSE,0,41302,29,98.92,73.3,1944719.84,1657952.55,0.258023398,0.696391458,-6.8,1
318,2164,2169,"BLUMENAUER, EARL",OR,3,DEM,2010,,31.2,DEM,0.746956908,1,0.21318,1,0.51,TRUE,4,48726,500,91.23,73.56842,1286059.09,1230380.37,1,2166,2166,"LOPEZ, DELIA",OR,3,REP,2010,,31.2,DEM,0.208787141,0,0.21318,0,0.51,FALSE,4,48726,500,97.65,73.56842,45820.05,43488.44,0.746956908,0.208787141,-6.8,0
319,2170,2174,"DEFAZIO, PETER A.",OR,4,DEM,2010,,23.6,DEM,0,1,0.08979,1,0.51,TRUE,0,39835,55,97.8,73.43333,1315472.59,1484241.19,1,2173,2172,"ROBINSON, ARTHUR BROUHARD",OR,4,REP,2010,,23.6,DEM,0,0,0.08979,1,0.51,FALSE,0,39835,127,18.57,73.43333,1314672.28,1293106.48,0.57,0.43,-6.8,0
320,2175,2178,"BRUUN, LORENTZ 'SCOTT'",OR,5,REP,2010,,29.1,DEM,0,0,0.14769,1,0.51,FALSE,,49629,500,62.31,74,1153710.16,1153710.16,0,2177,2179,"SCHRADER, KURT",OR,5,DEM,2010,,29.1,DEM,0.544707033,1,0.14769,1,0.51,TRUE,,49629,180,98.38,74,1872836.5,1839622.93,0.518333333,0.481666667,-6.8,1
321,2182,2183,"FATTAH, CHAKA",PA,2,DEM,2010,,30.1,DEM,0.889296451,1,0.67352,0,0.48,TRUE,4,34512,500,100,73.1,458054.95,483673.71,1,2183,2184,"HELLBERG, RICK",PA,2,REP,2010,,30.1,DEM,0.110703549,0,0.67352,1,0.48,FALSE,4,34512,16,100,73.1,15434.37,15099,0.889296451,0.110703549,-6.8,0
322,2184,2190,"DAHLKEMPER, KATHLEEN",PA,3,DEM,2010,,20.7,DEM,0.512367282,1,0.07168,0,0.48,TRUE,4,42639,69,73.24,73,2028593.11,1957701.36,0,2189,2186,"KELLY, GEORGE J JR",PA,3,REP,2010,,20.7,DEM,0.487632718,0,0.07168,1,0.48,FALSE,4,42639,53,28.11,73,1263929.56,1235459.87,0.512367282,0.487632718,-6.8,1
323,2198,2201,"ALTMIRE, JASON",PA,4,DEM,2010,,32.6,DEM,0.558579655,1,0.06959,1,0.48,TRUE,0,54578,3,100,75,2503952.56,2507512.8,1,2201,2203,"ROTHFUS, KEITH J",PA,4,REP,2010,,32.6,DEM,0.441420345,0,0.06959,1,0.48,FALSE,0,54578,45,66.41,75,1294175.2,1265777.98,0.56,0.44,-6.8,0
324,2204,2205,"PIPE, MICHAEL",PA,5,DEM,2010,,19.6,DEM,0.410351707,0,0.05105,1,0.48,TRUE,4,40730,1,100,74.06667,26394.35,19737.18,0,2205,2204,"THOMPSON, GLENN MR.",PA,5,REP,2010,,19.6,DEM,0.567199291,1,0.05105,1,0.48,FALSE,4,40730,157,100,74.06667,1069414.59,973129.4,0.410351707,0.567199291,-6.8,1
325,2208,2211,"GERLACH, JIM",PA,6,REP,2010,,39.6,DEM,0.521010526,1,0.16094,1,0.48,FALSE,0,69222,5,79.81,70.9,2120900.7,2063891.92,1,2214,2215,"TRIVEDI, MANAN",PA,6,DEM,2010,,39.6,DEM,0.478989474,0,0.16094,1,0.48,TRUE,0,69222,500,50.84,70.9,1395083.74,1371562.16,0.55,0.45,-6.8,0
326,2217,2218,"LENTZ, BRYAN ROY",PA,7,DEM,2010,,41.2,DEM,0.595926396,0,0.17567,1,0.48,TRUE,1,69135,46,100,70,1668457.78,1628782.63,0,2218,2222,"MEEHAN, PATRICK L",PA,7,REP,2010,,41.2,DEM,0.404073604,0,0.17567,1,0.48,FALSE,1,69135,37,100,70,3031824.84,2986713.16,0.595926396,0.404073604,-6.8,1
327,2224,2229,"FITZPATRICK, MICHAEL G",PA,8,REP,2010,,33.8,DEM,0.416346499,0,0.10708,1,0.48,FALSE,1,70008,1,76.75,71.37368,2090793.29,2062733.26,1,2230,2233,"MURPHY, PATRICK J.",PA,8,DEM,2010,,33.8,DEM,0.567748877,1,0.10708,1,0.48,TRUE,1,70008,37,100,71.37368,4246047.42,4287243.89,0.5375,0.4625,-6.8,0
328,2234,2235,"CONNERS, J THOMAS",PA,9,DEM,2010,,15.8,DEM,0.360760141,0,0.04222,1,0.48,TRUE,4,45090,500,,72.31905,0,0,0,2235,2234,"SHUSTER, WILLIAM FRANKLIN",PA,9,REP,2010,,15.8,DEM,0.639239859,1,0.04222,1,0.48,FALSE,4,45090,9,100,72.31905,852099.38,805206.21,0.360760141,0.639239859,-6.8,1
329,2236,2237,"CARNEY, CHRISTOPHER P",PA,10,DEM,2010,,20.1,DEM,0.563316498,1,0.05206,1,0.48,TRUE,4,44684,2,100,73.7,1617153.71,1657586.22,0,2239,2238,"MARINO, THOMAS ANTHONY",PA,10,REP,2010,,20.1,DEM,0.436683502,0,0.05206,1,0.48,FALSE,4,44684,20,40.96,73.7,713770.88,704456.52,0.521666667,0.478333333,-6.8,1
330,2241,2244,"BARLETTA, LOU",PA,11,REP,2010,,19.6,DEM,0.48372659,0,0.10783,1,0.48,FALSE,0,43561,500,100,72.4,1253913.35,1254165.44,1,2242,2246,"KANJORSKI, PAUL E.",PA,11,DEM,2010,,19.6,DEM,0.51627341,1,0.10783,1,0.48,TRUE,0,43561,27,49.36,72.4,1877477.21,2083659.88,0.4925,0.5075,-6.8,0
331,2248,2255,"BURNS, TIMOTHY RAYMOND",PA,12,REP,2010,0.601010101,16.8,DEM,0,0,0.0699,1,0.48,FALSE,4,38581,21,56.96,72.9,2159253.47,2148147.29,0,2250,2254,"CRITZ, MARK",PA,12,DEM,2010,0.601010101,16.8,DEM,0.578520649,1,0.0699,1,0.48,TRUE,4,38581,18,71.46,72.9,2437268.03,2428377.66,0.48,0.52,-6.8,1
332,2255,2259,"ADCOCK, CARSON DEE",PA,13,REP,2010,,33.2,DEM,0.345347721,0,0.21841,1,0.48,FALSE,0,58857,500,47.98,71.9,926467.57,923778,0,2260,2261,"SCHWARTZ, ALLYSON Y.",PA,13,DEM,2010,,33.2,DEM,0.627942063,1,0.21841,0,0.48,TRUE,0,58857,500,100,71.9,2906212.12,3481643.41,0.345347721,0.627942063,-6.8,1
333,2262,2265,"DOYLE, MIKE",PA,14,DEM,2010,,27.1,DEM,0.912578143,1,0.29439,1,0.48,TRUE,0,36084,1,100,72.9,726536.84,953031.37,1,2263,2264,"HALUSZCZAK, MELISSA ANN",PA,14,REP,2010,,27.1,DEM,0,0,0.29439,0,0.48,FALSE,0,36084,3,100,72.9,61136.9,57171.27,0.912578143,0,-6.8,0
334,2266,2268,"CALLAHAN, JOHN BURK",PA,15,DEM,2010,,26.6,DEM,0.414290142,0,0.14614,1,0.48,TRUE,0,55099,6,100,73.1,1995389.06,1970811.23,0,2267,2266,"DENT, CHARLES WIEDER",PA,15,REP,2010,,26.6,DEM,0.585709858,1,0.14614,1,0.48,FALSE,0,55099,23,82.92,73.1,2415571.47,2553936.42,0.414290142,0.585709858,-6.8,1
335,2269,2271,"HERR, LOIS K",PA,16,DEM,2010,,26.1,DEM,0.393859755,0,0.12696,0,0.48,TRUE,4,52893,500,100,72.87333,409695.51,373301.17,0,2270,2270,"PITTS, JOSEPH R.",PA,16,REP,2010,,26.1,DEM,0.558150128,1,0.12696,1,0.48,FALSE,4,52893,11,100,72.87333,759217.55,828984.36,0.393859755,0.558150128,-6.8,1
336,2271,2274,"ARGALL, DAVID G",PA,17,REP,2010,,20.4,DEM,0.363205864,0,0.14308,1,0.48,FALSE,0,50798,4,32.33,68.5,374726.33,374726.33,0,2275,2276,"HOLDEN, T. TIMOTHY",PA,17,DEM,2010,,20.4,DEM,0.636794136,1,0.14308,1,0.48,TRUE,0,50798,500,65.27,68.5,1363850.45,1864924.16,0.35,0.65,-6.8,1
337,2277,2280,"CONNOLLY, DANIEL C",PA,18,DEM,2010,0.601010101,33.9,DEM,0.359331552,0,0.06721,1,0.48,TRUE,4,56507,12,100,64.7,290928.57,249231.21,0,2279,2279,"MURPHY, TIM",PA,18,REP,2010,0.601010101,33.9,DEM,0.640668448,1,0.06721,1,0.48,FALSE,4,56507,21,100,64.7,1841765.88,1493261.89,0.359331552,0.640668448,-6.8,1
338,2281,2284,"PLATTS, TODD R",PA,19,REP,2010,,24.6,DEM,0.666459599,1,0.10614,1,0.48,FALSE,,,41,69.99,68.93158,218610.5,250797.07,1,2282,2281,"SANDERS, RYAN SCOTT",PA,19,DEM,2010,,24.6,DEM,0.333540401,0,0.10614,1,0.48,TRUE,,,25,100,68.93158,30148,28498.37,0.666459599,0.333540401,-6.8,0
339,2288,2286,"CICILLINE, DAVID N",RI,1,DEM,2010,,30.9,REP,0.685859177,0,0.17741,1,0.56,TRUE,4,50272,4,37.21,73.8,2054788.24,2015847.44,1,2291,2285,"LOUGHLIN, JOHN J II",RI,1,REP,2010,,30.9,REP,0.242416802,0,0.17741,1,0.56,FALSE,4,50272,6,83.32,73.8,812972.42,813017.42,0.513333333,0.486666667,-6.8,0
340,2302,2306,"LANGEVIN, JAMES R",RI,2,DEM,2010,,29.8,REP,0.70118224,1,0.19334,1,0.56,TRUE,,54390,5,57.43,74.4,1095291.73,1113747.54,1,2306,2307,"ZACCARIA, MARK",RI,2,REP,2010,,29.8,REP,0.298472515,0,0.19334,1,0.56,FALSE,,54390,18,54.87,74.4,179810.62,180554.62,0.675,0.325,-6.8,0
341,2313,2326,"FRASIER, BENJAMIN JR",SC,1,DEM,2010,,29,REP,0.479757607,0,0.26845,1,0.45,TRUE,4,46879,44,55.7,73.5,24418,20227,0,2321,2324,"SCOTT, TIMOTHY E",SC,1,REP,2010,,29,REP,0.520242393,0,0.26845,1,0.45,FALSE,4,46879,21,31.49,73.5,1213573.63,1136730,0.479757607,0.520242393,-6.8,1
342,2329,2330,"MILLER, ROBERT L",SC,2,DEM,2010,,32.1,REP,0.462186416,0,0.33048,1,0.45,TRUE,1,50887,7,100,76.2,3013629.34,2901207.83,0,2330,2328,"WILSON, JOE THE HON.",SC,2,REP,2010,,32.1,REP,0.537813584,1,0.33048,1,0.45,FALSE,1,50887,107,83.41,76.2,4739094.71,4765082.96,0.462186416,0.537813584,-6.8,1
343,2335,2336,"DUNCAN, JEFF",SC,3,REP,2010,,20.1,REP,0.647431921,0,0.24009,1,0.45,FALSE,4,38471,192,23.08,75.7,878903.18,847342.95,1,2336,2334,"DYER, JANE B MRS",SC,3,DEM,2010,,20.1,REP,0,0,0.24009,0,0.45,TRUE,4,38471,500,65.17,75.7,266698.16,266559.63,0.647431921,0,-6.8,0
344,2342,2351,"CORDEN, PAUL HENRY",SC,4,DEM,2010,0.429441356,25.4,REP,0.371369193,0,0.2505,1,0.45,TRUE,0,43238,27,100,75.43333,25326.66,17854.92,0,2344,2345,"GOWDY, TREY",SC,4,REP,2010,0.429441356,25.4,REP,0.604596428,0,0.2505,1,0.45,FALSE,0,43238,500,39.22,75.43333,942671.78,867204.51,0.371369193,0.604596428,-6.8,1
345,2352,2353,"MULVANEY, JOHN MICHAEL 'MICK'",SC,5,REP,2010,,18.4,REP,0.370009146,0,0.34314,1,0.45,FALSE,0,38867,6,100,74.7,1647870.38,1510413.93,1,2353,2354,"SPRATT, JOHN MCKEE JR HON",SC,5,DEM,2010,,18.4,REP,0.616622028,1,0.34314,1,0.45,TRUE,0,38867,6,100,74.7,2035360.79,2497632.67,0.55,0.45,-6.8,0
346,2355,2360,"CLYBURN, JAMES E",SC,6,DEM,2010,,16.6,REP,0.675115296,1,0.57132,1,0.45,TRUE,,31502,5,90.07,75.4,3319718.56,3289438.58,1,2359,2355,"PRATT, JAMES PHILIP",SC,6,REP,2010,,16.6,REP,0.324884704,0,0.57132,1,0.45,FALSE,,31502,5,48.93,75.4,66003.09,51366.79,0.675115296,0.324884704,-6.8,0
347,2361,2367,"HERSETH SANDLIN, STEPHANIE M",SD,0,DEM,2010,0.354899317,25.3,REP,0.675557444,1,0.14034,0,,TRUE,4,45904,500,,72.35714,2086660.35,2180568.95,0,2364,2362,"NOEM, KRISTI LYNN",SD,0,REP,2010,0.354899317,25.3,REP,0.324442556,0,0.14034,0,,FALSE,4,45904,108,42.09,72.35714,2295248.96,2284547.93,0.493333333,0.506666667,-6.8,1
348,2367,2370,"CLARK, MICHAEL EDWARD",TN,1,DEM,2010,0.407785059,17.4,DEM,0.245433717,0,0.05133,1,0.41,TRUE,0,35625,1,,71.3,0,0,0,2368,2371,"ROE, DAVID PHILLIP",TN,1,REP,2010,0.407785059,17.4,DEM,0.71824508,1,0.05133,1,0.41,FALSE,0,35625,4,,71.3,518529.05,346588.62,0.245433717,0.71824508,-6.8,1
349,2372,2377,"DUNCAN, JOHN J REP. JR.",TN,2,REP,2010,0.270710059,27.1,DEM,0.781128013,1,0.10655,1,0.41,FALSE,4,42095,6,,71.1,566843.73,635487.7,1,2373,2376,"HANDCOCK, DAVID",TN,2,DEM,2010,0.270710059,27.1,DEM,0.218871987,0,0.10655,1,0.41,TRUE,4,42095,4,,71.1,0,0,0.781128013,0.218871987,-6.8,0
350,2380,2381,"FLEISCHMANN, CHARLES J",TN,3,REP,2010,0.442302428,21.3,DEM,0.693715589,0,0.15042,1,0.41,FALSE,4,40620,23,,71.5,1376581.77,1345924.26,1,2401,2392,"WOLFE, JOHN",TN,3,DEM,2010,0.442302428,21.3,DEM,0.274010982,0,0.15042,1,0.41,TRUE,4,40620,6,,71.5,0,0,0.693715589,0.274010982,-6.8,0
351,2404,2405,"DAVIS, LINCOLN EDWARD",TN,4,DEM,2010,0.420383971,14.1,DEM,0.587562299,1,0.07441,1,0.41,TRUE,4,36301,500,,72.2,1488037.84,1411745.99,0,2405,2403,"DESJARLAIS, SCOTT EUGENE",TN,4,REP,2010,0.420383971,14.1,DEM,0.378082905,0,0.07441,1,0.41,FALSE,4,36301,17,,72.2,938711.33,923280.19,0.475,0.525,-6.8,1
352,2413,2436,"COOPER, JAMES H.S.",TN,5,DEM,2010,0.329582488,31.2,DEM,0.658438618,1,0.3376,1,0.41,TRUE,4,44587,5,,72.8,1044042.3,1173954.98,1,2416,2424,"HALL, DAVID",TN,5,REP,2010,0.329582488,31.2,DEM,0.310124745,0,0.3376,1,0.41,FALSE,4,44587,4,,72.8,310278.35,307249.46,0.658438618,0.310124745,-6.8,0
353,2437,2447,"BLACK, DIANE LYNN",TN,6,REP,2010,0.304510605,19.6,DEM,0,0,0.1208,0,0.41,FALSE,4,43712,123,,72.35333,2238011.25,2202457.7,1,2440,2446,"CARTER, BRETT RYAN",TN,6,DEM,2010,0.304510605,19.6,DEM,0.744226673,0,0.1208,1,0.41,TRUE,4,43712,94,,72.35333,215354.54,204331.85,0,0.744226673,-6.8,0
354,2453,2456,"BLACKBURN, MARSHA MRS.",TN,7,REP,2010,0.318479009,33.8,DEM,0.685847369,1,0.21003,0,0.41,FALSE,0,58253,500,,78.1,1563192.71,1054615.97,1,2454,2457,"RABIDOUX, GREG ROBERT DR",TN,7,DEM,2010,0.318479009,33.8,DEM,0.314152631,0,0.21003,1,0.41,TRUE,0,58253,29,,78.1,74930.03,62525.61,0.685847369,0.314152631,-6.8,0
355,2457,2465,"FINCHER, STEVE",TN,8,REP,2010,0.241922892,15.4,DEM,0,0,0.2579,1,0.41,FALSE,0,37427,159,,78.9,2724526.46,2615001.97,1,2460,2466,"HERRON, ROY BRASFIELD",TN,8,DEM,2010,0.241922892,15.4,DEM,0.999700863,0,0.2579,1,0.41,TRUE,0,37427,125,,78.9,2103121.17,2068501.68,0.565,0.435,-6.8,0
356,2470,2473,"BERGMANN, CHARLOTTE",TN,9,REP,2010,0.277493188,23.4,DEM,0,0,0.71138,0,0.41,FALSE,,37508,500,,75.63684,217428.1,217428.1,0,2471,2477,"COHEN, STEPHEN IRA",TN,9,DEM,2010,0.277493188,23.4,DEM,0.878540936,1,0.71138,1,0.41,TRUE,,37508,33,,75.63684,1151407.84,843235.82,0,0.878540936,-6.8,1
357,2478,2479,"CHARLES F III, PARKES",TX,1,LIB,2010,,19.2,REP,0,0,0.22882,1,0.47,FALSE,0,41351,500,,70.6,,,0,2479,2481,"GOHMERT, LOUIE",TX,1,REP,2010,,19.2,REP,0.87576103,1,0.22882,1,0.47,FALSE,0,41351,500,100,70.6,793679.49,877586.99,0,0.87576103,-6.8,1
358,2481,2483,"POE, TED",TX,2,REP,2010,,24,REP,0.889225753,1,0.34363,1,0.47,FALSE,0,53617,181,100,70.1,876075.18,569845.82,1,2482,2482,"SMITH, DAVID WAYNE",TX,2,LIB,2010,,24,REP,0.110774247,0,0.34363,1,0.47,FALSE,0,53617,4,100,70.1,,,0.889225753,0.110774247,-6.8,0
359,2484,2487,"LINGENFELDER, JOHN JR",TX,3,DEM,2010,,43.1,REP,0.38033403,0,0.35754,1,0.47,TRUE,4,66068,6,100,70.9,129525.31,127381.91,0,2486,2485,"SAM, JOHNSON MR.",TX,3,REP,2010,,43.1,REP,0.597453312,1,0.35754,1,0.47,FALSE,4,66068,500,,70.9,1110253.29,820491.21,0.38033403,0.597453312,-6.8,1
360,2492,2497,"HALL, RALPH MOODY",TX,4,REP,2010,,22.9,REP,0.687980475,1,0.19182,1,0.47,FALSE,4,51584,171,57.36,70.3,664578.95,776141.98,1,2493,2498,"HATHCOX, VALINDA",TX,4,DEM,2010,,22.9,REP,0.292830447,0,0.19182,0,0.47,TRUE,4,51584,500,100,70.3,21644.8,15902.8,0.687980475,0.292830447,-6.8,0
361,2499,2501,"BERRY, TOM",TX,5,DEM,2010,,20,REP,0,0,0.24259,1,0.47,TRUE,0,46131,20,100,72.6,0,0,0,2501,2502,"HENSARLING, JEB HON.",TX,5,REP,2010,,20,REP,0.835949728,1,0.24259,1,0.47,FALSE,0,46131,500,100,72.6,1745499.68,1804771.18,0,0.835949728,-6.8,1
362,2502,2503,"BARTON, JOE LINUS",TX,6,REP,2010,,25.2,REP,0.620168079,1,0.29189,1,0.47,FALSE,0,51287,107,100,71.2,2377714.98,2255364.08,1,2503,2505,"COZAD, DAVID EDWIN",TX,6,DEM,2010,,25.2,REP,0.356113364,0,0.29189,1,0.47,TRUE,0,51287,4,100,71.2,25145.07,24895.45,0.620168079,0.356113364,-6.8,0
363,2505,2510,"CULBERSON, JOHN",TX,7,REP,2010,,49.6,REP,0.559009947,1,0.28688,1,0.47,FALSE,0,70229,6,100,71.43333,779425.22,771544.01,1,2509,2508,"TOWNSEND, BOB",TX,7,LIB,2010,,49.6,REP,0.017381949,0,0.28688,1,0.47,FALSE,0,70229,7,,71.43333,,,0.559009947,0.017381949,-6.8,0
364,2511,2512,"BRADY, KEVIN",TX,8,REP,2010,,21.7,REP,0.725616656,1,0.14207,1,0.47,FALSE,0,52247,13,79.31,72.3,1028855.14,945192.5,1,2513,2515,"HARGETT, KENT",TX,8,DEM,2010,,21.7,REP,0.247881423,0,0.14207,1,0.47,TRUE,0,52247,500,100,72.3,0,0,0.725616656,0.247881423,-6.8,0
365,2517,2519,"GREEN, ALEXANDER",TX,9,DEM,2010,,21.5,REP,0.936469914,1,0.6563,1,0.47,TRUE,4,37185,106,100,73.3,443130.85,282610.99,1,2519,2520,"MUELLER, STEVE C",TX,9,REP,2010,,21.5,REP,0,0,0.6563,1,0.47,FALSE,4,37185,159,66.64,73.3,16549.13,15712.99,0.936469914,0,-6.8,0
366,2520,2525,"ANKRUM, GEORGE THEODORE",TX,10,DEM,2010,0.215917843,35.3,REP,0.431481042,0,0.26521,1,0.47,TRUE,4,60802,53,100,70.01579,23314.24,20140.89,0,2522,2524,"MCCAUL, MICHAEL",TX,10,REP,2010,0.215917843,35.3,REP,0.538883702,1,0.26521,1,0.47,FALSE,4,60802,1,82.87,70.01579,1624577.17,1437670.17,0.431481042,0.538883702,-6.8,1
367,2526,2532,"CONAWAY, MICHAEL HONORABLE",TX,11,REP,2010,,18.5,REP,0.883307869,1,0.11324,1,0.47,FALSE,4,41947,1,77.37,67.21905,1098814.07,1153195.9,1,2530,2527,"QUILLIAN, JAMES",TX,11,DEM,2010,,18.5,REP,0,0,0.11324,1,0.47,TRUE,4,41947,5,100,67.21905,20488.75,14928.75,0.883307869,0,-6.8,0
368,2534,2539,"GRANGER, KAY",TX,12,REP,2010,,24.3,REP,0.675941567,1,0.22327,0,0.47,FALSE,0,51049,500,69.97,64.9,1341260,1388017.3,1,2537,2538,"SMITH, TRACEY",TX,12,DEM,2010,,24.3,REP,0.306041957,0,0.22327,0,0.47,TRUE,0,51049,111,100,64.9,5897,4945,0.675941567,0.306041957,-6.8,0
369,2542,2543,"DYER, KEITH",TX,13,IND,2010,,18.8,REP,0,0,0.14584,1,0.47,FALSE,0,42368,45,,65,,,0,2543,2544,"THORNBERRY, MAC",TX,13,REP,2010,,18.8,REP,0.776469371,1,0.14584,1,0.47,FALSE,0,42368,500,100,65,689960.06,792833.49,0,0.776469371,-6.8,1
370,2549,2552,"PAUL, RONALD E.",TX,14,REP,2010,,24.4,REP,1,1,0.19075,1,0.47,FALSE,0,56312,43,80.77,65.1,986269.36,1630754.38,1,2550,2548,"PRUETT, ROBERT C JR",TX,14,DEM,2010,,24.4,REP,0,0,0.19075,1,0.47,TRUE,0,56312,7,41.59,65.1,28007.56,28007.56,1,0,-6.8,0
371,2555,2559,"HINOJOSA, RUBEN E.",TX,15,DEM,2010,,14.7,REP,0.657133433,1,0.15801,1,0.47,TRUE,4,35394,182,83.71,64.4,609897.92,622520.74,1,2558,2554,"ZAMORA, EDDIE",TX,15,REP,2010,,14.7,REP,0.319489579,0,0.15801,1,0.47,FALSE,4,35394,165,32.54,64.4,87768,83938.88,0.657133433,0.319489579,-6.8,0
372,2559,2563,"BESCO, TIMOTHY ANDREW",TX,16,REP,2010,,19.9,REP,0,0,0.21639,1,0.47,FALSE,4,36185,21,100,64.4,4000,-5298,0,2562,2561,"REYES, SILVESTRE",TX,16,DEM,2010,,19.9,REP,0.821399545,1,0.21639,1,0.47,TRUE,4,36185,500,100,64.4,1044123.34,1040965.88,0,0.821399545,-6.8,1
373,2566,2573,"EDWARDS, CHET",TX,17,DEM,2010,,22.4,REP,0.529843872,1,0.1807,1,0.47,TRUE,4,42093,500,100,65.3,3686767.66,3841632.24,0,2568,2572,"FLORES, BILL",TX,17,REP,2010,,22.4,REP,0.455003897,0,0.1807,1,0.47,FALSE,4,42093,9,33.04,65.3,3353665.41,3309747.38,0.4425,0.5575,-6.8,1
374,2574,2581,"FAULK, JOHN M MR. SR.",TX,18,REP,2010,,17.8,REP,0.203410025,0,0.48506,1,0.47,FALSE,0,36991,6,56.82,64.92667,273759.32,262544.13,0,2576,2578,"LEE, SHEILA JACKSON",TX,18,DEM,2010,,17.8,REP,0.773249461,1,0.48506,1,0.47,TRUE,0,36991,119,66.96,64.92667,825310.32,1130370.69,0.203410025,0.773249461,-6.8,1
375,2581,2584,"NEUGEBAUER, RANDY HONORABLE",TX,19,REP,2010,,21.2,REP,0.724389646,1,0.17912,1,0.47,FALSE,4,41039,77,100,80.5,1135652.42,974051.83,1,2583,2583,"WILSON, ANDY",TX,19,DEM,2010,,21.2,REP,0.249472295,0,0.17912,1,0.47,TRUE,4,41039,28,15.16,80.5,32517.42,32517.42,0.724389646,0.249472295,-6.8,0
376,2584,2591,"GONZALEZ, CHARLES A.",TX,20,DEM,2010,,16.1,REP,0.71897433,1,0.25474,1,0.47,TRUE,4,38859,23,,78.8,921600.96,970471.11,1,2590,2586,"TROTTER, CLAYTON",TX,20,REP,2010,,16.1,REP,0.251814408,0,0.25474,1,0.47,FALSE,4,38859,500,32.46,78.8,162678.98,162678.98,0.71897433,0.251814408,-6.8,0
377,2591,2592,"MELNICK, LAINEY",TX,21,DEM,2010,,40.1,REP,0,0,0.18509,0,0.47,TRUE,0,58329,500,100,76.25789,34092.68,34092.68,0,2594,2594,"SMITH, LAMAR",TX,21,REP,2010,,40.1,REP,0.799970429,1,0.18509,1,0.47,FALSE,0,58329,500,100,76.25789,1312958.29,1248307.77,0,0.799970429,-6.8,1
