COX,  JOHN R.#AK#0#REP#2010#0.503333091
RENNER,  JIM#OH#6#DEM#2010#0.622832115
ELSASS,  MARTIN J.#OH#6#LIB#2010#0
ALLEN,  DONALD KENNETH DR#OH#6#REP#2010#0.328381195
MCCUSKER,  CORY#OH#6#LIB#2010#0
WILSON,  CHARLES A#OH#6#DEM#2010#0.622832115
STOBBS,  RICHARD D.#OH#6#REP#2010#0.328381195
JOHNSON,  BILL#OH#6#REP#2010#0.328381195
CADLE,  RICHARD E#OH#6#CST#2010#0
BARTON,  JAMES JOHN#OH#7#DEM#2010#0.417846516
EASTON,  DAVID W.#OH#7#CON#2010#0
FREEMAN,  OLIVIA#OH#7#DEM#2010#0.417846516
AUSTRIA,  STEVE C#OH#7#REP#2010#0.582153484
MITCHEL,  JOHN R#OH#7#REP#2010#0.582153484
CONNER,  WILLIAM R.#OH#7#DEM#2010#0.417846516
KREEMER,  CHAD A#OH#7#IND#2010#0
ANDERSON,  JOHN DAVID#OH#7#LIB#2010#0
MCMASTERS,  THOMAS F#OH#8#REP#2010#0.679036741
CONDIT,  JAMES J.#OH#8#CON#2010#0
HARLOW,  DAVID A.#OH#8#LIB#2010#0
COUSSOULE,  JUSTIN#OH#8#DEM#2010#0.320963259
SCHREYER,  MANFRED RICHARD#OH#8#REP#2010#0.679036741
BOEHNER,  JOHN A#OH#8#REP#2010#0.679036741
TERRY,  DALE R.#OH#9#DEM#2010#0.743735054
JAFFE,  JOSEPH MICHAEL#OH#9#LIB#2010#0
SMITH,  JACKIE LEE#OH#9#REP#2010#0.256264946
KAPTUR,  MARCY C HON.#OH#9#DEM#2010#0.743735054
IOTT,  RICHARD BRADLEY#OH#9#REP#2010#0.256264946
SWARTZ,  JEREMY D#OH#9#LIB#2010#0
CORRIGAN,  PETER J#OH#10#REP#2010#0.391278022
FRANKLIN,  W. BENJAMIN#OH#10#REP#2010#0.391278022
GOGGINS,  JEFF#OH#10#LIB#2010#0.038515784
OLSCHLAGER,  THOMAS R#OH#10#REP#2010#0.391278022
KUCINICH,  DENNIS J#OH#10#DEM#2010#0.570206193
REILLY,  DANIEL W.#OH#11#DEM#2010#0.852229284
PEKAREK,  THOMAS#OH#11#REP#2010#0.14710149
POWELL,  ISAAC#OH#11#DEM#2010#0.852229284
FUDGE,  MARCIA L#OH#11#DEM#2010#0.852229284
SUWINSKI,  ROBERT M#OH#12#IND#2010#0
ZUKOWSKI,  ANDREW GEORGE#OH#12#REP#2010#0.547873403
FITRAKIS,  BOB#OH#12#GRE#2010#0
FLOREK,  EDDIE#OH#12#LIB#2010#0.029709646
TIBERI,  PATRICK J.#OH#12#REP#2010#0.547873403
IRVINE,  TRAVIS M#OH#12#LIB#2010#0.029709646
BROOKS,  PAULA L#OH#12#DEM#2010#0.422416951
REED,  LANCE#OH#13#REP#2010#0.352895727
GANLEY,  THOMAS D#OH#13#REP#2010#0.352895727
MEADE,  JASON ASHLEY#OH#13#REP#2010#0.352895727
SHARKEY,  CHRISTOPHER TODD#OH#13#REP#2010#0.352895727
WOODEN,  JUSTIN PAUL#OH#13#DEM#2010#0.646979979
BRIHAN,  JAMES F.B#OH#13#REP#2010#0.352895727
HANEY,  BILL#OH#13#REP#2010#0.352895727
HRUBIK,  JIM#OH#13#REP#2010#0.352895727
SUTTON,  BETTY S MS.#OH#13#DEM#2010#0.646979979
LATOURETTE,  STEVEN C#OH#14#REP#2010#0.583169613
JELENIC,  JOHN M.#OH#14#LIB#2010#0.029426415
O'NEILL,  WILLIAM MICHAEL#OH#14#DEM#2010#0.387403972
BLANCHARD,  DALE VIRGIL#OH#14#DEM#2010#0.387403972
GREEN,  JOHN H.#OH#14#DEM#2010#0.387403972
ADAMS,  JOHN#OH#15#REP#2010#0.45179339
HUBBARD,  SCOTT ALAN#OH#15#IND#2010#0
KILROY,  MARY JO#OH#15#DEM#2010#0.459402708
STIVERS,  STEVE MR.#OH#15#REP#2010#0.45179339
APPLEGATE,  RALPH A.#OH#15#REP#2010#0.45179339
MACISCO,  CHRIS#OH#15#CON#2010#0
KAMMERER,  WILLIAM J.#OH#15#LIB#2010#0.046277951
BUCKEL,  WILLIAM LOREN#OH#15#UNK#2010#0
RYON,  DAVID BLAIR#OH#15#CST#2010#0
BLEVINS,  JEFFREY J#OH#16#LIB#2010#0
SMITH,  HERBERT DOYLE#OH#16#REP#2010#0.446369094
ROSS,  ROBERT L.#OH#16#UNK#2010#0
SCHIFFER,  PAUL RAYMOND#OH#16#REP#2010#0.446369094
MILLER,  MATT#OH#16#REP#2010#0.446369094
RENACCI,  JAMES B#OH#16#REP#2010#0.446369094
BOCCIERI,  JOHN A#OH#16#DEM#2010#0.553630906
GRAHAM,  JAMES J#OH#17#REP#2010#0.218541155
TRAFICANT,  JAMES A JR#OH#17#IND#2010#0
HENDERSON,  MURRELL ELLIOT#OH#17#REP#2010#0.218541155
CROW,  ROBERT#OH#17#DEM#2010#0.781458845
DEGENOVA,  DAMIAN P.#OH#17#REP#2010#0.218541155
MOADUS,  DAN#OH#17#DEM#2010#0.781458845
MASTROMATTEO,  ELAINE R.#OH#17#GRE#2010#0
RYAN,  TIMOTHY J.#OH#17#DEM#2010#0.781458845
HOOD,  RONALD E#OH#18#REP#2010#0.401253747
SPACE,  ZACHARY T#OH#18#DEM#2010#0.598746253
MOLL,  JEANETTE M MS#OH#18#REP#2010#0.401253747
CLAYTON,  CHRISTOPHER#OH#18#LIB#2010#0
LIGGETT,  HOMBRE MICHAEL#OH#18#REP#2010#0.401253747
CARLISLE,  PATRICK T#OH#18#REP#2010#0.401253747
PITRONE,  MARK#OH#18#UNK#2010#0
GIBBS,  ROBERT BRIAN MR.#OH#18#REP#2010#0.401253747
ROYER,  MICHAEL D.#OH#18#REP#2010#0.401253747
SUTTON,  LINDSEY DEAN#OH#18#CON#2010#0
BROMBERG,  BEAU M.#OH#18#REP#2010#0.401253747
DAUBENMIRE,  DAVID EDWARD#OH#18#REP#2010#0.401253747
DAILEY,  FRED LEE#OH#18#REP#2010#0.401253747
HAWORTH,  PATRICK K.#OK#1#REP#2010#0.661676257
RICE,  KENNETH#OK#1#REP#2010#0.661676257
O'DELL,  ANGELIA#OK#1#IND#2010#0
ALLEN,  CRAIG#OK#1#REP#2010#0.661676257
MOGHADDAM,  FRAN#OK#1#REP#2010#0.661676257
SULLIVAN,  JOHN#OK#1#REP#2010#0.661676257
DAHM,  NATHAN RYAN#OK#1#REP#2010#0.661676257
ARNETT,  DANIEL#OK#2#REP#2010#0.295309281
EDMONDS,  DANIEL E#OK#2#REP#2010#0.295309281
FALLING,  CHESTER CLEM#OK#2#REP#2010#0.295309281
WICKSON,  RAYMOND#OK#2#REP#2010#0.295309281
THOMPSON,  CHARLES LEROY JR#OK#2#REP#2010#0.295309281
WILSON,  JIM#OK#2#DEM#2010#0.704690719
BOOTH,  MIKI#OK#2#REP#2010#0.295309281
HOUCHEN,  HOWARD WAYNE#OK#2#REP#2010#0.295309281
BOREN,  DAVID DANIEL#OK#2#DEM#2010#0.704690719
ROBBINS,  FRANKIE LEE#OK#3#DEM#2010#0.235653032
LUCAS,  FRANK D.#OK#3#REP#2010#0.697180728
HARRIS,  R J#OK#4#REP#2010#0.660163281
COLE,  TOM#OK#4#REP#2010#0.660163281
WHITE,  DAVE JOHN#OK#5#IND#2010#0
JOHNSON,  HARRY CLAUD#OK#5#REP#2010#0.658915917
DUFFE,  CLARK#OK#5#IND#2010#0
FLANIGAN,  RICKY A JR#OK#5#REP#2010#0.658915917
LANKFORD,  JAMES#OK#5#REP#2010#0.658915917
ROY,  JOHNNY B#OK#5#REP#2010#0.658915917
CALVEY,  KEVIN#OK#5#REP#2010#0.658915917
CLOUD,  JEFF#OK#5#REP#2010#0.658915917
THOMPSON,  MICHAEL RAY#OK#5#REP#2010#0.658915917
JETT,  SHANE DAVID#OK#5#REP#2010#0.658915917
GUILD,  THOMAS EUGENE#OK#5#DEM#2010#0.341084083
COYLE,  BILLY#OK#5#DEM#2010#0.341084083
KELLER,  DOUGLAS FITZGERALD#OR#1##2010#0
BRODHEAD,  STEPHAN ANDREW#OR#1#REP#2010#0
LAMUNYON,  DON#OR#1#CST#2010#0
WU,  DAVID#OR#1#DEM#2010#0.723985031
TABOR,  H. JOE#OR#1#LIB#2010#0.033498101
HENRY,  CHRIS#OR#1#OTH#2010#0
CORNILLES,  ROBERT#OR#1#REP#2010#0
ROBINSON,  DAVID#OR#1#DEM#2010#0.723985031
GOBERMAN,  PAVEL#OR#1#UNK#2010#0
KUZMANICH,  JOHN CHRISTOPHER#OR#1#REP#2010#0
WALDEN,  GREGORY P#OR#2#REP#2010#0.696391458
SEIGLER,  DANIEL KARL#OR#2#OTH#2010#0
SEGERS,  JOYCE B#OR#2#DEM#2010#0.258023398
MEO,  MICHAEL#OR#3#OTH#2010#0
LOPEZ,  DELIA#OR#3#REP#2010#0.208787141
SWEENEY,  JOHN#OR#3#DEM#2010#0.746956908
LAWRENCE,  JEFFREY T#OR#3#LIB#2010#0
BLUMENAUER,  EARL#OR#3#DEM#2010#0.746956908
BEILSTEIN,  MICHAEL ALLAN#OR#4#OTH#2010#0
LEIKEN,  SIDNEY W#OR#4#REP#2010#0
ROBINSON,  ARTHUR BROUHARD#OR#4#REP#2010#0
GERMOND,  JAYNEE #OR#4#REP#2010#0
DEFAZIO,  PETER A.#OR#4#DEM#2010#0
THOMPSON,  FRED#OR#5#REP#2010#0
ARANAS,  PAUL#OR#5#OTH#2010#0
LUGO ,  CHRIS#OR#5#OTH#2010#0
BRUUN,  LORENTZ 'SCOTT'#OR#5#REP#2010#0
SCHRADER,  KURT#OR#5#DEM#2010#0.544707033
AGBEMBLE,  BISMARK#PA#1#DEM#2010#0.907615705
BRADY,  ROBERT A#PA#1#DEM#2010#0.907615705
VARMA,  PIA#PA#1#REP#2010#0
FATTAH,  CHAKA#PA#2#DEM#2010#0.889296451
HELLBERG,  RICK#PA#2#REP#2010#0.110703549
TREVORROW,  TOM#PA#3#REP#2010#0.487632718
KELLY,  GEORGE J JR#PA#3#REP#2010#0.487632718
MOORE,  MARTHA J#PA#3#REP#2010#0.487632718
REESE,  DONNA R#PA#3#REP#2010#0.487632718
FRANZ,  EDWARD J#PA#3#REP#2010#0.487632718
DAHLKEMPER,  KATHLEEN#PA#3#DEM#2010#0.512367282
FISHER,  STEVEN MARK#PA#3#REP#2010#0.487632718
ONORATO,  JOHN A#PA#3#REP#2010#0.487632718
SURMA,  D ELAINE#PA#3#REP#2010#0.487632718
LASHER,  DAVID BRIAN#PA#3#REP#2010#0.487632718
PAPARELLI,  SALVATORE PETER#PA#3#REP#2010#0.487632718
MARIN,  MEL M#PA#3#DEM#2010#0.512367282
HUBER,  PAUL LEWIS#PA#3#REP#2010#0.487632718
GRABB,  CLAYTON W#PA#3#REP#2010#0.487632718
KLEIN,  ROBERT CLYDE#PA#4#REP#2010#0.441420345
VINSICK,  JOHN STEVEN#PA#4#IND#2010#0
ALTMIRE,  JASON#PA#4#DEM#2010#0.558579655
BUCHANAN,  MARY BETH#PA#4#REP#2010#0.441420345
ROTHFUS,  KEITH J#PA#4#REP#2010#0.441420345
THOMPSON,  GLENN MR.#PA#5#REP#2010#0.567199291
PIPE,  MICHAEL#PA#5#DEM#2010#0.410351707
ETZEL,  VERNON L#PA#5#LIB#2010#0.022449002
GORDON,  BRIAN A#PA#6#DEM#2010#0.478989474
COHEN,  HOWARD A#PA#6#REP#2010#0.521010526
COSTELLO,  RYAN A#PA#6#REP#2010#0.521010526
SCHRODER,  CURT#PA#6#REP#2010#0.521010526
GERLACH,  JIM#PA#6#REP#2010#0.521010526
ZELOV,  SCOTT#PA#6#REP#2010#0.521010526
PIKE,  DOUGLAS ARTHUR#PA#6#DEM#2010#0.478989474
SELLERS,  PATRICK HENRY#PA#6#REP#2010#0.521010526
TRIVEDI,  MANAN#PA#6#DEM#2010#0.478989474
HUFFORD,  WALTER RAY#PA#6#REP#2010#0.521010526
WELCH,  STEVEN D#PA#7#REP#2010#0.404073604
LENTZ,  BRYAN ROY#PA#7#DEM#2010#0.595926396
TOUEY,  ELLEN TERESA#PA#7#DEM#2010#0.595926396
CONNER,  GAIL M#PA#7#DEM#2010#0.595926396
SCHNELLER,  JAMES D#PA#7#UNK#2010#0
MEEHAN,  PATRICK L#PA#7#REP#2010#0.404073604
SCHOTT,  JEFFREY#PA#8#REP#2010#0.416346499
JONES,  JAMES#PA#8#REP#2010#0.416346499
MITCHELL,  ROBERT A JR#PA#8#REP#2010#0.416346499
MALIK,  DEAN#PA#8#REP#2010#0.416346499
CARLINEO,  GLORIA#PA#8#REP#2010#0.416346499
LINGENFELTER,  TOM#PA#8#REP#2010#0.416346499
FITZPATRICK,  MICHAEL G#PA#8#REP#2010#0.416346499
WISENER,  ERIC#PA#8#LIB#2010#0
ALGEO,  JUDITH A#PA#8#REP#2010#0.416346499
HOFFMAN,  IRA MOYER III#PA#8#REP#2010#0.416346499
MURPHY,  PATRICK J.#PA#8#DEM#2010#0.567748877
SHUSTER,  WILLIAM FRANKLIN#PA#9#REP#2010#0.639239859
CONNERS,  J THOMAS#PA#9#DEM#2010#0.360760141
CLOPPER,  CHAD#PA#9#IND#2010#0
CARNEY,  CHRISTOPHER P#PA#10#DEM#2010#0.563316498
MARINO,  THOMAS ANTHONY#PA#10#REP#2010#0.436683502
SOLIERI,  STEVEN A#PA#10#REP#2010#0.436683502
MADEIRA,  DAVID JAMES#PA#10#REP#2010#0.436683502
DERK,  MALCOLM LEE III#PA#10#REP#2010#0.436683502
KELLY,  BRIAN#PA#11#DEM#2010#0.51627341
PAIGE,  CHRISTOPHER HOWARD#PA#11#REP#2010#0.48372659
BARLETTA,  LOU#PA#11#REP#2010#0.48372659
O'BRIEN,  COREY D#PA#11#DEM#2010#0.51627341
KANJORSKI,  PAUL E.#PA#11#DEM#2010#0.51627341
BUCCHIANERI,  RYAN#PA#12#DEM#2010#0.578520649
CERNIC,  ED JR#PA#12#DEM#2010#0.578520649
RUSSELL,  WILLIAM#PA#12#REP#2010#0
HAFER,  BARBARA H#PA#12#DEM#2010#0.578520649
AGORIS,  DEMO#PA#12#LIB#2010#0
TEICH,  BRUCE#PA#12#IND#2010#0
MACKELL,  RONALD R JR#PA#12#DEM#2010#0.578520649
CRITZ,  MARK#PA#12#DEM#2010#0.578520649
BURNS,  TIMOTHY RAYMOND#PA#12#REP#2010#0
MCINTYRE,  CHARLES L#PA#13#REP#2010#0.345347721
QUINTER,  JOSHUA C#PA#13#REP#2010#0.345347721
HAUGHTON,  BRIAN#PA#13#REP#2010#0.345347721
ADCOCK,  CARSON DEE#PA#13#REP#2010#0.345347721
DACHOWSKI,  DAMIAN DAVID#PA#13#REP#2010#0.345347721
SCHWARTZ,  ALLYSON Y.#PA#13#DEM#2010#0.627942063
BORTZ,  ED#PA#14#GRE#2010#0.087421857
NOLAN,  JOSEPH P#PA#14#REP#2010#0
HALUSZCZAK,  MELISSA ANN#PA#14#REP#2010#0
DOYLE,  MIKE#PA#14#DEM#2010#0.912578143
DENT,  CHARLES WIEDER#PA#15#REP#2010#0.585709858
BENOL,  MATHEW MARK#PA#15#REP#2010#0.585709858
CALLAHAN,  JOHN BURK#PA#15#DEM#2010#0.414290142
TOWNE,  JAKE#PA#15#IND#2010#0
PITTS,  JOSEPH R.#PA#16#REP#2010#0.558150128
HERR,  LOIS K#PA#16#DEM#2010#0.393859755
GRIFFITH,  EARLE ALLEN#PA#17#REP#2010#0.363205864
DOWFORD,  SHEILA ELIZABETH#PA#17#DEM#2010#0.636794136
ARGALL,  DAVID G#PA#17#REP#2010#0.363205864
RYAN,  FRANCIS X#PA#17#REP#2010#0.363205864
HOLDEN,  T. TIMOTHY#PA#17#DEM#2010#0.636794136
FIRST,  JOSHUA#PA#17#REP#2010#0.363205864
KENNEDY,  PATRICK MICHAEL#PA#18#DEM#2010#0.359331552
MURPHY,  TIM#PA#18#REP#2010#0.640668448
CONNOLLY,  DANIEL C#PA#18#DEM#2010#0.359331552
SANDERS,  RYAN SCOTT#PA#19#DEM#2010#0.333540401
SMELTZER,  MICHAEL E#PA#19#REP#2010#0.666459599
MONIGHAN,  JOSHUA A#PA#19#UNK#2010#0
PLATTS,  TODD R#PA#19#REP#2010#0.666459599
LOUGHLIN,  JOHN J II#RI#1#REP#2010#0.242416802
CICILLINE,  DAVID N#RI#1#DEM#2010#0.685859177
RUSSO,  KARA D.#RI#1#REP#2010#0.242416802
CURRY,  JAMES M.#RI#1#IND#2010#0.071336834
BLAKE,  C. MICHAEL#RI#1#IND#2010#0.071336834
MARSHALL,  KENNETH A.#RI#1#IND#2010#0.071336834
CAPALBO,  KENNETH A.#RI#1#IND#2010#0.071336834
ADAMS,  RICKY B.#RI#1#IND#2010#0.071336834
RAPOSA,  GREGORY#RI#1#IND#2010#0.071336834
CARTER,  FRANK#RI#1#IND#2010#0.071336834
GEMMA,  ANTHONY P#RI#1#DEM#2010#0.685859177
LYNCH,  WILLIAM J#RI#1#DEM#2010#0.685859177
SEGAL,  DAVID ALAN#RI#1#DEM#2010#0.685859177
CLEGG,  WILLIAM J#RI#2#REP#2010#0.298472515
GARDINER,  MICHAEL J#RI#2#REP#2010#0.298472515
MATSON,  JOHN O#RI#2#IND#2010#0
ROBBIO,  DONALD F.#RI#2#REP#2010#0.298472515
ALGER,  MICHAEL G.#RI#2#IND#2010#0
PICERNO,  CHARLES#RI#2#IND#2010#0
DENNIGAN,  ELIZABETH#RI#2#DEM#2010#0.70118224
GRECO,  ERNEST A#RI#2#DEM#2010#0.70118224
LANGEVIN,  JAMES R#RI#2#DEM#2010#0.70118224
ZACCARIA,  MARK#RI#2#REP#2010#0.298472515
CAMPBELL,  CARROLL A III#SC#1#REP#2010#0.520242393
LUTZ,  MARK STEVEN#SC#1#REP#2010#0.520242393
FAVA,  MARK CHRISTOPHER#SC#1#REP#2010#0.520242393
BUCKHANNON,  RYAN L#SC#1#REP#2010#0.520242393
MCCULLOUGH,  MILTON ELMER 'MAC' JR#SC#1#CIT#2010#0
BLANDFORD,  KEITH#SC#1#LIB#2010#0
JENERETTE,  KATHERINE#SC#1#REP#2010#0.520242393
WITTE,  W STOVALL JR#SC#1#REP#2010#0.520242393
BURTON,  ROBERT#SC#1#DEM#2010#0.479757607
WOOD,  JIMMY#SC#1#OTH#2010#0
DOBBS,  ROBERT#SC#1#DEM#2010#0.479757607
WITHINGTON,  RICHARD B  ''DICK''#SC#1#DEM#2010#0.479757607
THURMOND,  PAUL#SC#1#REP#2010#0.520242393
KOBROVSKY,  LAWRENCE C#SC#1#REP#2010#0.520242393
GROCE,  ROBERT E#SC#1#UNK#2010#0
GLASSON,  KENNETH THOMAS JR#SC#1#REP#2010#0.520242393
SCOTT,  TIMOTHY E#SC#1#REP#2010#0.520242393
PARKER,  CLARK B#SC#1#REP#2010#0.520242393
FRASIER,  BENJAMIN JR#SC#1#DEM#2010#0.479757607
MCCAIN,  EDDIE#SC#2#LIB#2010#0
WILSON,  JOE THE HON.#SC#2#REP#2010#0.537813584
BLACK,  PHILIP H#SC#2#REP#2010#0.537813584
MILLER,  ROBERT L#SC#2#DEM#2010#0.462186416
BEAMAN,  MARC ALAN#SC#2#CON#2010#0
DALEN,  JOHN#SC#3#CON#2010#0
CASH,  RICHARD JAMES#SC#3#REP#2010#0.647431921
DYER,  JANE B MRS#SC#3#DEM#2010#0
MASSEY,  ANTHONY SHANE#SC#3#REP#2010#0.647431921
DUNCAN,  JEFF#SC#3#REP#2010#0.647431921
GRIMAUD,  JOSEPH A JR#SC#3#REP#2010#0.647431921
DOYLE,  BRIAN LAMONT#SC#3#DEM#2010#0
COLLINS,  NEAL ANTHONY MR#SC#3#REP#2010#0.647431921
VASOVSKI,  FRANK MICHAEL#SC#3#REP#2010#0.647431921
GALYEAN,  JAMES D#SC#3#REP#2010#0.647431921
RICE,  REX FONTAINE#SC#3#REP#2010#0.647431921
LEE,  JAMES LEWIS#SC#4#REP#2010#0.604596428
WALTERS,  C FAYE#SC#4#GRE#2010#0.02403438
GOWDY,  TREY#SC#4#REP#2010#0.604596428
THOMAS,  DAVID L#SC#4#REP#2010#0.604596428
JEFFREY,  CHRISTINA KELLY FAWCETT#SC#4#REP#2010#0.604596428
INGLIS,  ROBERT D#SC#4#REP#2010#0.604596428
MAHLER,  RICHARD#SC#4#LIB#2010#0
EDWARDS,  DAVID MICHAEL#SC#4#CON#2010#0
CORDEN,  PAUL HENRY#SC#4#DEM#2010#0.371369193
SMART,  ANDREW THOMAS#SC#4#REP#2010#0.604596428
MULVANEY,  JOHN MICHAEL 'MICK'#SC#5#REP#2010#0.370009146
SPRATT,  JOHN MCKEE JR HON#SC#5#DEM#2010#0.616622028
PRATT,  JAMES PHILIP#SC#6#REP#2010#0.324884704
HARRELSON,  NANCY#SC#6#REP#2010#0.324884704
PAYNE,  COLLEEN#SC#6#REP#2010#0.324884704
MUHAMMAD,  NAMMU#SC#6#GRE#2010#0
BROWN,  GREGORY ANTHONY#SC#6#DEM#2010#0.675115296
CLYBURN,  JAMES E#SC#6#DEM#2010#0.675115296
MARKING,  B THOMAS#SD#0#IND#2010#0
NOEM,  KRISTI LYNN#SD#0#REP#2010#0.324442556
NELSON,  CHRIS#SD#0#REP#2010#0.324442556
CURD,  RICHARD BLAKE#SD#0#REP#2010#0.324442556
WASSON,  THAD MYRON#SD#0#REP#2010#0.324442556
WEILAND,  KEVIN J#SD#0#DEM#2010#0.675557444
HERSETH SANDLIN,  STEPHANIE M#SD#0#DEM#2010#0.675557444
STECK,  KERMIT E.#TN#1#IND#2010#0.019306172
SABRI,  MAHMOOD (MICHAEL)#TN#1#REP#2010#0.71824508
CLARK,  MICHAEL EDWARD#TN#1#DEM#2010#0.245433717
ROE,  DAVID PHILLIP#TN#1#REP#2010#0.71824508
SAMPLES,  WILLIAM GREGORY#TN#2#IND#2010#0
ANDREW,  D.H. (ANDY)#TN#2#IND#2010#0
LEINWEBER,  JOSEPH R. JR.#TN#2#IND#2010#0
HEADINGS,  JAMES H.#TN#2#IND#2010#0
HANDCOCK,  DAVID#TN#2#DEM#2010#0.218871987
DUNCAN,  JOHN J REP. JR.#TN#2#REP#2010#0.781128013
STATON,  BRENT DAVIS#TN#3#DEM#2010#0.274010982
WHITLEY,  JOHN MATTHEW#TN#3#REP#2010#0.693715589
FLOWERS,  PAULA#TN#3#DEM#2010#0.274010982
FLEISCHMANN,  CHARLES J#TN#3#REP#2010#0.693715589
IRION,  VAN RENCELLIERE#TN#3#REP#2010#0.693715589
KIAH,  MORRIS MO F#TN#3#IND#2010#0.032247175
KEMEA,  RICHARD LEE II#TN#3#REP#2010#0.693715589
SMITH,  ROBIN TUCKER#TN#3#REP#2010#0.693715589
HOLZMEYER,  KRIS ALAN#TN#3#REP#2010#0.693715589
RHODES,  ARTHUR D#TN#3#REP#2010#0.693715589
SHORT,  BRENDA FREEMAN#TN#3#DEM#2010#0.274010982
HOWARD-HILL,  JEAN#TN#3#REP#2010#0.693715589
GOBBLE,  TIMOTHY A#TN#3#REP#2010#0.693715589
MITCHELL,  ALICIA#TN#3#DEM#2010#0.274010982
WOLFE,  JOHN#TN#3#DEM#2010#0.274010982
HOWARD,  HARVEY#TN#3#REP#2010#0.693715589
KERNEA,  RICK#TN#3#REP#2010#0.693715589
TRAVILLIAN,  GROVER#TN#3#REP#2010#0.693715589
GOODWIN,  GREGORY C.#TN#3#IND#2010#0.032247175
HUMPHRIES ,  ROBERT#TN#3#IND#2010#0.032247175
MARCEAUX,  BASIL#TN#3#REP#2010#0.693715589
BARKMAN ,  DON#TN#3#IND#2010#0.032247175
CRANGLE,  TOMMY FRANKLIN#TN#3#REP#2010#0.693715589
KYRIAKIDIS,  SAVAS T.#TN#3#IND#2010#0.032247175
DEVOL,  MARK#TN#3#REP#2010#0.693715589
DESJARLAIS,  SCOTT EUGENE#TN#4#REP#2010#0.378082905
BAILEY,  JACK#TN#4#REP#2010#0.378082905
DAVIS,  LINCOLN EDWARD#TN#4#DEM#2010#0.587562299
STRONG,  DONALD WAYNE#TN#4#REP#2010#0.378082905
GRAY,  JAMES ANTHONY#TN#4#IND#2010#0.034354797
CURTIS ,  PAUL H.#TN#4#IND#2010#0.034354797
JOHNSON,  RICHARD S.#TN#4#IND#2010#0.034354797
YORK ,  GERALD#TN#4#IND#2010#0.034354797
GREENOUGH,  KENT CAMERON#TN#4#REP#2010#0.378082905
HARWELL,  RONALD LEE#TN#4#REP#2010#0.378082905
COLLINGS,  STEPHEN WILLIAM#TN#5#LIB#2010#0
MIRANDA,  PATRICK FERNANDO#TN#5#REP#2010#0.310124745
TARUM ,  TRACY C.#TN#5#REP#2010#0.310124745
RIES,  BOB#TN#5#REP#2010#0.310124745
SCHWARTZ,  BOB#TN#5#REP#2010#0.310124745
HARTLINE,  JEFFREY ALAN ALAN#TN#5#REP#2010#0.310124745
MIGLIETTA,  JOHN P#TN#5#IND#2010#0.031422124
SCOTT,  JAROD DAVID#TN#5#REP#2010#0.310124745
NOLAND-HEIL,  CECILIA#TN#5#REP#2010#0.310124745
KUMAR,  VIJAY A#TN#5#REP#2010#0.310124745
FINUCANE,  BRENDAN E JR#TN#5#REP#2010#0.310124745
HALL,  DAVID#TN#5#REP#2010#0.310124745
HEIL,  CECE#TN#5#REP#2010#0.310124745
PEARSON,  ERIC#TN#5#DEM#2010#0.658438618
SCHECTER ,  ERIC#TN#5#DEM#2010#0.658438618
STRAUSS,  ALVIN M.#TN#5#REP#2010#0.310124745
CROOK,  BILL#TN#5#IND#2010#0.031422124
MOORE,  JOE D.#TN#5#IND#2010#0.031422124
SMITH ,  JOHN#TN#5#IND#2010#0.031422124
WHITFIELD,  JAMES GREGORY II#TN#5#IND#2010#0.031422124
SPIVAK,  LONNIE PAUL#TN#5#REP#2010#0.310124745
MILLER,  JACQUELINE MARIE#TN#5#IND#2010#0.031422124
TAYLOR,  THOMAS CLARK#TN#5#IND#2010#0.031422124
COOPER,  JAMES H.S.#TN#5#DEM#2010#0.658438618
MANN,  GARY DEWITT#TN#6#REP#2010#0
BARRY ,  HENRY CLAY#TN#6#DEM#2010#0.744226673
HAY,  TOMMY N#TN#6#IND#2010#0.255773327
LEMING,  BENJAMIN T#TN#6#DEM#2010#0.744226673
ERDEL,  GEORGE T#TN#6#DEM#2010#0.744226673
EVANS,  DAVE#TN#6#REP#2010#0
ZELENIK,  LOU ANN#TN#6#REP#2010#0
ROBERTS,  KERRY EVAN#TN#6#REP#2010#0
TRACY,  JIM#TN#6#REP#2010#0
CARTER,  BRETT RYAN#TN#6#DEM#2010#0.744226673
BLACK,  DIANE LYNN#TN#6#REP#2010#0
BUTLER ,  DEVORE E.#TN#6#DEM#2010#0.744226673
MCLELLAN ,  BRUCE#TN#6#REP#2010#0
BOYD ,  JIM#TN#6#IND#2010#0.255773327
PURCELL,  DAVID#TN#6#IND#2010#0.255773327
SPRAGUE ,  STEPHEN R.#TN#6#IND#2010#0.255773327
GORE,  BRANDON ERIC#TN#6#IND#2010#0.255773327
VICK,  CHARLES GORDON#TN#7#DEM#2010#0.314152631
STONE,  J.W. (BILL)#TN#7#IND#2010#0
BLACKBURN,  MARSHA MRS.#TN#7#REP#2010#0.685847369
RABIDOUX,  GREG ROBERT DR#TN#7#DEM#2010#0.314152631
RICE,  DAVID ALLEN#TN#8#REP#2010#0
MERCER,  LUTHER T II#TN#8#DEM#2010#0.999700863
HART,  JAMES#TN#8#IND#2010#0
FLINN,  GEORGE S JR#TN#8#REP#2010#0
KIRKLAND,  RONALD#TN#8#REP#2010#0
JANES,  DONN#TN#8#REP#2010#0
STEINFELS,  CRAIG RICHARD#TN#8#REP#2010#0
FINCHER,  STEVE#TN#8#REP#2010#0
