Cand_Name,Cand_Office_St,Cand_Office_Dist,Cand_Party_Affiliation,Year
LUZZI, RICHARD ,NJ,11,REP,2010
GAWRON, JIM,NJ,11,LIB,2010
SIPPRELLE, SCOTT,NJ,12,REP,2010
CODY, KENNETH J.,NJ,12,OTH,2010
HALFACRE, MICHAEL,NJ,12,REP,2010
HOLT, RUSH D.,NJ,12,DEM,2010
CORSI, DAVID,NJ,12,REP,2010
DWYER, HENRIETTA,NJ,13,REP,2010
DYER, OMAR LAMONT,NJ,13,DEM,2010
BOSS, JEFF,NJ,13,DEM,2010
NACER, MAXIMO GOMEZ,NJ,13,OTH,2010
ZANOWIC, ANTHONY,NJ,13,OTH,2010
SIRES, ALBIO,NJ,13,DEM,2010
BARELA, JON,NM,1,REP,2010
HEINRICH, MARTIN,NM,1,DEM,2010
WOODRUFF, ALAN P,NM,1,GRE,2010
PEARCE, STEVAN E.,NM,2,REP,2010
PIRTLE, CLIFF R.,NM,2,REP,2010
TEAGUE, HARRY,NM,2,DEM,2010
KOKESH, ADAM CHARLES,NM,3,REP,2010
LUJAN, BEN,NM,3,DEM,2010
MULLINS, THOMAS E,NM,3,REP,2010
FIORE , MICHELE ANN,NV,1,REP,2010
FLUME, CHARLES WILLIAM SR.,NV,1,REP,2010
TATNER, JOSEPH LANCE,NV,1,REP,2010
WEGNER, KENNETH ALEXANDER,NV,1,REP,2010
CUNNINGHAM, DAVID ROSS,NV,1,REP,2010
KLAPPROTH, EDWARD GEORGE JR.,NV,1,LIB,2010
NEISTADT, SCOTT I.,NV,1,REP,2010
HANSEN, JONATHAN J.,NV,1,IAP,2010
MONROE, MICHAEL ACE,NV,1,REP,2010
BERKLEY, SHELLEY,NV,1,DEM,2010
LAKE, CRAIG O JR,NV,1,REP,2010
BEST, RUSSELL,NV,2,IAP,2010
REEVES, PAUL S,NV,2,DEM,2010
DEHNE, DENIS 'SAM',NV,2,DEM,2010
MCKENNA, KENNETH JAMES,NV,2,DEM,2010
TRIGG, CYNTHIA M,NV,2,DEM,2010
SCHOFIELD, JACK,NV,2,DEM,2010
COLLETTI, PATRICK JOSEPH,NV,2,REP,2010
HELLER, DEAN,NV,2,REP,2010
PRICE, NANCY,NV,2,DEM,2010
NOHRDEN, STEVEN PATRICK,NV,3,REP,2010
NARTER, SCOTT DAVID,NV,3,IAP,2010
AHERN, ELEANOR C 'ELLIE',NV,3,REP,2010
PHILLIPS, SHANNA S,NV,3,DEM,2010
BEARD, JOHN MARTIN,NV,3,DEM,2010
GUEDRY, JOHN,NV,3,REP,2010
BRIDGES, EDWARD STAFFORD II,NV,3,REP,2010
LEUTWYLER, BRAD LORD,NV,3,REP,2010
MICHAELS, BARRY,NV,3,IND,2010
SILVESTRI, JOSEPH P.,NV,3,LIB,2010
LAUER, ROBERT LELIE,NV,3,REP,2010
HECK, JOE,NV,3,REP,2010
TITUS, DINA,NV,3,DEM,2010
LYKES, THELMA,NY,0,IND,2010
CANTWELL, CHRISTOPHER CHARLES,NY,1,REP,2010
DEMOS, GEORGE,NY,1,REP,2010
FITZPATRICK, MICHAEL J,NY,1,REP,2010
BERNTSEN, GARY,NY,1,REP,2010
COX, CHRISTOPHER N,NY,1,REP,2010
ZELDIN, LEE M,NY,1,REP,2010
BISHOP, TIMOTHY,NY,1,DEM,2010
ALTSCHULER, RANDOLPH MR.,NY,1,REP,2010
DILEO, DAVID,NY,2,IND,2010
LABATE, STEPHEN A,NY,2,REP,2010
TOLDA, ANTHONY E,NY,2,NPA,2010
ISRAEL, STEVE,NY,2,DEM,2010
GOMEZ, JOHN B MR.,NY,2,REP,2010
KUDLER, HOWARD ,NY,3,DEM,2010
PREVIDI, ROBERT,NY,3,REP,2010
KING, PETER T HON.,NY,3,REP,2010
MALONEY, DANIEL P,NY,4,REP,2010
MCCARTHY, CAROLYN,NY,4,DEM,2010
SEIDEMANN, DAVID J,NY,4,REP,2010
SHEA, SEAN ARTHUR,NY,4,REP,2010
BECKER, FRANCIS X JR,NY,4,REP,2010
SCATURRO, FRANK,NY,4,REP,2010
ZINNO, PETER A,NY,4,REP,2010
MAHER, PATRICIA M,NY,5,DEM,2010
BERNEY, ELIZABETH,NY,5,REP,2010
ACKERMAN, GARY L.,NY,5,DEM,2010
MILANO, JAMES,NY,5,DEM,2010
MEEKS, GREGORY W.,NY,6,DEM,2010
TAUB, ASHER E,NY,6,REP,2010
GRONOWICZ, ANTHONY,NY,7,GRE,2010
REYNOLDS, KENNETH ,NY,7,UNK,2010
CROWLEY, JOSEPH,NY,7,DEM,2010
NADLER, JERROLD L. MR.,NY,8,DEM,2010
LEINER, STEVEN ARI-Z,NY,8,IND,2010
KONE, SUSAN,NY,8,REP,2010
TURNER, ROBERT L,NY,9,REP,2010
HAYON, JOSEPH,NY,9,REP,2010
WEINER, ANTHONY D MR,NY,9,DEM,2010
MUNIZ, DIANA,NY,10,REP,2010
TOWNS, EDOLPHUS,NY,10,DEM,2010
POWELL, KEVIN,NY,10,DEM,2010
JOHNSON, ERNEST,NY,10,CRV,2010
CLARKE, YVETTE D,NY,11,DEM,2010
CARR, HUGH C.,NY,11,REP,2010
VELAZQUEZ, NYDIA M.,NY,12,DEM,2010
MARTINEZ, GEORGE,NY,12,DEM,2010
HIRSCHFELD, BRUCE,NY,12,DEM,2010
GAFFNEY, ALICE,NY,12,CRV,2010
TABACCO, JOHN ANTHONY JR,NY,13,IND,2010
ALLEGRETTI, MICHAEL A,NY,13,REP,2010
VENDITTELLI, TOM,NY,13,LIB,2010
GRIMM, MICHAEL,NY,13,REP,2010
MCMAHON, MICHAEL E. MR.,NY,13,DEM,2010
HEALY, TIMOTHY J,NY,14,REP,2010
SAUJANI, RESHMA M,NY,14,DEM,2010
MALONEY, CAROLYN B,NY,14,DEM,2010
BLANK, ROGER,NY,14,REP,2010
LAVERGHETTA, DINO,NY,14,REP,2010
BRUMBERG, DAVID RYAN,NY,14,REP,2010
RANGEL, CHARLES B,NY,15,DEM,2010
SCHLEY, CRAIG,NY,15,OTH,2010
POWELL, ADAM CLAYTON IV,NY,15,DEM,2010
VARGAS, RUBEN D,NY,15,DEM,2010
CALERO, ROGER,NY,15,SWP,2010
TASINI, JONATHAN,NY,15,DEM,2010
MORGAN, VINCENT SCOTT,NY,15,DEM,2010
JOHNSON, JOYCE STANLEY,NY,15,DEM,2010
FAULKNER , MICHEL,NY,15,REP,2010
JOHNSON, DAVID M,NY,16,DEM,2010
DELLA VALLE, FRANK,NY,16,REP,2010
SERRANO, JOSE E,NY,16,DEM,2010
MELE, ANTHONY,NY,17,REP,2010
ENGEL, ELIOT L. REP.,NY,17,DEM,2010
KLEINHANDLER, YORK JAY,NY,17,REP,2010
LOWEY, NITA M,NY,18,DEM,2010
WASSERMAN, PAUL STUART,NY,18,REP,2010
RUSSELL, JIM,NY,18,REP,2010
ROSEN, MARK,NY,18,REP,2010
BALL, GREGORY R,NY,19,REP,2010
HALL, JOHN JOSEPH,NY,19,DEM,2010
CAVERE, KRISTIA NATALIA,NY,19,REP,2010
HAYWORTH, NAN,NY,19,REP,2010
DI CARLO, NEIL ANTHONY,NY,19,REP,2010
MCFADDEN, DAVID C,NY,19,UNK,2010
SUNDWALL, ERIC,NY,20,LIB,2010
TEDISCO, JAMES,NY,20,REP,2010
ZIEGLER, PATRICK,NY,20,REP,2010
MURPHY, SCOTT M,NY,20,DEM,2010
HARPER, DAVID A,NY,20,REP,2010
GIBSON, CHRIS P,NY,20,REP,2010
TONKO, PAUL DAVID,NY,21,DEM,2010
DANZ, THEODORE J JR,NY,21,REP,2010
PHILLIPS, GEORGE K,NY,22,REP,2010
HINCHEY, MAURICE D,NY,22,DEM,2010
MCGRATH, BRIAN,NY,23,DEM,2010
HOFFMAN, DOUGLAS L. MR.,NY,23,REP,2010
BISSELLE, ANDREW PHILLIP,NY,23,DEM,2010
BRODY, STUART,NY,23,DEM,2010
FRANCIS, DANNY M,NY,23,DEM,2010
DOHENY, MATT,NY,23,REP,2010
OWENS, WILLIAM,NY,23,DEM,2010
SCOZZAFAVA, DIERDRE K,NY,23,REP,2010
ARCURI, MICHAEL A.,NY,24,DEM,2010
HANNA, RICHARD,NY,24,REP,2010
ROMAIN, MARC ALAN,NY,25,IND,2010
BERTAN, PAUL BEERS,NY,25,REP,2010
BITZ, MARK WARD,NY,25,REP,2010
MAFFEI, DANIEL BENJAMIN MR.,NY,25,DEM,2010
BUERKLE, ANN MARIE,NY,25,REP,2010
FEDELE, PHILIP A.,NY,26,DEM,2010
LEE, CHRISTOPHER J.,NY,26,REP,2010
ROBERTO, LEONARD A,NY,27,REP,2010
RITACCO, PAUL A,NY,27,REP,2010
HIGGINS, BRIAN,NY,27,DEM,2010
SLAUGHTER, LOUISE M,NY,28,DEM,2010
GIULIANO, MICHAEL NEIL,NY,28,REP,2010
EGRIU, EMIN EDDIE,NY,28,DEM,2010
ROWLAND, JILL ANN,NY,28,REP,2010
CAMPINI, ANGELO,NY,29,REP,2010
ZELLER, MATTHEW,NY,29,DEM,2010
VOLK, JANICE A.,NY,29,REP,2010
REED, THOMAS W II,NY,29,REP,2010
CROXTON, JARED,OH,1,LIB,2010
WILSON, ERIC,OH,1,DEM,2010
DRIEHAUS, STEVEN LEO,OH,1,DEM,2010
STEVENSON, RICHARD L,OH,1,GRE,2010
CHABOT, STEVE,OH,1,REP,2010
BERNS, JIM,OH,1,LIB,2010
BOOK, THOMAS TODD,OH,2,DEM,2010
JOHNSTON, MARC,OH,2,LIB,2010
SCHMIDT, JEANNETTE H,OH,2,REP,2010
ALSFELDER, DEBBI,OH,2,REP,2010
WULSIN, VICTORIA,OH,2,DEM,2010
HAWKINS, ROBERT BRYAN,OH,2,REP,2010
MARTZ, TIMOTHY R,OH,2,REP,2010
PARKER, JIM,OH,2,DEM,2010
KILBURN, C. MICHAEL,OH,2,REP,2010
CONOVER, RANDY LEE,OH,2,UNK,2010
YALAMANCHILI, SURYA,OH,2,DEM,2010
KRIKORIAN, DAVID H,OH,2,DEM,2010
ROBERTS, JOSEPH MICHAEL,OH,3,DEM,2010
ESRATI, DAVID,OH,3,DEM,2010
MACNEALY, MARK A,OH,3,DEM,2010
OBERER, RENE LOUISE,OH,3,REP,2010
TURNER, MICHAEL REP,OH,3,REP,2010
FOGLE, GUY NELSON,OH,3,DEM,2010
KISSICK, DONALD CHARLES,OH,4,LIB,2010
JORDAN, JAMES D.,OH,4,REP,2010
LITT, DOUGLAS ALAN,OH,4,DEM,2010
SMITH, BRIAN L.,OH,5,LIB,2010
FINKENBINER, CALEB,OH,5,DEM,2010
WALLIS, ROBERT,OH,5,REP,2010
LATTA, ROBERT EDWARD,OH,5,REP,2010
RENNER, JIM,OH,6,DEM,2010
ELSASS, MARTIN J.,OH,6,LIB,2010
ALLEN, DONALD KENNETH DR,OH,6,REP,2010
MCCUSKER, CORY,OH,6,LIB,2010
WILSON, CHARLES A,OH,6,DEM,2010
STOBBS, RICHARD D.,OH,6,REP,2010
JOHNSON, BILL,OH,6,REP,2010
CADLE, RICHARD E,OH,6,CST,2010
BARTON, JAMES JOHN,OH,7,DEM,2010
EASTON, DAVID W.,OH,7,CON,2010
FREEMAN, OLIVIA,OH,7,DEM,2010
AUSTRIA, STEVE C,OH,7,REP,2010
MITCHEL, JOHN R,OH,7,REP,2010
CONNER, WILLIAM R.,OH,7,DEM,2010
KREEMER, CHAD A,OH,7,IND,2010
ANDERSON, JOHN DAVID,OH,7,LIB,2010
MCMASTERS, THOMAS F,OH,8,REP,2010
CONDIT, JAMES J., JR,OH,8,CON,2010
HARLOW, DAVID A.,OH,8,LIB,2010
COUSSOULE, JUSTIN,OH,8,DEM,2010
SCHREYER, MANFRED RICHARD,OH,8,REP,2010
BOEHNER, JOHN A,OH,8,REP,2010
TERRY, DALE R.,OH,9,DEM,2010
JAFFE, JOSEPH MICHAEL,OH,9,LIB,2010
SMITH, JACKIE LEE,OH,9,REP,2010
KAPTUR, MARCY C HON.,OH,9,DEM,2010
IOTT, RICHARD BRADLEY,OH,9,REP,2010
SWARTZ, JEREMY D,OH,9,LIB,2010
CORRIGAN, PETER J,OH,10,REP,2010
FRANKLIN, W. BENJAMIN,OH,10,REP,2010
GOGGINS, JEFF,OH,10,LIB,2010
OLSCHLAGER, THOMAS R,OH,10,REP,2010
KUCINICH, DENNIS J,OH,10,DEM,2010
REILLY, DANIEL W.,OH,11,DEM,2010
PEKAREK, THOMAS,OH,11,REP,2010
POWELL, ISAAC,OH,11,DEM,2010
FUDGE, MARCIA L,OH,11,DEM,2010
SUWINSKI, ROBERT M,OH,12,IND,2010
ZUKOWSKI, ANDREW GEORGE,OH,12,REP,2010
FITRAKIS, BOB,OH,12,GRE,2010
FLOREK, EDDIE,OH,12,LIB,2010
TIBERI, PATRICK J.,OH,12,REP,2010
IRVINE, TRAVIS M,OH,12,LIB,2010
BROOKS, PAULA L,OH,12,DEM,2010
REED, LANCE,OH,13,REP,2010
GANLEY, THOMAS D,OH,13,REP,2010
MEADE, JASON ASHLEY,OH,13,REP,2010
SHARKEY, CHRISTOPHER TODD,OH,13,REP,2010
WOODEN, JUSTIN PAUL,OH,13,DEM,2010
BRIHAN, JAMES F.B,OH,13,REP,2010
HANEY, BILL,OH,13,REP,2010
HRUBIK, JIM,OH,13,REP,2010
SUTTON, BETTY S MS.,OH,13,DEM,2010
LATOURETTE, STEVEN C,OH,14,REP,2010
JELENIC, JOHN M.,OH,14,LIB,2010
O'NEILL, WILLIAM MICHAEL,OH,14,DEM,2010
BLANCHARD, DALE VIRGIL,OH,14,DEM,2010
GREEN, JOHN H.,OH,14,DEM,2010
ADAMS, JOHN,OH,15,REP,2010
HUBBARD, SCOTT ALAN,OH,15,IND,2010
KILROY, MARY JO,OH,15,DEM,2010
STIVERS, STEVE MR.,OH,15,REP,2010
APPLEGATE, RALPH A.,OH,15,REP,2010
MACISCO, CHRIS,OH,15,CON,2010
KAMMERER, WILLIAM J.,OH,15,LIB,2010
BUCKEL, WILLIAM LOREN,OH,15,UNK,2010
RYON, DAVID BLAIR,OH,15,CST,2010
BLEVINS, JEFFREY J,OH,16,LIB,2010
SMITH, HERBERT DOYLE,OH,16,REP,2010
ROSS, ROBERT L.,OH,16,UNK,2010
SCHIFFER, PAUL RAYMOND,OH,16,REP,2010
MILLER, MATT,OH,16,REP,2010
RENACCI, JAMES B,OH,16,REP,2010
BOCCIERI, JOHN A,OH,16,DEM,2010
GRAHAM, JAMES J,OH,17,REP,2010
TRAFICANT, JAMES A JR,OH,17,IND,2010
HENDERSON, MURRELL ELLIOT,OH,17,REP,2010
CROW, ROBERT,OH,17,DEM,2010
DEGENOVA, DAMIAN P.,OH,17,REP,2010
MOADUS, DAN,OH,17,DEM,2010
MASTROMATTEO, ELAINE R.,OH,17,GRE,2010
RYAN, TIMOTHY J.,OH,17,DEM,2010
HOOD, RONALD E,OH,18,REP,2010
SPACE, ZACHARY T,OH,18,DEM,2010
MOLL, JEANETTE M MS,OH,18,REP,2010
CLAYTON, CHRISTOPHER,OH,18,LIB,2010
LIGGETT, HOMBRE MICHAEL,OH,18,REP,2010
CARLISLE, PATRICK T,OH,18,REP,2010
PITRONE, MARK,OH,18,UNK,2010
GIBBS, ROBERT BRIAN MR.,OH,18,REP,2010
ROYER, MICHAEL D.,OH,18,REP,2010
SUTTON, LINDSEY DEAN,OH,18,CON,2010
BROMBERG, BEAU M.,OH,18,REP,2010
DAUBENMIRE, DAVID EDWARD,OH,18,REP,2010
DAILEY, FRED LEE,OH,18,REP,2010
HAWORTH, PATRICK K.,OK,1,REP,2010
RICE, KENNETH,OK,1,REP,2010
O'DELL, ANGELIA,OK,1,IND,2010
ALLEN, CRAIG,OK,1,REP,2010
MOGHADDAM, FRAN,OK,1,REP,2010
SULLIVAN, JOHN,OK,1,REP,2010
DAHM, NATHAN RYAN,OK,1,REP,2010
ARNETT, DANIEL,OK,2,REP,2010
EDMONDS, DANIEL E,OK,2,REP,2010
FALLING, CHESTER CLEM,OK,2,REP,2010
WICKSON, RAYMOND,OK,2,REP,2010
THOMPSON, CHARLES LEROY JR,OK,2,REP,2010
WILSON, JIM,OK,2,DEM,2010
BOOTH, MIKI,OK,2,REP,2010
HOUCHEN, HOWARD WAYNE,OK,2,REP,2010
BOREN, DAVID DANIEL,OK,2,DEM,2010
ROBBINS, FRANKIE LEE,OK,3,DEM,2010
LUCAS, FRANK D.,OK,3,REP,2010
HARRIS, R J,OK,4,REP,2010
COLE, TOM,OK,4,REP,2010
WHITE, DAVE JOHN,OK,5,IND,2010
JOHNSON, HARRY CLAUD,OK,5,REP,2010
DUFFE, CLARK,OK,5,IND,2010
FLANIGAN, RICKY A JR,OK,5,REP,2010
LANKFORD, JAMES,OK,5,REP,2010
ROY, JOHNNY B,OK,5,REP,2010
CALVEY, KEVIN,OK,5,REP,2010
CLOUD, JEFF,OK,5,REP,2010
THOMPSON, MICHAEL RAY,OK,5,REP,2010
JETT, SHANE DAVID,OK,5,REP,2010
GUILD, THOMAS EUGENE,OK,5,DEM,2010
COYLE, BILLY,OK,5,DEM,2010
KELLER, DOUGLAS FITZGERALD,OR,1,,2010
BRODHEAD, STEPHAN ANDREW,OR,1,REP,2010
LAMUNYON, DON,OR,1,CST,2010
WU, DAVID,OR,1,DEM,2010
TABOR, H. JOE,OR,1,LIB,2010
HENRY, CHRIS,OR,1,OTH,2010
CORNILLES, ROBERT,OR,1,REP,2010
ROBINSON, DAVID,OR,1,DEM,2010
GOBERMAN, PAVEL,OR,1,UNK,2010
KUZMANICH, JOHN CHRISTOPHER,OR,1,REP,2010
WALDEN, GREGORY P,OR,2,REP,2010
SEIGLER, DANIEL KARL,OR,2,OTH,2010
SEGERS, JOYCE B,OR,2,DEM,2010
MEO, MICHAEL,OR,3,OTH,2010
LOPEZ, DELIA,OR,3,REP,2010
SWEENEY, JOHN,OR,3,DEM,2010
LAWRENCE, JEFFREY T,OR,3,LIB,2010
BLUMENAUER, EARL,OR,3,DEM,2010
BEILSTEIN, MICHAEL ALLAN,OR,4,OTH,2010
LEIKEN, SIDNEY W,OR,4,REP,2010
ROBINSON, ARTHUR BROUHARD,OR,4,REP,2010
GERMOND, JAYNEE ,OR,4,REP,2010
DEFAZIO, PETER A.,OR,4,DEM,2010
THOMPSON, FRED,OR,5,REP,2010
ARANAS, PAUL,OR,5,OTH,2010
LUGO , CHRIS,OR,5,OTH,2010
BRUUN, LORENTZ 'SCOTT',OR,5,REP,2010
SCHRADER, KURT,OR,5,DEM,2010
AGBEMBLE, BISMARK,PA,1,DEM,2010
BRADY, ROBERT A,PA,1,DEM,2010
VARMA, PIA,PA,1,REP,2010
FATTAH, CHAKA,PA,2,DEM,2010
HELLBERG, RICK,PA,2,REP,2010
TREVORROW, TOM,PA,3,REP,2010
KELLY, GEORGE J JR,PA,3,REP,2010
MOORE, MARTHA J,PA,3,REP,2010
REESE, DONNA R,PA,3,REP,2010
FRANZ, EDWARD J,PA,3,REP,2010
DAHLKEMPER, KATHLEEN,PA,3,DEM,2010
FISHER, STEVEN MARK,PA,3,REP,2010
ONORATO, JOHN A,PA,3,REP,2010
SURMA, D ELAINE,PA,3,REP,2010
LASHER, DAVID BRIAN,PA,3,REP,2010
PAPARELLI, SALVATORE PETER,PA,3,REP,2010
MARIN, MEL M,PA,3,DEM,2010
HUBER, PAUL LEWIS,PA,3,REP,2010
GRABB, CLAYTON W,PA,3,REP,2010
KLEIN, ROBERT CLYDE,PA,4,REP,2010
VINSICK, JOHN STEVEN,PA,4,IND,2010
ALTMIRE, JASON,PA,4,DEM,2010
BUCHANAN, MARY BETH,PA,4,REP,2010
ROTHFUS, KEITH J,PA,4,REP,2010
THOMPSON, GLENN MR.,PA,5,REP,2010
PIPE, MICHAEL,PA,5,DEM,2010
ETZEL, VERNON L,PA,5,LIB,2010
GORDON, BRIAN A,PA,6,DEM,2010
COHEN, HOWARD A,PA,6,REP,2010
COSTELLO, RYAN A,PA,6,REP,2010
SCHRODER, CURT,PA,6,REP,2010
GERLACH, JIM,PA,6,REP,2010
ZELOV, SCOTT,PA,6,REP,2010
PIKE, DOUGLAS ARTHUR,PA,6,DEM,2010
SELLERS, PATRICK HENRY,PA,6,REP,2010
TRIVEDI, MANAN,PA,6,DEM,2010
HUFFORD, WALTER RAY,PA,6,REP,2010
WELCH, STEVEN D,PA,7,REP,2010
LENTZ, BRYAN ROY,PA,7,DEM,2010
TOUEY, ELLEN TERESA,PA,7,DEM,2010
CONNER, GAIL M,PA,7,DEM,2010
SCHNELLER, JAMES D,PA,7,UNK,2010
MEEHAN, PATRICK L,PA,7,REP,2010
SCHOTT, JEFFREY,PA,8,REP,2010
JONES, JAMES,PA,8,REP,2010
MITCHELL, ROBERT A JR,PA,8,REP,2010
MALIK, DEAN,PA,8,REP,2010
CARLINEO, GLORIA,PA,8,REP,2010
LINGENFELTER, TOM,PA,8,REP,2010
FITZPATRICK, MICHAEL G,PA,8,REP,2010
WISENER, ERIC,PA,8,LIB,2010
ALGEO, JUDITH A,PA,8,REP,2010
HOFFMAN, IRA MOYER III,PA,8,REP,2010
MURPHY, PATRICK J.,PA,8,DEM,2010
SHUSTER, WILLIAM FRANKLIN,PA,9,REP,2010
CONNERS, J THOMAS,PA,9,DEM,2010
CLOPPER, CHAD,PA,9,IND,2010
CARNEY, CHRISTOPHER P,PA,10,DEM,2010
MARINO, THOMAS ANTHONY,PA,10,REP,2010
SOLIERI, STEVEN A,PA,10,REP,2010
MADEIRA, DAVID JAMES,PA,10,REP,2010
DERK, MALCOLM LEE III,PA,10,REP,2010
KELLY, BRIAN,PA,11,DEM,2010
PAIGE, CHRISTOPHER HOWARD,PA,11,REP,2010
BARLETTA, LOU,PA,11,REP,2010
O'BRIEN, COREY D,PA,11,DEM,2010
KANJORSKI, PAUL E.,PA,11,DEM,2010
BUCCHIANERI, RYAN,PA,12,DEM,2010
CERNIC, ED JR,PA,12,DEM,2010
RUSSELL, WILLIAM,PA,12,REP,2010
HAFER, BARBARA H,PA,12,DEM,2010
AGORIS, DEMO,PA,12,LIB,2010
TEICH, BRUCE,PA,12,IND,2010
MACKELL, RONALD R JR,PA,12,DEM,2010
CRITZ, MARK,PA,12,DEM,2010
BURNS, TIMOTHY RAYMOND,PA,12,REP,2010
MCINTYRE, CHARLES L,PA,13,REP,2010
QUINTER, JOSHUA C,PA,13,REP,2010
HAUGHTON, BRIAN,PA,13,REP,2010
ADCOCK, CARSON DEE,PA,13,REP,2010
DACHOWSKI, DAMIAN DAVID,PA,13,REP,2010
SCHWARTZ, ALLYSON Y.,PA,13,DEM,2010
BORTZ, ED,PA,14,GRE,2010
NOLAN, JOSEPH P,PA,14,REP,2010
HALUSZCZAK, MELISSA ANN,PA,14,REP,2010
DOYLE, MIKE,PA,14,DEM,2010
DENT, CHARLES WIEDER,PA,15,REP,2010
BENOL, MATHEW MARK,PA,15,REP,2010
CALLAHAN, JOHN BURK,PA,15,DEM,2010
TOWNE, JAKE,PA,15,IND,2010
PITTS, JOSEPH R.,PA,16,REP,2010
HERR, LOIS K,PA,16,DEM,2010
GRIFFITH, EARLE ALLEN,PA,17,REP,2010
DOWFORD, SHEILA ELIZABETH,PA,17,DEM,2010
ARGALL, DAVID G,PA,17,REP,2010
RYAN, FRANCIS X,PA,17,REP,2010
HOLDEN, T. TIMOTHY,PA,17,DEM,2010
FIRST, JOSHUA,PA,17,REP,2010
KENNEDY, PATRICK MICHAEL,PA,18,DEM,2010
MURPHY, TIM,PA,18,REP,2010
CONNOLLY, DANIEL C,PA,18,DEM,2010
SANDERS, RYAN SCOTT,PA,19,DEM,2010
SMELTZER, MICHAEL E,PA,19,REP,2010
MONIGHAN, JOSHUA A,PA,19,UNK,2010
PLATTS, TODD R,PA,19,REP,2010
LOUGHLIN, JOHN J II,RI,1,REP,2010
CICILLINE, DAVID N,RI,1,DEM,2010
RUSSO, KARA D.,RI,1,REP,2010
CURRY, JAMES M.,RI,1,IND,2010
BLAKE, C. MICHAEL,RI,1,IND,2010
MARSHALL, KENNETH A.,RI,1,IND,2010
CAPALBO, KENNETH A.,RI,1,IND,2010
ADAMS, RICKY B.,RI,1,IND,2010
RAPOSA, GREGORY,RI,1,IND,2010
CARTER, FRANK,RI,1,IND,2010
GEMMA, ANTHONY P,RI,1,DEM,2010
LYNCH, WILLIAM J,RI,1,DEM,2010
SEGAL, DAVID ALAN,RI,1,DEM,2010
CLEGG, WILLIAM J,RI,2,REP,2010
GARDINER, MICHAEL J,RI,2,REP,2010
MATSON, JOHN O,RI,2,IND,2010
ROBBIO, DONALD F.,RI,2,REP,2010
ALGER, MICHAEL G.,RI,2,IND,2010
PICERNO, CHARLES,RI,2,IND,2010
DENNIGAN, ELIZABETH,RI,2,DEM,2010
GRECO, ERNEST A,RI,2,DEM,2010
LANGEVIN, JAMES R,RI,2,DEM,2010
ZACCARIA, MARK,RI,2,REP,2010
CAMPBELL, CARROLL A III,SC,1,REP,2010
LUTZ, MARK STEVEN,SC,1,REP,2010
FAVA, MARK CHRISTOPHER,SC,1,REP,2010
BUCKHANNON, RYAN L,SC,1,REP,2010
MCCULLOUGH, MILTON ELMER 'MAC' JR,SC,1,CIT,2010
BLANDFORD, KEITH,SC,1,LIB,2010
JENERETTE, KATHERINE,SC,1,REP,2010
WITTE, W STOVALL JR,SC,1,REP,2010
BURTON, ROBERT,SC,1,DEM,2010
WOOD, JIMMY,SC,1,OTH,2010
DOBBS, ROBERT,SC,1,DEM,2010
WITHINGTON, RICHARD B  ''DICK'',SC,1,DEM,2010
THURMOND, PAUL,SC,1,REP,2010
KOBROVSKY, LAWRENCE C,SC,1,REP,2010
GROCE, ROBERT E,SC,1,UNK,2010
GLASSON, KENNETH THOMAS JR,SC,1,REP,2010
SCOTT, TIMOTHY E,SC,1,REP,2010
PARKER, CLARK B,SC,1,REP,2010
FRASIER, BENJAMIN JR,SC,1,DEM,2010
MCCAIN, EDDIE,SC,2,LIB,2010
WILSON, JOE THE HON.,SC,2,REP,2010
BLACK, PHILIP H,SC,2,REP,2010
MILLER, ROBERT L,SC,2,DEM,2010
BEAMAN, MARC ALAN,SC,2,CON,2010
DALEN, JOHN,SC,3,CON,2010
CASH, RICHARD JAMES,SC,3,REP,2010
DYER, JANE B MRS,SC,3,DEM,2010
MASSEY, ANTHONY SHANE,SC,3,REP,2010
DUNCAN, JEFF,SC,3,REP,2010
GRIMAUD, JOSEPH A JR,SC,3,REP,2010
DOYLE, BRIAN LAMONT,SC,3,DEM,2010
COLLINS, NEAL ANTHONY MR,SC,3,REP,2010
VASOVSKI, FRANK MICHAEL,SC,3,REP,2010
GALYEAN, JAMES D,SC,3,REP,2010
RICE, REX FONTAINE,SC,3,REP,2010
LEE, JAMES LEWIS,SC,4,REP,2010
WALTERS, C FAYE,SC,4,GRE,2010
GOWDY, TREY,SC,4,REP,2010
THOMAS, DAVID L,SC,4,REP,2010
JEFFREY, CHRISTINA KELLY FAWCETT,SC,4,REP,2010
INGLIS, ROBERT D,SC,4,REP,2010
MAHLER, RICHARD,SC,4,LIB,2010
EDWARDS, DAVID MICHAEL,SC,4,CON,2010
CORDEN, PAUL HENRY,SC,4,DEM,2010
SMART, ANDREW THOMAS,SC,4,REP,2010
MULVANEY, JOHN MICHAEL 'MICK',SC,5,REP,2010
SPRATT, JOHN MCKEE JR HON,SC,5,DEM,2010
PRATT, JAMES PHILIP,SC,6,REP,2010
HARRELSON, NANCY,SC,6,REP,2010
PAYNE, COLLEEN,SC,6,REP,2010
MUHAMMAD, NAMMU,SC,6,GRE,2010
BROWN, GREGORY ANTHONY,SC,6,DEM,2010
CLYBURN, JAMES E,SC,6,DEM,2010
MARKING, B THOMAS,SD,0,IND,2010
NOEM, KRISTI LYNN,SD,0,REP,2010
