Bonner, Jo#AL#1#REP#2010#1
Ellison, Keith#MN#5#OTHER#2012#0.720939799
Fields, Chris#MN#5#REP#2012#0.241653794
Lane, Tony#MN#5#WRI#2012#0
Bachmann, Michele#MN#6#REP#2012#0.525433836
Graves, Jim#MN#6#OTHER#2012#0.456468092
Hed, Curtis#MN#6#WRI#2012#9.88E-06
Henkels, Derek#MN#6#WRI#2012#9.88E-06
Peterson, Collin C.#MN#7#OTHER#2012#0.58502557
Byberg, Lee#MN#7#REP#2012#0.376299273
Steele, Adam#MN#7#OTHER#2012#0.58502557
Nolan, Richard#MN#8#OTHER#2012#0.517997899
Cravaack, Chip#MN#8#REP#2012#0.482002101
Nunnelee, Alan#MS#1#REP#2012#0.552614643
Morris, Brad#MS#1#DEM#2012#0.407991127
Bedwell, Danny#MS#1#LIB#2012#0.002040229
Bourland, Jim R.#MS#1#OTHER#2012#0.007412378
Potts, Chris#MS#1#OTHER#2012#0.007412378
Thompson, Bennie G.#MS#2#DEM#2012#0.614667709
Marcy, Bill#MS#2#REP#2012#0.376403511
Williams, Cobby Mondale#MS#2#IND#2012#0
Williams, Lajena#MS#2#OTHER#2012#0.00892878
Harper, Gregg#MS#3#REP#2012#0.679928717
"""""""Pannell, John """"""""Luke"""""""""""""""#MS#3#OTHER#2012#0.008145196
Palazzo, Steven M.#MS#4#REP#2012#0.519278803
Moore, Matt#MS#4#DEM#2012#0.468291508
Williams, Ron#MS#4#LIB#2012#0.008560162
Claunch, Robert W.#MS#4#OTHER#2012#0.003869528
Clay, Lacy#MO#1#DEM#2012#0.73551107
Hamlin, Robyn#MO#1#REP#2012#0.236222731
Cunningham, Robb E.#MO#1#LIB#2012#0.028266199
Wagner, Ann#MO#2#REP#2012#0.679439977
Koenen, Glenn#MO#2#DEM#2012#0.291632785
Slantz, Bill#MO#2#LIB#2012#0.028900885
Zorikova, Anatol#MO#2#OTHER#2012#0
Luetkemeyer, Blaine#MO#3#REP#2012#0.466587882
Mayer, Eric C.#MO#3#DEM#2012#0.489440382
Wilson, Steven#MO#3#LIB#2012#0.028421597
Hartzler, Vicky#MO#4#REP#2012#0.504270048
Hensley, Teresa#MO#4#DEM#2012#0.451141049
Holbrook, Thomas#MO#4#LIB#2012#0.027206562
Cowan, Greg#MO#4#OTHER#2012#0.01738234
Cleaver, Emanuel, II#MO#5#DEM#2012#0.533248356
Turk, Jacob#MO#5#REP#2012#0.441838233
Langkraehr, Randall (Randy)#MO#5#LIB#2012#0.016074348
Feagle, Andrew#MO#5#WRI#2012#0
Graves, Sam#MO#6#REP#2012#0.694432928
Yarber, Kyle#MO#6#DEM#2012#0.305355276
Monchil, Russ Lee#MO#6#LIB#2012#0
Long, Billy#MO#7#REP#2012#0.633949405
Evans, Jim#MO#7#DEM#2012#0.303667205
Craig, Kevin#MO#7#LIB#2012#0.062338433
Brown, Kenneth Joe#MO#7#WRI#2012#4.50E-05
Emerson, Jo Ann#MO#8#REP#2012#0.655610488
Rushin, Jack#MO#8#DEM#2012#0.287639223
Vandeven, Rick#MO#8#LIB#2012#0.020051123
Daines, Steve#MT#0#REP#2012#0.604138857
Gillan, Kim#MT#0#DEM#2012#0.338440533
Kaiser, David#MT#0#LIB#2012#0.05742061
Fortenberry, Jeff#NE#1#REP#2012#0.712728005
Reiman, Korey L.#NE#1#DEM#2012#0.287271995
Terry, Lee#NE#2#REP#2012#0.60806345
Ewing, John W., Jr.#NE#2#DEM#2012#0.39193655
Smith, Adrian#NE#3#REP#2012#0.701225163
Sullivan, Mark#NE#3#DEM#2012#0.178973111
Titus, Dina#NV#1#DEM#2012#0.617477842
Edwards, Chris#NV#1#REP#2012#0.352828248
"""""""Pojunis, William """"""""Bill"""""""""""""""#NV#1#LIB#2012#0.01266701
Vaughan, Stan#NV#1#OTHER#2012#0.017026901
Amodei, Mark E.#NV#2#REP#2012#0.632995652
Koepnick, Samuel#NV#2#DEM#2012#0.326553558
Haines, Michael L.#NV#2#IND#2012#0
Best, Russell#NV#2#OTHER#2012#0.04045079
Heck, Joe#NV#3#REP#2012#0.481256113
Oceguera, John#NV#3#DEM#2012#0.474730657
Murphy, Jim#NV#3#IND#2012#0.024164346
Jones, Tom#NV#3#OTHER#2012#0.00481943
Horsford, Steven A.#NV#4#DEM#2012#0
Tarkanian, Danny#NV#4#REP#2012#0
Fitzgibbons, Floyd#NV#4#OTHER#2012#0
Silvestri, Joseph P.#NV#4#LIB#2012#0
Shea-Porter, Carol#NH#1#DEM#2012#0.424223983
Guinta, Frank C.#NH#1#REP#2012#0.540391073
Kelly, Brendan#NH#1#LIB#2012#0.035384943
Kuster, Ann McLane#NH#2#DEM#2012#0.467633745
Bass, Charles#NH#2#REP#2012#0.48343519
Macia, Hardy#NH#2#LIB#2012#0.021347529
Andrews, Robert E.#NJ#1#DEM#2012#0.631936149
Horton, Gregory W.#NJ#1#REP#2012#0.348030214
Reitter, John William#NJ#1#GRE#2012#0.009467097
Chapman, Margaret#NJ#1#OTHER#2012#0.01056654
LoBiondo, Frank A.#NJ#2#REP#2012#0.654978459
Shober, Cassandra#NJ#2#DEM#2012#0.309298708
Ordille, John#NJ#2#LIB#2012#0
Lukens, Charles#NJ#2#OTHER#2012#0.035722834
Bowen, David W., Sr.#NJ#2#OTHER#2012#0.035722834
Faralli, Frank, Jr.#NJ#2#OTHER#2012#0.035722834
Runyan, Jon#NJ#3#REP#2012#0.500274614
Adler, Shelley#NJ#3#DEM#2012#0.473208085
Forchion, Robert Edward#NJ#3#OTHER#2012#0.019958331
Shapiro, Robert#NJ#3#OTHER#2012#0.019958331
Lavergne, Frederick John#NJ#3#OTHER#2012#0.019958331
Witterschein, Robert#NJ#3#OTHER#2012#0.019958331
Dennick, Christopher G., Jr.#NJ#3#OTHER#2012#0.019958331
Smith, Christopher H.#NJ#4#REP#2012#0.694091089
Froelich, Brian P.#NJ#4#DEM#2012#0.278798318
Marshall, Leonard P.#NJ#4#OTHER#2012#0.003113332
Garrett, Scott#NJ#5#REP#2012#0.649395528
Gussen, Adam#NJ#5#DEM#2012#0.32793872
Alessandrini, Patricia#NJ#5#GRE#2012#0.012288408
Pallone, Frank, Jr.#NJ#6#DEM#2012#0.547453595
Little, Anna#NJ#6#REP#2012#0.437071535
Flynn, Len#NJ#6#LIB#2012#0
Zaletel, Karen#NJ#6#OTHER#2012#0.006795312
Lyden, Mac Dara#NJ#6#IND#2012#0.008679558
Tarbous, Herbert L.#NJ#6#OTHER#2012#0.006795312
Lance, Leonard#NJ#7#REP#2012#0.593741878
Chivukula, Upendra J.#NJ#7#DEM#2012#0.406258122
Breen, Dennis A.#NJ#7#OTHER#2012#0
McKnight, Patrick#NJ#7#LIB#2012#0
Sires, Albio#NJ#8#DEM#2012#0.626579231
Karczewski, Maria#NJ#8#REP#2012#0.361332219
Shaw, Herbert H.#NJ#8#OTHER#2012#0
DeLuca, Stephen#NJ#8#OTHER#2012#0
Olivera, Pablo#NJ#8#OTHER#2012#0
Pascrell, Bill, Jr.#NJ#9#DEM#2012#0.607181783
Boteach, Shmuley#NJ#9#REP#2012#0.378431401
Smith, E. David#NJ#9#OTHER#2012#0
Woolsey, Jeanette#NJ#9#OTHER#2012#0
Payne, Donald M., Jr.#NJ#10#DEM#2012#0.851819409
Kelemen, Brian C.#NJ#10#REP#2012#0.128328432
Miller, Joanne#NJ#10#OTHER#2012#0.019852159
Erickson, Mick#NJ#10#LIB#2012#0
Frelinghuysen, Rodney P.#NJ#11#REP#2012#0.671886689
Arvanites, John#NJ#11#DEM#2012#0.305126513
Berlin, Barry#NJ#11#OTHER#2012#0
Holt, Rush#NJ#12#DEM#2012#0.530455584
Beck, Eric A.#NJ#12#REP#2012#0.458985696
Freudenheim, Jack#NJ#12#IND#2012#0
Cody, Kenneth J.#NJ#12#OTHER#2012#0.01055872
Lujan Grisham, Michelle#NM#1#DEM#2012#0.518789413
Arnold-Jones, Janice E.#NM#1#REP#2012#0.481210587
Pahls, Jeanne#NM#1#WRI#2012#0
Pearce, Steve#NM#2#REP#2012#0.554028581
Erhard, Evelyn Madrid#NM#2#DEM#2012#0.445971419
McGrann, Jack A.#NM#2#WRI#2012#0
Lujan, Ben R.#NM#3#DEM#2012#0.569860166
Byrd, Jefferson L.#NM#3#REP#2012#0.430139834
Bishop, Timothy H.#NY#1#OTHER#2012#1
Altschuler, Randy#NY#1#OTHER#2012#1
King, Peter T.#NY#2#OTHER#2012#1
Falcone, Vivianne C.#NY#2#OTHER#2012#1
Israel, Steve J.#NY#3#OTHER#2012#0.719451426
Labate, Stephen A.#NY#3#OTHER#2012#0.719451426
McDermott, Michael#NY#3#LIB#2012#0
Tolda, Anthony#NY#3#OTHER#2012#0.719451426
McCarthy, Carolyn#NY#4#OTHER#2012#1
Becker, Francis X., Jr.#NY#4#OTHER#2012#1
Scaturro, Frank J.#NY#4#OTHER#2012#1
Meeks, Gregory W.#NY#5#DEM#2012#0
Jennings, Allan W., Jr.#NY#5#REP#2012#0
Wark, Catherine#NY#5#LIB#2012#0
Meng, Grace#NY#6#DEM#2012#0.877984359
Meng, Grace#NY#6#OTHER#2012#0.122015641
Halloran, Daniel J.#NY#6#OTHER#2012#0.122015641
Chou, Evergreen C.#NY#6#GRE#2012#0
Velazquez, Nydia M.#NY#7#OTHER#2012#0.988261902
Murray, James#NY#7#OTHER#2012#0.988261902
Jeffries, Hakeem S.#NY#8#OTHER#2012#1
Bellone, Alan S.#NY#8#OTHER#2012#1
Beavan, Colin M.#NY#8#GRE#2012#0
Clarke, Yvette D.#NY#9#OTHER#2012#1
Cavanagh, Daniel J.#NY#9#OTHER#2012#1
Morgan, Vivia M.#NY#9#GRE#2012#0
Nadler, Jerrold L.#NY#10#OTHER#2012#0.017688555
Chan, Michael W.#NY#10#OTHER#2012#0.017688555
Grimm, Michael G.#NY#11#OTHER#2012#1
Murphy, Mark S.#NY#11#OTHER#2012#1
Bardel, Henry J.#NY#11#GRE#2012#0
Maloney, Carolyn B.#NY#12#OTHER#2012#1
Wight, Christopher R.#NY#12#OTHER#2012#1
Rangel, Charles B.#NY#13#OTHER#2012#0.992669223
Schley, Craig#NY#13#REP#2012#0
Liatos, Deborah O.#NY#13#OTHER#2012#0.992669223
Crowley, Joseph#NY#14#OTHER#2012#0.775612316
Gibbons, Willam F., Jr.#NY#14#OTHER#2012#0.775612316
Gronowicz, Anthony#NY#14#GRE#2012#0
Serrano, Jose E.#NY#15#OTHER#2012#1.000000001
Della Valle, Frank L.#NY#15#OTHER#2012#1.000000001
Engel, Eliot L.#NY#16#OTHER#2012#1
McLaughlin, Joseph#NY#16#REP#2012#0
Diaferia, Joseph#NY#16#GRE#2012#0
Lowey, Nita M.#NY#17#OTHER#2012#0.772230674
Carvin, Joe#NY#17#REP#2012#0.227769325
Morganthaler, Francis E.#NY#17#OTHER#2012#0.772230674
Maloney, Sean Patrick#NY#18#OTHER#2012#1
Maloney, Sean Patrick#NY#18#DEM#2012#0
Hayworth, Nan#NY#18#OTHER#2012#1
Gibson, Christopher P.#NY#19#OTHER#2012#1
Schreibman, Julian#NY#19#OTHER#2012#1
Tonko, Paul D.#NY#20#OTHER#2012#1
Dieterich, Robert J.#NY#20#OTHER#2012#1
Owens, William L.#NY#21#OTHER#2012#1
Doheny, Matthew A.#NY#21#OTHER#2012#1
Hassig, Donald L.#NY#21#GRE#2012#0
Hanna, Richard L.#NY#22#OTHER#2012#1
Lamb, Dan#NY#22#DEM#2012#0
Reed, Thomas W., II#NY#23#OTHER#2012#1.000000001
Shinagawa, Nate#NY#23#OTHER#2012#1.000000001
Maffei, Daniel B.#NY#24#OTHER#2012#1
Buerkle, Ann Marie#NY#24#OTHER#2012#1
Rozum, Ursula E.#NY#24#GRE#2012#0
Slaughter, Louise M.#NY#25#OTHER#2012#1
Brooks, Maggie#NY#25#OTHER#2012#1
Higgins, Brian#NY#26#OTHER#2012#0.73606116
Madigan, Michael H.#NY#26#OTHER#2012#0.73606116
Collins, Chris#NY#27#OTHER#2012#1
Hochul, Kathy C.#NY#27#OTHER#2012#1
Butterfield, G. K .#NC#1#DEM#2012#0.593094895
DiLauro, Pete#NC#1#REP#2012#0.406905105
Holloman, Darryl#NC#1#LIB#2012#0
Ellmers, Renee#NC#2#REP#2012#0.494672611
Wilkins, Steve#NC#2#DEM#2012#0.486858052
Irving, Brian#NC#2#LIB#2012#0.018469337
Jones, Walter B.#NC#3#REP#2012#0.718625818
Anderson, Erik#NC#3#DEM#2012#0.257481034
Price, David#NC#4#DEM#2012#0.571617764
D'Annunzio, Tim#NC#4#REP#2012#0.428382236
Foxx, Virginia#NC#5#REP#2012#0.658854032
Motsinger, Elisabeth#NC#5#DEM#2012#0.341145968
Coble, Howard#NC#6#REP#2012#0.752082942
Foriest, Tony#NC#6#DEM#2012#0.247917058
McIntyre, Mike#NC#7#DEM#2012#0.536811362
Rouzer, David#NC#7#REP#2012#0.463188638
Hudson, Richard#NC#8#REP#2012#0.437261948
Kissell, Larry#NC#8#DEM#2012#0.530820423
Blue, Antonio#NC#8#WRI#2012#0.001435038
Pittenger, Robert#NC#9#REP#2012#0.689671647
Roberts, Jennifer#NC#9#DEM#2012#0.310328353
Campbell, Curtis#NC#9#LIB#2012#0
McHenry, Patrick#NC#10#REP#2012#0.711771907
Keever, Patsy#NC#10#DEM#2012#0.288228093
Meadows, Mark#NC#11#REP#2012#0.456560001
Rogers, Hayden#NC#11#DEM#2012#0.543439999
Watt, Mel#NC#12#DEM#2012#0.638830421
Brosch, Jack#NC#12#REP#2012#0.341435864
Holding, George#NC#13#REP#2012#0.445019646
Malone, Charles#NC#13#DEM#2012#0.554980354
Cramer, Kevin#ND#0#REP#2012#0.549207934
Gulleson, Pam#ND#0#OTHER#2012#0.450792066
Olson, Eric#ND#0#LIB#2012#0
Chabot, Steve#OH#1#REP#2012#0.514941593
Sinnard, Jeff#OH#1#DEM#2012#0.45986959
Berns, Jim#OH#1#LIB#2012#0.015264145
Stevenson, Rich#OH#1#GRE#2012#0.009924672
Wenstrup, Brad#OH#2#REP#2012#0.584527739
Smith, William R.#OH#2#DEM#2012#0.34657445
Beatty, Joyce#OH#3#DEM#2012#0.318875957
Long, Chris#OH#3#REP#2012#0.681124043
Ehrbar, Richard#OH#3#LIB#2012#0
Fitrakis, Bob#OH#3#GRE#2012#0
Brown, Jeff#OH#3#WRI#2012#0
Jordan, Jim#OH#4#REP#2012#0.714882264
Slone, Jim#OH#4#DEM#2012#0.247383365
Kalla, Chris#OH#4#OTHER#2012#0
Latta, Bob#OH#5#REP#2012#0.678240373
Zimmann, Angela#OH#5#DEM#2012#0.264729842
Eberly, Eric#OH#5#LIB#2012#0.057029785
Johnson, Bill#OH#6#REP#2012#0.501860635
Wilson, Charlie#OH#6#DEM#2012#0.451528639
Gibbs, Bob#OH#7#REP#2012#0.621680798
Healy-Abrams, Joyce R.#OH#7#DEM#2012#0.32247278
Boehner, John A.#OH#8#REP#2012#0.656427638
Condit, James J., Jr.#OH#8#WRI#2012#0
Kaptur, Marcy#OH#9#DEM#2012#0.59353836
Wurzelbacher, Samuel J.#OH#9#REP#2012#0.40646164
Stipe, Sean P.#OH#9#LIB#2012#0
Turner, Mike#OH#10#REP#2012#0.438730853
Neuhardt, Sharen Swartz#OH#10#DEM#2012#0.530519406
Harlow, David A.#OH#10#LIB#2012#0.030749741
Fudge, Marcia L.#OH#11#DEM#2012#0.829299424
Tiberi, Pat#OH#12#REP#2012#0.557853481
Reese, Jim#OH#12#DEM#2012#0.409788989
Ryan, Tim#OH#13#DEM#2012#0.557321987
Agana, Marisha G.#OH#13#REP#2012#0.442678013
Joyce, David P.#OH#14#REP#2012#0.649201915
Blanchard, Dale Virgil#OH#14#DEM#2012#0.314486821
Mastromatteo, Elaine R.#OH#14#GRE#2012#0
Macko, David#OH#14#LIB#2012#0.036311264
Zurbrugg, Aaron J.#OH#14#WRI#2012#0
Winfield, Steven T.#OH#14#WRI#2012#0
Robinson, Erick Donald#OH#14#WRI#2012#0
Stivers, Steve#OH#15#REP#2012#0.541582803
Lang, Pat#OH#15#DEM#2012#0.412867867
Renacci, Jim#OH#16#REP#2012#0.520821125
Sutton, Betty#OH#16#DEM#2012#0.412620323
Brindenstine, Jim#OK#1#REP#2012#0.768042311
Olson, John#OK#1#DEM#2012#0
Allen, Craig#OK#1#IND#2012#0.231957689
Mullin, Markwayne#OK#2#REP#2012#0.434761713
Wallace, Rob#OK#2#DEM#2012#0.565238287
Fulks, Michael G.#OK#2#IND#2012#0
Lucas, Frank D.#OK#3#REP#2012#0.779935072
Murray, Timothy Ray#OK#3#DEM#2012#0.220064928
Sanders, William M.#OK#3#IND#2012#0
Cole, Tom#OK#4#REP#2012#1
Bebo, Donna Marie#OK#4#DEM#2012#0
Harris, RJ#OK#4#IND#2012#0
Lankford, James#OK#5#REP#2012#0.625230207
Guild, Tom#OK#5#DEM#2012#0.345369219
Martin, Pat#OK#5#IND#2012#0.029400573
Murphy, Robert T.#OK#5#IND#2012#0.029400573
Bonamici, Suzanne#OR#1#OTHER#2012#0.023280698
Morgan, Delinda#OR#1#REP#2012#0.42000294
Reynolds, Steven#OR#1#OTHER#2012#0.023280698
Ekstrom, Bob#OR#1#OTHER#2012#0.023280698
Walden, Greg#OR#2#REP#2012#0.740774663
Segers, Joyce B.#OR#2#OTHER#2012#0
Tabor, Joe#OR#2#LIB#2012#0
Blumenauer, Earl#OR#3#DEM#2012#0.701189201
Green, Ronald#OR#3#REP#2012#0.245879555
Broadnax, Woodrow#OR#3#OTHER#2012#0.052931244
Cline, Michael#OR#3#LIB#2012#0
DeFazio, Peter A.#OR#4#OTHER#2012#0.999999999
Robinson, Art#OR#4#OTHER#2012#0.999999999
Huntting, Chuck#OR#4#LIB#2012#0
Schrader, Kurt#OR#5#DEM#2012#0.513151994
Thompson, Fred#OR#5#REP#2012#0
Lugo, Christina Jean#OR#5#OTHER#2012#0.486848007
Baldwin, Raymond#OR#5#OTHER#2012#0.486848007
Brady, Robert A.#PA#1#DEM#2012#1
Featherman, John#PA#1#REP#2012#0
Fattah, Chaka#PA#2#DEM#2012#0.89298363
Mansfield, Robert Allen, Jr.#PA#2#REP#2012#0.10701637
Foster, James#PA#2#IND#2012#0
Kelly, Mike#PA#3#REP#2012#0.557224161
Eaton, Missa#PA#3#DEM#2012#0.442775839
Porter, Steven#PA#3#IND#2012#0
Perry, Scott#PA#4#REP#2012#0.491864499
Perkinson, Harry#PA#4#DEM#2012#0.508135501
Wolf, Wayne W.#PA#4#IND#2012#0
Koffenberger, Michael Bryant#PA#4#LIB#2012#0
Thompson, Glenn#PA#5#REP#2012#0.68689357
Dumas, Charles#PA#5#DEM#2012#0.28232675
Gerlach, Jim#PA#6#REP#2012#0.571024874
Trivedi, Manan M.#PA#6#DEM#2012#0.428975126
Meehan, Patrick L.#PA#7#REP#2012#0.549438502
Badey, George#PA#7#DEM#2012#0.439766073
Fitzpatrick, Mike#PA#8#REP#2012#0.535226315
Boockvar, Kathy#PA#8#DEM#2012#0.464773685
Shuster, Bill#PA#9#REP#2012#0.730612791
Ramsburg, Karen#PA#9#OTHER#2012#0
Marino, Thomas A.#PA#10#REP#2012#0.551767318
Scollo, Philip#PA#10#DEM#2012#0.448232682
Barletta, Lou#PA#11#REP#2012#0.547005573
Stilp, Gene#PA#11#DEM#2012#0.452994427
Rothfus, Keith J.#PA#12#REP#2012#0.492209517
Critz, Mark S.#PA#12#DEM#2012#0.507790483
Schwartz, Allyson Y.#PA#13#DEM#2012#0.563415711
Rooney, Joseph James#PA#13#REP#2012#0.436584289
Doyle, Mike#PA#14#DEM#2012#0.687851468
Lessmann, Hans F.#PA#14#REP#2012#0.281720854
Dent, Charles W.#PA#15#REP#2012#0.535492892
Daugherty, Richard#PA#15#DEM#2012#0.389962258
Pitts, Joseph R.#PA#16#REP#2012#0.653868469
Strader, Aryanna C.#PA#16#DEM#2012#0.346131531
Murphy, John A#PA#16#IND#2012#0
Bednarski, James F.#PA#16#OTHER#2012#0
Cartwright, Matthew A.#PA#17#DEM#2012#0.555005949
Cummings, Laureen A.#PA#17#REP#2012#0.444994051
Murphy, Tim#PA#18#REP#2012#0.673282151
Maggi, Lawrence#PA#18#DEM#2012#0.326717849
Cicilline, David N.#RI#1#DEM#2012#0.506024171
Doherty, Brendan P.#RI#1#REP#2012#0.445458678
Vogel, David S.#RI#1#IND#2012#0.048305449
Anyone Else#RI#1#WRI#2012#0.0001308
Mouse, Mickey#RI#1#WRI#2012#0.0001308
Langevin, James R.#RI#2#DEM#2012#0.598644993
Riley, Michael G.#RI#2#REP#2012#0.317595607
Collins, Abel G.#RI#2#IND#2012#0.083593177
None#RI#2#WRI#2012#2.87E-05
Scott, Tim#SC#1#REP#2012#0.65410736
Rose, Bobbie#SC#1#OTHER#2012#0.032757823
Blandford, Keith#SC#1#LIB#2012#0.011775688
Wilson, Joe#SC#2#REP#2012#0.53496552
Duncan, Jeff#SC#3#REP#2012#0.62488862
Doyle, Brian Ryan B.#SC#3#DEM#2012#0
Gowdy, Trey#SC#4#REP#2012#0.63504064
Morrow, Deb#SC#4#OTHER#2012#0.051043816
Sumerel, Jeff#SC#4#GRE#2012#0.011834374
Mulvaney, Mick#SC#5#REP#2012#0.551589006
Knott, Joyce#SC#5#OTHER#2012#0
"""""""Clyburn, James E. """"""""Jim"""""""""""""""#SC#6#DEM#2012#0.628838799
Muhammad, Nammu Y.#SC#6#GRE#2012#0.006962092
Rice, Tom#SC#7#REP#2012#0
Tinubu, Gloria Bromell#SC#7#OTHER#2012#0
Noem, Kristi#SD#0#REP#2012#0.481185001
Varilek, Matt#SD#0#DEM#2012#0.458913802
Roe, Phil#TN#1#REP#2012#0.808393741
Woodruff, Alan#TN#1#DEM#2012#0.171167382
Brackett, Karen Sherry#TN#1#IND#2012#0.020438877
Smith, Robert N.#TN#1#GRE#2012#0
Salyer, Michael D.#TN#1#IND#2012#0.020438877
Duncan, John J., Jr.#TN#2#REP#2012#0.81783366
Goodale, Troy Christopher#TN#2#DEM#2012#0.146499019
Dryer, Norris#TN#2#GRE#2012#0
Samples, Greg#TN#2#IND#2012#0.03566732
Stewart, Brandon#TN#2#IND#2012#0.03566732
Fleischmann, Chuck#TN#3#REP#2012#0.567902453
Headrick, Mary M.#TN#3#DEM#2012#0.280069852
Deniston, Matthew#TN#3#IND#2012#0.152027694
Howard-Hill, Lady J Jean#TN#3#WRI#2012#0
Hall, Richard#TN#3#WRI#2012#0
DesJarlais, Scott#TN#4#REP#2012#0.570659363
Stewart, Eric#TN#4#DEM#2012#0.385606314
Cooper, Jim#TN#5#DEM#2012#0.56226398
Staats, Brad#TN#5#REP#2012#0.420748234
Miglietta, John#TN#5#GRE#2012#0
Puckett, Sean#TN#5#WRI#2012#0
Black, Diane#TN#6#REP#2012#0.672568085
Beasley, Scott#TN#6#IND#2012#0.033608255
Riley, Pat#TN#6#GRE#2012#0
Robinson, Rachel#TN#6#WRI#2012#0
Thompson, Michael H.#TN#6#WRI#2012#0
Blackburn, Marsha#TN#7#REP#2012#0.723717228
Amouzouvik, Credo#TN#7#DEM#2012#0.247500945
Switzer, Howard#TN#7#GRE#2012#0
Arnold, Jack#TN#7#IND#2012#0.028781827
Akin, Wm. Ryan#TN#7#IND#2012#0.028781827
Ladner, Leonard D. (Lenny)#TN#7#IND#2012#0.028781827
Fincher, Stephen Lee#TN#8#REP#2012#0.589940563
Dixon, Timothy D.#TN#8#DEM#2012#0.388040978
Hart, James#TN#8#IND#2012#0.021964697
Rawles, Mark J.#TN#8#IND#2012#0.021964697
Cohen, Steve#TN#9#DEM#2012#0.739969016
Flinn, George S., Jr.#TN#9#REP#2012#0.251128555
Saulsberry, Brian L.#TN#9#IND#2012#0.008902429
Joiner, Gregory M.#TN#9#IND#2012#0.008902429
Smith, Kimberlee E.#TN#9#WRI#2012#0
Bass, Herbert A.#TN#9#WRI#2012#0
Gohmert, Louie#TX#1#REP#2012#0.897294898
McKellar, Shirley J.#TX#1#DEM#2012#0
Patterson, Clark#TX#1#LIB#2012#0.102705102
Poe, Ted#TX#2#REP#2012#0.886111319
Dougherty, Jim#TX#2#DEM#2012#0
Duncan, Kenneth#TX#2#LIB#2012#0.113888681
Roberts, Mark A.#TX#2#GRE#2012#0
Johnson, Sam#TX#3#REP#2012#0.662814768
Hall, Ralph M.#TX#4#REP#2012#0.731874644
Hathcox, VaLinda#TX#4#DEM#2012#0.219957485
Griffing, Thomas#TX#4#LIB#2012#0.025385697
Rostek, Fred#TX#4#WRI#2012#0
Hensarling, Jeb#TX#5#REP#2012#0.7052706
Mrosko, Linda S.#TX#5#DEM#2012#0.275185168
Ashby, Ken#TX#5#LIB#2012#0.019544232
Barton, Joe L.#TX#6#REP#2012#0.659091888
Sanders, Kenneth#TX#6#DEM#2012#0.311995177
Chauvin, Hugh#TX#6#LIB#2012#0.028912935
Parmer, Brandon#TX#6#GRE#2012#0
Culberson, John#TX#7#REP#2012#0.814472326
Cargas, James#TX#7#DEM#2012#0
Parks, Drew#TX#7#LIB#2012#0.179750309
Findley, Lance#TX#7#GRE#2012#0
Brady, Kevin#TX#8#REP#2012#0.802674305
Burns, Neil#TX#8#DEM#2012#0.172521992
Hall, Roy#TX#8#LIB#2012#0.024803704
Green, Al#TX#9#DEM#2012#0.757391247
Mueller, Steve#TX#9#REP#2012#0.22881428
Foster, Vanessa#TX#9#GRE#2012#0
Wieder, John#TX#9#LIB#2012#0.013794473
McCaul, Michael#TX#10#REP#2012#0.646738427
Cadien, Tawana W.#TX#10#DEM#2012#0.330488779
Priest, Richard#TX#10#LIB#2012#0.022772794
Conaway, Mike#TX#11#REP#2012#0.808426677
Riley, Jim#TX#11#DEM#2012#0.154428994
Ballard, Scott J.#TX#11#LIB#2012#0.027816403
Granger, Kay#TX#12#REP#2012#0.718572821
Robinson, Dave#TX#12#DEM#2012#0.251338962
Solodow, Matthew#TX#12#LIB#2012#0.030088218
Thornberry, Mac#TX#13#REP#2012#0.870488992
Deek, John Robert#TX#13#LIB#2012#0.043447167
Houston, Keith F.#TX#13#GRE#2012#0
Weber, Randy#TX#14#REP#2012#0.759902515
Lampson, Nick#TX#14#DEM#2012#0.240097485
Grady, Zach#TX#14#LIB#2012#0
Smith, Rhett Rosenquest#TX#14#GRE#2012#0
Hinojosa, Rubén#TX#15#DEM#2012#0.557306411
Brueggemann, Dale A.#TX#15#REP#2012#0.415945046
Finch, Ron#TX#15#LIB#2012#0.026748543
O'Rourke, Beto#TX#16#DEM#2012#0.580749658
Carrasco, Barbara#TX#16#REP#2012#0.365770626
Sodoy, Junart#TX#16#LIB#2012#0.050876408
Flores, Bill#TX#17#REP#2012#0.61801879
Easton, Ben#TX#17#LIB#2012#0.016264872
Jackson Lee, Sheila#TX#18#DEM#2012#0.701510868
Seibert, Sean#TX#18#REP#2012#0.272557925
Barber, Christopher#TX#18#LIB#2012#0.025700415
Neugebauer, Randy#TX#19#REP#2012#0.777798149
Peterson, Richard (Chip)#TX#19#LIB#2012#0.031644641
Rosa, David#TX#20#REP#2012#0.344492054
Potts, A.E. (Tracy)#TX#20#LIB#2012#0.019341541
Diaz, Antonio#TX#20#GRE#2012#0
Castro, Joaquin#TX#20#DEM#2012#0.636166405
Smith, Lamar#TX#21#REP#2012#0.688765351
Duval, Candace E.#TX#21#DEM#2012#0.278708068
Liberty, John-Henry#TX#21#LIB#2012#0.032526581
Olson, Pete#TX#22#REP#2012#0.674935046
Rogers, Kesha#TX#22#DEM#2012#0.298151501
Susman, Steven#TX#22#LIB#2012#0.026596485
Cook, Don#TX#22#GRE#2012#0
Gallego, Pete P.#TX#23#DEM#2012#0.444441511
"""""""Canseco, Francisco """"""""Quico"""""""""""""""#TX#23#REP#2012#0.49396835
