Bonner, Jo#AL#1#REP#2008#210660#1
Berman, Howard L.#CA#28#DEM#2010#88385#0.695359028
Froyd, Merlin#CA#28#REP#2010#28493#0.224165467
Rodriquez, Carlos A.#CA#28#LIB#2010#10229#0.080475505
Schiff, Adam B.#CA#29#DEM#2010#104374#0.647778757
Colbert, John P.#CA#29#REP#2010#51534#0.31983665
Cushing, William P.#CA#29#LIB#2010#5218#0.032384593
Waxman, Henry A.#CA#30#DEM#2010#153663#0.646329922
Wilkerson, Charles E.#CA#30#REP#2010#75948#0.319448826
Miller, Erich D.#CA#30#LIB#2010#5021#0.021119089
Castaldo, Richard R.#CA#30#OTHER#2010#3115#0.013102163
Becerra, Xavier#CA#31#DEM#2010#76363#0.838177508
Genoves, Sal#CA#31#OTHER#2010#3#3.29E-05
Smith, Stephen C.#CA#31#REP#2010#14740#0.161789564
Chu, Judy#CA#32#DEM#2010#77759#0.710413317
"""Schmerling, Edward """"Ed"""""""#CA#32#REP#2010#31697#0.289586683
Bass, Karen#CA#33#DEM#2010#131990#0.860806219
Andion, James L.#CA#33#REP#2010#21342#0.139187259
Evans, Mervin Leon#CA#33#WRI#2010#1#6.52E-06
Roybal-Allard, Lucille#CA#34#DEM#2010#69382#0.772292657
Miller, Wayne#CA#34#REP#2010#20457#0.227707343
Waters, Maxine#CA#35#DEM#2010#98131#0.793336783
Brown, K. Bruce#CA#35#REP#2010#25561#0.206647048
Edmondson, Suleiman Charles#CA#35#WRI#2010#2#1.62E-05
Harman, Jane#CA#36#DEM#2010#114489#0.596188195
Fein, Mattie#CA#36#REP#2010#66706#0.347363762
Peters, Herb#CA#36#LIB#2010#10840#0.056448043
Richardson, Laura#CA#37#DEM#2010#85799#0.68355933
Parker, Star#CA#37#REP#2010#29159#0.23230931
Dibs, Nicholas#CA#37#IND#2010#10560#0.08413136
Napolitano, Grace F.#CA#38#DEM#2010#85459#0.734549862
Vaughn, Robert#CA#38#REP#2010#30883#0.265450138
Sanchez, Linda T.#CA#39#DEM#2010#81590#0.632671893
Andre, Larry S.#CA#39#REP#2010#42037#0.325966765
Smith, John A.#CA#39#OTHER#2010#5334#0.041361342
Royce, Ed#CA#40#REP#2010#119455#0.667887395
Avalos, Christina#CA#40#DEM#2010#59400#0.332112605
Lewis, Jerry#CA#41#REP#2010#127857#0.632060548
Meagher, Pat#CA#41#DEM#2010#74394#0.36776643
Zander, Pamela#CA#41#WRI#2010#35#0.000173022
Miller, Gary G.#CA#42#REP#2010#127161#0.622124483
Williamson, Michael#CA#42#DEM#2010#65122#0.3186039
Lambert, Mark#CA#42#LIB#2010#12115#0.059271617
Baca, Joe#CA#43#DEM#2010#70026#0.654962775
Folkens, Scott#CA#43#REP#2010#36890#0.345037225
Calvert, Ken#CA#44#REP#2010#107482#0.556135068
Hedrick, Bill#CA#44#DEM#2010#85784#0.443864932
Mack, Mary Bono#CA#45#REP#2010#106472#0.514852443
Pougnet, Steve#CA#45#DEM#2010#87141#0.421376106
Lussenheide, Bill#CA#45#OTHER#2010#13188#0.063771452
Rohrabacher, Dana#CA#46#REP#2010#139822#0.622033793
Arnold, Ken#CA#46#DEM#2010#84940#0.377877232
Shah, Jay A.#CA#46#OTHER#2010#20#8.90E-05
Sanchez, Loretta#CA#47#DEM#2010#50832#0.52975384
Tran, Van#CA#47#REP#2010#37679#0.392677741
"""Iglesias, Cecilia """"Ceci"""""""#CA#47#IND#2010#7443#0.077568418
Campbell, John#CA#48#REP#2010#145481#0.599380353
Krom, Beth#CA#48#DEM#2010#88465#0.364474969
Binkley, Mike#CA#48#LIB#2010#8773#0.036144678
Issa, Darrell#CA#49#REP#2010#119088#0.627846286
Katz, Howard#CA#49#DEM#2010#59714#0.314819404
Clark, Dion#CA#49#OTHER#2010#6585#0.034716913
Paster, Mike#CA#49#LIB#2010#4290#0.022617397
Bilbray, Brian P.#CA#50#REP#2010#142247#0.566538288
Busby, Francine#CA#50#DEM#2010#97818#0.389587424
Grossmith, Lars#CA#50#LIB#2010#5546#0.022088489
Clark, Miriam E.#CA#50#OTHER#2010#5470#0.021785798
Filner, Bob#CA#51#DEM#2010#86423#0.60051002
Popaditch, Nick#CA#51#REP#2010#57488#0.399455238
Shapiro, Marcus Jay#CA#51#WRI#2010#5#3.47E-05
Hunter, Duncan D.#CA#52#REP#2010#139460#0.63086374
Lutz, Ray#CA#52#DEM#2010#70870#0.320588794
Benoit, Michael#CA#52#LIB#2010#10732#0.048547466
Davis, Susan A.#CA#53#DEM#2010#104800#0.622593983
Crimmins, Michael#CA#53#REP#2010#57230#0.33999097
Dekker, Paul#CA#53#LIB#2010#6298#0.037415047
DeGette, Diana#CO#1#DEM#2010#140073#0.674235022
Fallon, Mike#CO#1#REP#2010#59747#0.28758947
Swing, Gary#CO#1#GRE#2010#2923#0.014069728
Jones, Clint#CO#1#LIB#2010#2867#0.013800174
Styskal, Chris#CO#1#OTHER#2010#2141#0.010305606
Polis, Jared#CO#2#DEM#2010#148768#0.57413668
Bailey, Stephen#CO#2#REP#2010#98194#0.378957687
Goss, Jenna#CO#2#OTHER#2010#7087#0.027350685
Harris, Curtis#CO#2#LIB#2010#5060#0.019527933
Raibourn, Henry#CO#2#WRI#2010#7#2.70E-05
Tipton, Scott R.#CO#3#REP#2010#131227#0.498700302
Salazar, John#CO#3#DEM#2010#121114#0.460267996
Gilman, Gregory#CO#3#LIB#2010#5745#0.021832651
Segrest, Jake#CO#3#OTHER#2010#5018#0.019069842
Hargis, John W., Sr#CO#3#WRI#2010#23#8.74E-05
Fritz, James#CO#3#WRI#2010#11#4.18E-05
Gardner, Cory#CO#4#REP#2010#138634#0.524769003
Markey, Betsy#CO#4#DEM#2010#109249#0.413538445
Aden, Doug#CO#4#OTHER#2010#12312#0.046604411
"""Waszkiewicz, Ken """"Wasko"""""""#CO#4#OTHER#2010#3986#0.01508814
Lamborn, Doug#CO#5#REP#2010#152829#0.657515682
Bradley, Kevin#CO#5#DEM#2010#68039#0.292723956
"""Scott, Brian """"Barron X"""""""#CO#5#OTHER#2010#5886#0.025323318
Klaver, Jerell#CO#5#LIB#2010#5680#0.024437044
Coffman, Mike#CO#6#REP#2010#217400#0.656724173
Flerlage, John#CO#6#DEM#2010#104159#0.314644587
McNealy, Rob#CO#6#LIB#2010#9471#0.028610095
Kearns, Michael Shawn#CO#6#WRI#2010#7#2.11E-05
Perlmutter, Ed#CO#7#DEM#2010#112667#0.534448081
Frazier, Ryan#CO#7#REP#2010#88026#0.417560837
Bailey, Buck#CO#7#LIB#2010#10117#0.047991082
Larson, John B.#CT#1#OTHER#2010#138440#0.612463391
Brickley, Ann#CT#1#REP#2010#84076#0.371955158
Krayeske, Kenneth J.#CT#1#GRE#2010#2564#0.011343225
Hutchinson, Christopher J.#CT#1#OTHER#2010#955#0.004224953
Stepanek, Daniel J.#CT#1#WRI#2010#3#1.33E-05
Courtney, Joe#CT#2#OTHER#2010#147748#0.598632951
Peckinpaugh, Janet#CT#2#REP#2010#95671#0.387631731
Deshefy, G. Scott#CT#2#GRE#2010#3344#0.013548939
Reale, Daniel#CT#2#WRI#2010#27#0.000109396
Bianchi, Muriel P.#CT#2#WRI#2010#19#7.70E-05
DeLauro, Rosa L.#CT#3#OTHER#2010#143565#0.650613384
Labriola, Jerry, Jr.#CT#3#REP#2010#74107#0.335840951
Pillsbury, Charles A.#CT#3#GRE#2010#2984#0.013523006
Itshaky, Boaz#CT#3#WRI#2010#5#2.27E-05
Himes, Jim#CT#4#OTHER#2010#115351#0.530615343
Debicella, Dan#CT#4#REP#2010#102030#0.469338657
Flanagan, Eugene#CT#4#WRI#2010#10#4.60E-05
Murphy, Chris#CT#5#OTHER#2010#122879#0.540595593
Caligiuri, Sam S. F.#CT#5#OTHER#2010#104402#0.45930762
Pistone, John#CT#5#WRI#2010#20#8.80E-05
Smith, Elmon#CT#5#WRI#2010#2#8.80E-06
Carney, John C., Jr.#DE#0#DEM#2010#173543#0.56780942
Urquhart, Glen#DE#0#REP#2010#125442#0.4104294
Lofland, Earl R.#DE#0#OTHER#2010#3704#0.012118991
Wangen, Brent A.#DE#0#LIB#2010#1986#0.006497926
Brown, Jeffrey#DE#0#OTHER#2010#961#0.003144263
Miller, Jeff#FL#1#REP#2010#170821#0.800000937
Cantrell, Joe#FL#1#NON#2010#23250#0.108886037
Krause, John#FL#1#NON#2010#18253#0.085483735
Bryan, Jim#FL#1#WRI#2010#1202#0.005629291
Southerland, Steve#FL#2#REP#2010#136371#0.53596947
Boyd, Allen#FL#2#DEM#2010#105211#0.413503486
McKain, Paul C.#FL#2#NON#2010#7135#0.028042195
Berryhill, Dianne#FL#2#NON#2010#5705#0.022421965
Netherwood, Ray#FL#2#WRI#2010#16#6.29E-05
Brown, Corinne#FL#3#DEM#2010#94744#0.630361741
"""Yost, Michael """"Mike"""""""#FL#3#REP#2010#50932#0.338866674
Martin-Back, Terry#FL#3#NON#2010#4625#0.030771585
Crenshaw, Ander#FL#4#REP#2010#178238#0.772111157
Stanley, Troy D.#FL#4#NON#2010#52540#0.227598605
"""Pueschel, Deborah """"Deb"""" Katz"""#FL#4#WRI#2010#40#0.000173276
Koniz, Gary L.#FL#4#WRI#2010#27#0.000116962
"""Nugent, Richard B. """"Rich"""""""#FL#5#REP#2010#208815#0.67430806
"""Piccillo, James """"Jim"""""""#FL#5#DEM#2010#100858#0.32569194
"""Stearns, Clifford B. """"Cliff"""""""#FL#6#REP#2010#179349#0.714591941
Schonberg, Steve#FL#6#NON#2010#71632#0.285408059
Mica, John L.#FL#7#REP#2010#185470#0.690311007
Beaven, Heather#FL#7#DEM#2010#83206#0.309688993
Webster, Daniel#FL#8#REP#2010#123586#0.561132199
Grayson, Alan#FL#8#DEM#2010#84167#0.38215343
Dunmire, Peg#FL#8#OTHER#2010#8337#0.037853472
Metcalfe, George L.#FL#8#NON#2010#4143#0.018810955
Gerritzen, Steven J.#FL#8#WRI#2010#11#4.99E-05
Bilirakis, Gus Michael#FL#9#REP#2010#165433#0.714332595
de Palma, Anita#FL#9#DEM#2010#66158#0.285667405
Young, C.W. Bill#FL#10#REP#2010#137943#0.659206904
Justice, Charlie#FL#10#DEM#2010#71313#0.340793096
Castor, Kathy#FL#11#DEM#2010#91328#0.596349865
Prendergast, Mike#FL#11#REP#2010#61817#0.403650135
Ross, Dennis A.#FL#12#REP#2010#102704#0.481432522
Edwards, Lori#FL#12#DEM#2010#87769#0.411423616
Wilkinson, Randy#FL#12#OTHER#2010#22857#0.107143862
Buchanan, Vern#FL#13#REP#2010#183811#0.688600928
Golden, James T.#FL#13#DEM#2010#83123#0.311399072
Mack, Connie#FL#14#REP#2010#188341#0.685646781
Roach, James Lloyd#FL#14#DEM#2010#74525#0.271304848
St. Claire, William Maverick#FL#14#NON#2010#11825#0.043048371
Posey, Bill#FL#15#REP#2010#157079#0.647284011
Roberts, Shannon#FL#15#DEM#2010#85595#0.352715989
Rooney, Tom#FL#16#REP#2010#162285#0.668491492
Horn, Jim#FL#16#DEM#2010#80327#0.330886502
Dean, William#FL#16#WRI#2010#151#0.000622006
Wilson, Frederica S.#FL#17#DEM#2010#106361#0.862130178
Vereen, Roderick D.#FL#17#NON#2010#17009#0.137869822
Ros-Lehtinen, Ileana#FL#18#REP#2010#102360#0.688852249
Banciella, Rolando A.#FL#18#DEM#2010#46235#0.311147751
Deutch, Ted#FL#19#DEM#2010#132098#0.625881862
Budd, Joe#FL#19#REP#2010#78733#0.373037871
Smilan, Stan#FL#19#WRI#2010#228#0.001080267
Schultz, Debbie Wasserman#FL#20#DEM#2010#100787#0.601462076
Harrington, Karen#FL#20#REP#2010#63845#0.381004953
Blumenthal, Stanley#FL#20#NON#2010#1663#0.009924211
Kunst, Robert#FL#20#NON#2010#1272#0.007590858
Schock, Clayton#FL#20#WRI#2010#3#1.79E-05
Diaz-Balart, Mario#FL#21#REP#2010#1#1
West, Allen#FL#22#REP#2010#118890#0.543636314
Klein, Ron#FL#22#DEM#2010#99804#0.456363686
Hastings, Alcee L.#FL#23#DEM#2010#100066#0.791160658
Sansaricq, Bernard#FL#23#REP#2010#26414#0.208839342
"""Adams, Sandra """"Sandy"""""""#FL#24#REP#2010#146129#0.596369439
Kosmas, Suzanne#FL#24#DEM#2010#98787#0.403161233
Ruiz, Nicholas, III#FL#24#WRI#2010#115#0.000469328
Rivera, David#FL#25#REP#2010#74859#0.521472905
Garcia, Joe#FL#25#DEM#2010#61138#0.425891483
Arrojo, Roly#FL#25#OTHER#2010#4312#0.030037686
Porter, Craig#FL#25#OTHER#2010#3244#0.022597926
Kingston, Jack#GA#1#REP#2010#117270#0.716288274
Harris, Oscar L., II#GA#1#DEM#2010#46449#0.283711726
Bishop, Sanford#GA#2#DEM#2010#86520#0.514409042
Keown, Mike#GA#2#REP#2010#81673#0.485590958
Westmoreland, Lynn#GA#3#REP#2010#168304#0.694784903
Saunders, Frank#GA#3#DEM#2010#73932#0.305202713
Agrawal, Jagdish#GA#3#WRI#2010#3#1.24E-05
Johnson, Hank, Jr.#GA#4#DEM#2010#131760#0.746655182
"""Carter, Lisbeth """"Liz"""""""#GA#4#REP#2010#44707#0.253344818
Lewis, John#GA#5#DEM#2010#130782#0.73719871
Little, Fenn#GA#5#REP#2010#46622#0.26280129
Price, Tom#GA#6#REP#2010#198100#0.999051884
Greenberg, Sean#GA#6#WRI#2010#188#0.000948116
Woodall, Rob#GA#7#REP#2010#160898#0.670704561
Heckman, Doug#GA#7#DEM#2010#78996#0.329295439
Scott, Austin#GA#8#REP#2010#102770#0.526971593
Marshall, Jim#GA#8#DEM#2010#92250#0.473028407
Graves, Tom#GA#9#REP#2010#173512#1
Broun, Paul#GA#10#REP#2010#138062#0.673581601
Edwards, Russell#GA#10#DEM#2010#66905#0.326418399
Gingrey, Phil#GA#11#REP#2010#163515#1
Barrow, John#GA#12#DEM#2010#92459#0.565854942
Mckinney, Raymond#GA#12#REP#2010#70938#0.434145058
Scott, David#GA#13#DEM#2010#140294#0.694301339
Crane, Mike#GA#13#REP#2010#61771#0.305698661
Hanabusa, Colleen#HI#1#DEM#2010#94140#0.532276395
Djou, Charles#HI#1#REP#2010#82723#0.467723605
Hirono, Mazie#HI#2#DEM#2010#132290#0.721878445
Willoughby, John W.#HI#2#REP#2010#46404#0.253216776
Brock, Pat#HI#2#LIB#2010#3254#0.017756387
Von Sonn, Andrew Vsevolod#HI#2#OTHER#2010#1310#0.007148392
Labrador, Raul R.#ID#1#REP#2010#126231#0.510174718
Minnick, Walt#ID#1#DEM#2010#102135#0.412788418
Olson, Dave#ID#1#IND#2010#14365#0.058057528
Washburn, Mike#ID#1#LIB#2010#4696#0.018979335
Simpson, Mike#ID#2#REP#2010#137468#0.688313964
Crawford, Mike#ID#2#DEM#2010#48749#0.244090388
Schad, Brian#ID#2#IND#2010#13500#0.067595648
Rush, Bobby L.#IL#1#DEM#2010#148170#0.803585956
Wardingley, Raymond G.#IL#1#OTHER#2010#29253#0.158650874
Adams, Jeff#IL#1#GRE#2010#6963#0.037763171
Jackson, Jesse L., Jr.#IL#2#DEM#2010#150666#0.805213962
Hayes, Isaac C.#IL#2#REP#2010#25883#0.138328176
Williams, Anthony W.#IL#2#GRE#2010#10564#0.056457862
Lipinski, Daniel William#IL#3#DEM#2010#116120#0.696885859
Bendas, Michael A.#IL#3#REP#2010#40479#0.242931818
Schmidt, Laurel Lambert#IL#3#GRE#2010#10028#0.060182323
Gutierrez, Luis V.#IL#4#DEM#2010#63273#0.773584214
Vasquez, Israel#IL#4#REP#2010#11711#0.143180262
Burns, Robert J.#IL#4#GRE#2010#6808#0.083235524
Quigley, Mike#IL#5#DEM#2010#108360#0.706227393
Ratowitz, David#IL#5#REP#2010#38935#0.253755662
Reichel, Matthew#IL#5#GRE#2010#6140#0.040016945
Roskam, Peter J.#IL#6#REP#2010#114456#0.636450079
Lowe, Benjamin S.#IL#6#DEM#2010#65379#0.363549921
Davis, Danny K.#IL#7#DEM#2010#149846#0.815049307
Weiman, Mark M.#IL#7#REP#2010#29575#0.16086571
Clemons, Clarence Desmond#IL#7#IND#2010#4428#0.024084983
Walsh, Joe#IL#8#REP#2010#98115#0.484674093
Bean, Melissa#IL#8#DEM#2010#97825#0.483241534
Scheurer, Bill#IL#8#GRE#2010#6495#0.032084373
Schakowsky, Janice D.#IL#9#DEM#2010#117553#0.663365443
Pollak, Joel Barry#IL#9#REP#2010#55182#0.311398534
Ribeiro, Simon#IL#9#GRE#2010#4472#0.025236023
Dold, Robert#IL#10#REP#2010#109941#0.510802297
Seals, Daniel J.#IL#10#DEM#2010#105290#0.489193057
Brumfield, Author C.#IL#10#WRI#2010#1#4.65E-06
Kinzinger, Adam#IL#11#REP#2010#129108#0.57348963
"""Halvorson, Deborah """"Debbie"""""""#IL#11#DEM#2010#96019#0.42651037
Costello, Jerry F.#IL#12#DEM#2010#121272#0.59826842
Newman, Teri#IL#12#REP#2010#74046#0.36528946
Jennings, Rodger W.#IL#12#GRE#2010#7387#0.03644212
Biggert, Judy#IL#13#REP#2010#152132#0.638102788
Harper, Scott#IL#13#DEM#2010#86281#0.361897212
"""Hultgren, Randall M. """"Randy"""""""#IL#14#REP#2010#112369#0.51307
Foster, Bill#IL#14#DEM#2010#98645#0.450407053
Kairis, Daniel J.#IL#14#GRE#2010#7949#0.036294649
Marks, Doug#IL#14#WRI#2010#50#0.000228297
Johnson, Timothy V.#IL#15#REP#2010#136915#0.643207133
Gill, David#IL#15#DEM#2010#75948#0.356792867
Manzullo, Donald A.#IL#16#REP#2010#138299#0.650020445
Gaulrapp, George W.#IL#16#DEM#2010#66037#0.310381132
Campbell, Terry G.#IL#16#GRE#2010#8425#0.039598423
Schilling, Bobby#IL#17#REP#2010#104583#0.525812225
Hare, Phil#IL#17#DEM#2010#85454#0.429637302
Davis, Roger K.#IL#17#GRE#2010#8861#0.044550473
Schock, Aaron#IL#18#REP#2010#152868#0.691178731
"""Hirner, Deirdre """"DK"""""""#IL#18#DEM#2010#57046#0.25792829
Schafer, Sheldon#IL#18#GRE#2010#11256#0.050892978
Shimkus, John M.#IL#19#REP#2010#166166#0.712247855
Bagwell, Tim#IL#19#DEM#2010#67132#0.287752145
Visclosky, Peter J.#IN#1#DEM#2010#99387#0.585638777
Leyva, Mark#IN#1#REP#2010#65558#0.386301095
Morris, Jon#IN#1#LIB#2010#4762#0.028060127
Donnelly, Joe#IN#2#DEM#2010#91341#0.481779198
Walorski, Jackie#IN#2#REP#2010#88803#0.468392487
Vogel, Mark#IN#2#LIB#2010#9447#0.049828315
Stutzman, Marlin A.#IN#3#REP#2010#116140#0.62761755
Hayhurst, Thomas#IN#3#DEM#2010#61267#0.33108528
Wise, Scott#IN#3#LIB#2010#7631#0.041237726
Metzger, Tom#IN#3#WRI#2010#10#5.40E-05
Stephens, Wes#IN#3#WRI#2010#1#5.40E-06
Rokita, Todd#IN#4#REP#2010#138732#0.685699034
Sanders, David#IN#4#DEM#2010#53167#0.262784077
Duncan, John#IN#4#LIB#2010#10423#0.051516889
Burton, Dan#IN#5#REP#2010#146899#0.62138177
Crawford, Tim#IN#5#DEM#2010#60024#0.253901111
Reid, Richard (Chard)#IN#5#LIB#2010#18266#0.077265056
Trueblood, Jesse C.#IN#5#IND#2010#11218#0.047452064
Pence, Mike#IN#6#REP#2010#126027#0.665721123
Welsh, Barry#IN#6#DEM#2010#56647#0.299230359
Thompson, Talmage (T.J.), Jr.#IN#6#LIB#2010#6635#0.035048519
Carson, Andre D.#IN#7#DEM#2010#86011#0.588959114
Scott, Marvin B.#IN#7#REP#2010#55213#0.378070242
Wilson, Dav#IN#7#LIB#2010#4815#0.032970645
Bucshon, Larry D.#IN#8#REP#2010#116759#0.574420458
VanHaaften, W. Trent#IN#8#DEM#2010#76265#0.375201708
Cunningham, John#IN#8#LIB#2010#10240#0.050377834
Young, Todd#IN#9#REP#2010#118040#0.523384708
Hill, Baron P.#IN#9#DEM#2010#95353#0.422791444
"""Knott, Greg """"No Bull"""""""#IN#9#LIB#2010#12070#0.053517904
Lucas, Jerry R.#IN#9#WRI#2010#69#0.000305943
Braley, Bruce#IA#1#DEM#2010#104428#0.495327901
Lange, Benjamin M.#IA#1#REP#2010#100219#0.47536357
Petsche, Rob J.#IA#1#LIB#2010#4087#0.019385655
Faulkner, Jason A.#IA#1#OTHER#2010#2092#0.009922875
Loebsack, Dave#IA#2#DEM#2010#115839#0.510355675
Miller-Meeks, Mariannette#IA#2#REP#2010#104319#0.459601634
Sicard, Gary#IA#2#LIB#2010#4356#0.019191372
Tack, Jon#IA#2#OTHER#2010#2463#0.01085132
Boswell, Leonard L.#IA#3#DEM#2010#122147#0.508246994
Zaun, Brad#IA#3#REP#2010#111925#0.46571381
Williamson, Rebecca#IA#3#OTHER#2010#6258#0.026039196
Latham, Tom#IA#4#REP#2010#152588#0.6566116
Maske, Bill#IA#4#DEM#2010#74300#0.319725286
Lensing, Dan#IA#4#OTHER#2010#5499#0.023663114
King, Steve#IA#5#REP#2010#128363#0.657782674
Campbell, Matthew#IA#5#DEM#2010#63160#0.323656768
Monroe, Martin James#IA#5#OTHER#2010#3622#0.018560558
Huelskamp, Tim#KS#1#REP#2010#142281#0.73764296
Jilka, Alan#KS#1#DEM#2010#44068#0.228466555
Warner, Jack#KS#1#LIB#2010#6537#0.033890485
Jenkins, Lynn#KS#2#REP#2010#130034#0.631309625
Hudspeth, Cheryl#KS#2#DEM#2010#66588#0.323281952
Garrard, Robert#KS#2#LIB#2010#9353#0.045408423
Yoder, Kevin#KS#3#REP#2010#136246#0.584032407
Moore, Stephene#KS#3#DEM#2010#90193#0.386621514
Talbert, Jasmin#KS#3#LIB#2010#6846#0.029346079
Pompeo, Mike#KS#4#REP#2010#119575#0.587930161
Goyle, Raj#KS#4#DEM#2010#74143#0.364548659
Ducey, Susan G.#KS#4#OTHER#2010#5041#0.024785749
Smith, Shawn#KS#4#LIB#2010#4624#0.02273543
Whitfield, Edward#KY#1#REP#2010#153840#0.71245311
Hatchett, Charles Kendall#KY#1#DEM#2010#62090#0.28754689
Guthrie, S. Brett#KY#2#REP#2010#155906#0.67887048
Marksberry, Ed#KY#2#DEM#2010#73749#0.32112952
Yarmuth, John#KY#3#DEM#2010#139940#0.546790138
Lally, Todd#KY#3#REP#2010#112627#0.44006955
Martin, Edward A.#KY#3#LIB#2010#2029#0.007927949
Hansen, Michael D.#KY#3#IND#2010#1334#0.005212363
Davis, Geoff#KY#4#REP#2010#151813#0.69477408
Waltz, John#KY#4#DEM#2010#66694#0.30522592
"""Rogers, Harold """"Hal"""""""#KY#5#REP#2010#151019#0.774245974
"""Holbert, James E. """"Jim"""""""#KY#5#DEM#2010#44034#0.225754026
Chandler, Ben#KY#6#DEM#2010#119812#0.50083813
"""Barr, Garland """"Andy"""""""#KY#6#REP#2010#119164#0.49812936
Collins, C. Wes#KY#6#WRI#2010#225#0.000940545
Vance, Randolph S.#KY#6#WRI#2010#22#9.20E-05
"""Scalise,""""Steve"""""""#LA#1#REP#2010#157182#0.785219007
Katz, Myron#LA#1#DEM#2010#38416#0.191911118
Wells, Arden#LA#1#OTHER#2010#4578#0.022869875
Richmond, Cedric#LA#2#DEM#2010#83705#0.64585198
"""Cao,""""Joseph"""""""#LA#2#REP#2010#43378#0.33469646
Marquize, Anthony#LA#2#OTHER#2010#1876#0.014474862
"""Radosta,""""Jack"""""""#LA#2#OTHER#2010#645#0.004976698
"""Landry,""""Jeff"""""""#LA#3#REP#2010#108963#0.637669201
Sangisetty, Ravi#LA#3#DEM#2010#61914#0.362330799
Fleming, John#LA#4#REP#2010#105223#0.623381163
Melville, David#LA#4#DEM#2010#54609#0.323524533
Cash, Artis#LA#4#NON#2010#8962#0.053094304
Alexander, Rodney#LA#5#REP#2010#122033#0.785728083
"""Gibbs,""""Tom,"""" Jr."""#LA#5#NON#2010#33279#0.214271917
"""Cassidy, William """"Bill"""""""#LA#6#REP#2010#138607#0.656332866
McDonald, Merritt E., Sr.#LA#6#DEM#2010#72577#0.343667134
Boustany, Charles W., Jr.#LA#7#REP#2010#1#1
Pingree, Chellie#ME#1#DEM#2010#169114#0.568150589
Scontras, Dean Peter#ME#1#REP#2010#128501#0.431708309
Horton, Walter#ME#1#WRI#2010#20#6.72E-05
Lowberg, Alan#ME#1#WRI#2010#22#7.39E-05
Michaud, Michael H.#ME#2#DEM#2010#147042#0.551315844
Levesque, Jason J.#ME#2#REP#2010#119669#0.448684156
Harris, Andy#MD#1#REP#2010#155118#0.541291831
Kratovil, Frank M., Jr.#MD#1#DEM#2010#120400#0.420141676
Davis, Richard James#MD#1#LIB#2010#10876#0.037952333
Wilson, Jack N.#MD#1#WRI#2010#158#0.000551349
Kennedy, Michael#MD#1#WRI#2010#18#6.28E-05
Ruppersberger, C.A. Dutch#MD#2#DEM#2010#134133#0.642565606
Cardarelli, Marcelo#MD#2#REP#2010#69523#0.333050693
Gaztanaga, Lorenzo#MD#2#LIB#2010#5090#0.024383701
Sarbanes, John#MD#3#DEM#2010#147448#0.611206221
Wilhelm, Jim#MD#3#REP#2010#86947#0.360415518
McKinley, Jerry#MD#3#LIB#2010#5212#0.021604951
Lareau, Alain#MD#3#OTHER#2010#1634#0.00677331
Edwards, Donna#MD#4#DEM#2010#160228#0.835848614
Broadus, Robert#MD#4#REP#2010#31467#0.164151386
Hoyer, Steny H.#MD#5#DEM#2010#155110#0.642908361
Lollar, Charles#MD#5#REP#2010#83575#0.346406204
Shickle, H. Gavin#MD#5#LIB#2010#2578#0.010685435
Bartlett, Roscoe G.#MD#6#REP#2010#148820#0.61496376
Duck, Andrew#MD#6#DEM#2010#80455#0.332461425
Massey, Dan#MD#6#LIB#2010#6816#0.028165522
Reed, Michael#MD#6#OTHER#2010#5907#0.024409293
Cummings, Elijah#MD#7#DEM#2010#152669#0.75231234
Mirabile, Frank, Jr.#MD#7#REP#2010#46375#0.2285237
Bly, Ray#MD#7#OTHER#2010#20#9.86E-05
Spencer, Scott#MD#7#LIB#2010#3814#0.01879438
Dickson, Fred Donald, Jr.#MD#7#WRI#2010#55#0.000271025
Van Hollen, Chris#MD#8#DEM#2010#153613#0.733435827
Philips, Michael Lee#MD#8#REP#2010#52421#0.250287668
Grannis, Mark#MD#8#LIB#2010#2713#0.012953405
Nordhorn, Fred#MD#8#OTHER#2010#696#0.0033231
Olver, John W.#MA#1#DEM#2010#128011#0.600120014
Gunn, William L., Jr#MA#1#REP#2010#74418#0.348874168
Engel, Michael#MA#1#IND#2010#10880#0.051005818
Neal, Richard E.#MA#2#DEM#2010#122751#0.573710039
Wesley, Thomas A.#MA#2#REP#2010#91209#0.426289961
McGovern, James P.#MA#3#DEM#2010#122708#0.564901943
Lamb, Martin A.#MA#3#REP#2010#85124#0.391879201
Barron, Patrick J.#MA#3#IND#2010#9388#0.043218856
Frank, Barney#MA#4#DEM#2010#126194#0.539223771
Bielat, Sean DM#MA#4#REP#2010#101517#0.433779574
Allen, Susan F.#MA#4#IND#2010#3445#0.014720398
Jordan, Donald M.#MA#4#OTHER#2010#2873#0.012276256
Tsongas, Nicola S.#MA#5#DEM#2010#122858#0.548762294
Golnik, Jonathan A.#MA#5#REP#2010#94646#0.422749484
Brown, Dale E.#MA#5#OTHER#2010#4387#0.019595144
Clark, Robert M.#MA#5#OTHER#2010#1991#0.008893078
Tierney, John F.#MA#6#DEM#2010#142732#0.569420175
Hudak, Bill#MA#6#REP#2010#107930#0.430579825
Markey, Edward J.#MA#7#DEM#2010#145696#0.664783745
Dembrowski, Gerry#MA#7#REP#2010#73467#0.335216255
Capuano, Michael E.#MA#8#DEM#2010#134974#1
Lynch, Stephen F.#MA#9#DEM#2010#157071#0.684083307
Harrison, Vernon M.#MA#9#REP#2010#59965#0.261162503
