Bonner, Jo#AL#1#REP#2006#112944#
Tiberi, Pat#OH#12#REP#2008#197447#
Robinson, David#OH#12#DEM#2008#152234#
Linnabary, Steven R.#OH#12#LIB#2008#10707#[0.5478734031099814, 0.42241695061988743, 0.02970964627013108]
Sutton, Betty#OH#13#DEM#2008#192593#
Potter, David S.#OH#13#REP#2008#105050#
Crow, Robert#OH#13#WRI#2008#37#[0.6469799785004031, 0.3528957269551196, 0.00012429454447729105]
LaTourette, Steven C.#OH#14#REP#2008#188488#
O'Neill, Bill#OH#14#DEM#2008#125214#
Macko, David#OH#14#LIB#2008#9511#[0.5831696126084037, 0.38740397199370075, 0.029426415397895506]
Kilroy, Mary Jo#OH#15#DEM#2008#139584#
Stivers, Steve#OH#15#REP#2008#137272#
Noble, Mark Michael#OH#15#LIB#2008#14061#
Eckhart, Don Elijah#OH#15#IND#2008#12915#
Casper, Travis#OH#15#WRI#2008#6#[0.4594027080220381, 0.4517933898985644, 0.04627795075007076, 0.04250620396395448, 1.9747365372336576e-05]
Boccieri, John A.#OH#16#DEM#2008#169044#
Schuring, Kirk#OH#16#REP#2008#136293#[0.5536309061790743, 0.4463690938209257]
Ryan, Tim#OH#17#DEM#2008#218896#
Grassell, Duane V.#OH#17#REP#2008#61216#[0.7814588450334152, 0.2185411549665848]
Space, Zack#OH#18#DEM#2008#164187#
Dailey, Fred#OH#18#REP#2008#110031#[0.5987462529812048, 0.4012537470187953]
Sullivan, John#OK#1#REP#2008#193404#
Oliver, Georgianna W.#OK#1#DEM#2008#98890#[0.6616762574667971, 0.33832374253320285]
Boren, Dan#OK#2#DEM#2008#173757#
Wickson, Raymond J.#OK#2#REP#2008#72815#[0.7046907191408595, 0.29530928085914054]
Lucas, Frank D.#OK#3#REP#2008#184306#
Robbins, Frankie#OK#3#DEM#2008#62297#
Michael, Forrest#OK#3#IND#2008#17756#[0.6971807277225288, 0.2356530324293858, 0.06716623984808537]
Cole, Tom#OK#4#REP#2008#180080#
Cummings, Blake#OK#4#DEM#2008#79674#
Joyce, David E.#OK#4#IND#2008#13027#[0.6601632811669434, 0.2920804601493506, 0.04775625868370598]
Fallin, Mary#OK#5#REP#2008#171925#
Perry, Steven L.#OK#5#DEM#2008#88996#[0.6589159170783494, 0.3410840829216506]
Wu, David#OR#1#DEM#2008#237567#
Semrau, Scott#OR#1#OTHER#2008#14172#
Tabor, H. Joe#OR#1#LIB#2008#10992#
Henry, Chris#OR#1#OTHER#2008#7128#
Haugen, Joel#OR#1#OTHER#2008#58279#[0.723985030688308, 0.04318914603002395, 0.03349810140855372, 0.021722567943974792, 0.17760515392913956]
Walden, Greg#OR#2#REP#2008#236560#
Lemas, Noah#OR#2#DEM#2008#87649#
Mock, Tristin#OR#2#OTHER#2008#9668#
Hake, Richard D.#OR#2#OTHER#2008#5817#[0.6963914581947281, 0.2580233975283638, 0.02846090893568918, 0.01712423534121886]
Blumenauer, Earl#OR#3#DEM#2008#254235#
Lopez, Delia#OR#3#REP#2008#71063#
Meo, Michael#OR#3#OTHER#2008#15063#[0.7469569075187815, 0.2087871407123613, 0.04425595176885718]
DeFazio, Peter A.#OR#4#DEM#2008#275143#
Germond, Jaynee#OR#4#OTHER#2008#43133#
Beilstein, Mike#OR#4#OTHER#2008#13162#[0.8301492285133267, 0.13013897018446888, 0.039711801302204336]
Schrader, Kurt#OR#5#DEM#2008#181577#
Erickson, Mike#OR#5#REP#2008#128297#
Bates, Sean#OR#5#OTHER#2008#6830#
Patterson, Douglas#OR#5#OTHER#2008#6558#
Polikoff, Alex#OR#5#OTHER#2008#5272#
Milligan, Steve#OR#5#LIB#2008#4814#[0.5447070328905528, 0.3848740655411162, 0.020489098479666894, 0.019673134382087187, 0.01581530412661843, 0.014441364579958482]
Brady, Robert A.#PA#1#DEM#2008#242799#
Muhammad, Mike#PA#1#REP#2008#24714#[0.9076157046573438, 0.09238429534265624]
Fattah, Chaka#PA#2#DEM#2008#276870#
Lang, Adam A.#PA#2#REP#2008#34466#[0.8892964514222577, 0.11070354857774238]
Dahlkemper, Kathy#PA#3#DEM#2008#146846#
English, Phil#PA#3#REP#2008#139757#[0.5123672815706745, 0.4876327184293256]
Altmire, Jason#PA#4#DEM#2008#186536#
Hart, Melissa#PA#4#REP#2008#147411#[0.5585796548554112, 0.44142034514458883]
Thompson, Glenn W.#PA#5#REP#2008#155513#
McCracken, Mark B.#PA#5#DEM#2008#112509#
Fryman, James#PA#5#LIB#2008#6155#[0.5671992909689726, 0.4103517071089114, 0.022449001922116005]
Gerlach, Jim#PA#6#REP#2008#179423#
Roggio, Bob#PA#6#DEM#2008#164952#[0.5210105263157895, 0.4789894736842105]
Sestak, Joe#PA#7#DEM#2008#209955#
Williams, W. Craig#PA#7#REP#2008#142362#[0.5959263958310271, 0.4040736041689728]
Murphy, Patrick J.#PA#8#DEM#2008#197869#
Manion, Tom#PA#8#REP#2008#145103#
Lingenfelter, Tom#PA#8#IND#2008#5543#[0.5677488773797398, 0.4163464987159807, 0.015904623904279585]
Shuster, Bill#PA#9#REP#2008#174951#
Barr, Tony#PA#9#DEM#2008#98735#[0.6392398588163077, 0.36076014118369226]
Carney, Christopher P.#PA#10#DEM#2008#160837#
Hackett, Chris#PA#10#REP#2008#124681#[0.5633164984344244, 0.43668350156557556]
Kanjorski, Paul E.#PA#11#DEM#2008#146379#
Barletta, Lou#PA#11#REP#2008#137151#[0.5162734102211406, 0.4837265897788594]
Murtha, John P.#PA#12#DEM#2008#155268#
Russell, William#PA#12#OTHER#2008#113120#[0.5785206492093536, 0.42147935079064636]
Schwartz, Allyson#PA#13#DEM#2008#196868#
Kats, Marina#PA#13#REP#2008#108271#
McDermott, John P.#PA#13#OTHER#2008#8374#[0.6279420630085515, 0.34534772082816345, 0.026710216163285096]
Doyle, Mike#PA#14#DEM#2008#242326#
North, Titus#PA#14#GRE#2008#23214#[0.9125781426527076, 0.08742185734729231]
Dent, Charles W.#PA#15#REP#2008#181433#
Bennett, Sam#PA#15#DEM#2008#128333#[0.5857098584092508, 0.4142901415907492]
Pitts, Joseph R.#PA#16#REP#2008#170329#
Slater, Bruce A.#PA#16#DEM#2008#120193#
Murphy, John A.#PA#16#IND#2008#11768#
Frank, Daniel#PA#16#OTHER#2008#2877#[0.5581501276350326, 0.39385975547814805, 0.038562492012570164, 0.00942762487424918]
Holden, Tim#PA#17#DEM#2008#192699#
Gilhooley, Toni#PA#17#REP#2008#109909#[0.6367941363083593, 0.36320586369164065]
Murphy, Tim#PA#18#REP#2008#213349#
O'Donnell, Steve#PA#18#DEM#2008#119661#[0.6406684483949431, 0.3593315516050569]
Platts, Todd#PA#19#REP#2008#218862#
Avillo, Philip J., Jr.#PA#19#DEM#2008#109533#[0.6664595989585712, 0.3335404010414288]
Kennedy, Patrick J.#RI#1#DEM#2008#145254#
Scott, Jonathan P.#RI#1#REP#2008#51340#
Capalbo, Kenneth A.#RI#1#IND#2008#15108#
Lanasse, David#RI#1#WRI#2008#29#
Blank#RI#1#WRI#2008#20#
The Jockey#RI#1#WRI#2008#20#
Chaffee, Lincoln#RI#1#WRI#2008#8#
Mouse, Mickey#RI#1#WRI#2008#5#[0.6858591772749594, 0.24241680202470442, 0.07133683375514675, 0.000136931968420655, 9.44358402901069e-05, 9.44358402901069e-05, 3.777433611604276e-05, 2.3608960072526726e-05]
Langevin, James R.#RI#2#DEM#2008#158416#
Zaccaria, Mark S.#RI#2#REP#2008#67433#
Blank#RI#2#WRI#2008#31#
The Jockey#RI#2#WRI#2008#17#
Driver, Rod#RI#2#WRI#2008#14#
Young, Christopher#RI#2#WRI#2008#6#
Mouse, Mickey#RI#2#WRI#2008#5#
Lawless, Jennifer#RI#2#WRI#2008#5#[0.7011822402811527, 0.29847251545853304, 0.00013721246243255565, 7.524554391462729e-05, 6.196691851792835e-05, 2.6557250793397866e-05, 2.2131042327831556e-05, 2.2131042327831556e-05]
Brown, Henry E., Jr.#SC#1#REP#2008#177540#
Ketner, Linda#SC#1#DEM#2008#163724#[0.5202423929860753, 0.4797576070139247]
Wilson, Joe#SC#2#REP#2008#184583#
Miller, Rob#SC#2#DEM#2008#158627#[0.5378135835202937, 0.4621864164797063]
Barrett, J. Gresham#SC#3#REP#2008#186799#
Dyer, Jane Ballard#SC#3#DEM#2008#101724#[0.6474319205054709, 0.352568079494529]
Inglis, Bob#SC#4#REP#2008#184440#
Corden, Paul#SC#4#DEM#2008#113291#
Walters, C. Faye#SC#4#GRE#2008#7332#[0.6045964276231467, 0.3713691925930054, 0.024034379783847926]
Spratt, John#SC#5#DEM#2008#188785#
Spencer, Albert F.#SC#5#REP#2008#113282#
Waggoner, Frank#SC#5#OTHER#2008#4093#[0.6166220276979357, 0.3700091455448132, 0.013368826757251111]
"""""""""""""""Clyburn, James E. """"""""""""""""Jim"""""""""""""""""""""""""""""""#SC#6#DEM#2008#193378#
Harrelson, Nancy#SC#6#REP#2008#93059#[0.6751152958591243, 0.32488470414087567]
Sandlin, Stephanie Herseth#SD#0#DEM#2008#256041#
Lien, Chris#SD#0#REP#2008#122966#[0.6755574435300667, 0.32444255646993325]
Roe, Phil#TN#1#REP#2008#168343#
Russell, Rob#TN#1#DEM#2008#57525#
Goodman, Joel#TN#1#OTHER#2008#3988#
Reeves, James W.#TN#1#IND#2008#2544#
Owens, Thomas (T.K.)#TN#1#IND#2008#1981#[0.7182450795926291, 0.24543371689684745, 0.01701503108187097, 0.010854122134473357, 0.008452050294179135]
Duncan, Jr., John J.#TN#2#REP#2008#227120#
Scott, Bob#TN#2#DEM#2008#63639#[0.7811280132343281, 0.2188719867656719]
Wamp, Zach#TN#3#REP#2008#184964#
Vandagriff, Doug#TN#3#DEM#2008#73059#
Howard-Hill, Jean#TN#3#IND#2008#4848#
Choate, Ed#TN#3#IND#2008#3750#
Griffin, June#TN#3#WRI#2008#7#[0.6937155887603702, 0.2740109815923309, 0.018182636482289932, 0.01406453935820694, 2.6253806801986287e-05]
Davis, Lincoln#TN#4#DEM#2008#146776#
Lankford, Monty J.#TN#4#REP#2008#94447#
Gray, James Anthony#TN#4#IND#2008#4869#
Ragsdale, Kevin#TN#4#IND#2008#3713#[0.5875622985929024, 0.3780829046656392, 0.019491203138447988, 0.014863593603010348]
Cooper, Jim#TN#5#DEM#2008#181467#
Donovan, Gerard#TN#5#REP#2008#85471#
Jackson, Jon#TN#5#IND#2008#5464#
Miglietta, John P.#TN#5#IND#2008#3196#
Kovach, Thomas F.#TN#5#WRI#2008#4#[0.6584386180071262, 0.3101247451034463, 0.019825690669879027, 0.011596432536774044, 1.4513682774435599e-05]
Gordon, Bart#TN#6#DEM#2008#194264#
Baker, Chris#TN#6#IND#2008#66764#[0.7442266730005976, 0.25577332699940236]
Blackburn, Marsha#TN#7#REP#2008#217332#
Morris, Randy G.#TN#7#DEM#2008#99549#[0.685847368570536, 0.31415263142946404]
Tanner, John#TN#8#DEM#2008#180465#
Hart, James#TN#8#OTHER#2008#54#[0.9997008625130873, 0.00029913748691273495]
Cohen, Steve#TN#9#DEM#2008#198798#
Ford, Jake#TN#9#IND#2008#11003#
Clark, Dewey#TN#9#IND#2008#10047#
"""""""""""""""Wright, Mary """"""""""""""""Taylor Shelby"""""""""""""""""""""""""""""""#TN#9#IND#2008#6434#[0.878540935646671, 0.04862516682723327, 0.04440035000574504, 0.028433547520350714]
Gohmert, Louie#TX#1#REP#2008#189012#
Owen, Roger L.#TX#1#IND#2008#26814#[0.8757610297183842, 0.12423897028161575]
Poe, Ted#TX#2#REP#2008#175101#
Wolfe, Craig#TX#2#LIB#2008#21813#[0.8892257533745697, 0.1107742466254304]
Johnson, Sam#TX#3#REP#2008#170742#
Daley, Tom#TX#3#DEM#2008#108693#
Claytor, Christopher J.#TX#3#LIB#2008#6348#[0.597453312478349, 0.3803340296658654, 0.022212657855785682]
Hall, Ralph M.#TX#4#REP#2008#206906#
Melancon, Glenn#TX#4#DEM#2008#88067#
Annett, Fred#TX#4#LIB#2008#5771#[0.6879804750884473, 0.29283044715771556, 0.01918907775383715]
Hensarling, Jeb#TX#5#REP#2008#162894#
Ashby, Ken#TX#5#LIB#2008#31967#[0.8359497282678422, 0.1640502717321578]
Barton, Joe#TX#6#REP#2008#174008#
Otto, Ludwig#TX#6#DEM#2008#99919#
Koch, Max W., III#TX#6#LIB#2008#6655#[0.6201680792067916, 0.3561133643640718, 0.02371855642913658]
Culberson, John#TX#7#REP#2008#162635#
Skelly, Michael#TX#7#DEM#2008#123242#
Parks, Drew#TX#7#LIB#2008#5057#[0.5590099472732647, 0.423608103556133, 0.017381949170602266]
Brady, Kevin#TX#8#REP#2008#207128#
Hargett, Kent#TX#8#DEM#2008#70758#
Stevens, Brian#TX#8#LIB#2008#7565#[0.725616655748272, 0.24788142273104666, 0.02650192152068131]
Green, Al#TX#9#DEM#2008#143868#
Walters, Brad#TX#9#LIB#2008#9760#[0.936469914338532, 0.06353008566146796]
McCaul, Michael T.#TX#10#REP#2008#179493#
Doherty, Larry Joe#TX#10#DEM#2008#143719#
Finkel, Matt#TX#10#LIB#2008#9871#[0.5388837016599466, 0.4314810422627393, 0.029635256077314064]
Conaway, Mike#TX#11#REP#2008#189625#
Strohm, John R.#TX#11#LIB#2008#25051#[0.8833078686019863, 0.11669213139801375]
Granger, Kay#TX#12#REP#2008#181662#
Smith, Tracey#TX#12#DEM#2008#82250#
Shambaugh, Shiloh Sidney#TX#12#LIB#2008#4842#[0.6759415673813227, 0.30604195658483224, 0.018016476033845076]
Thornberry, Mac#TX#13#REP#2008#180078#
Waun, Roger James#TX#13#DEM#2008#51841#[0.7764693707716919, 0.22353062922830816]
Paul, Ron#TX#14#REP#2008#191293#[1.0]
Hinojosa, Rubén#TX#15#DEM#2008#107578#
Zamora, Eddie#TX#15#REP#2008#52303#
Raether, Gricha#TX#15#LIB#2008#3827#[0.6571334326972414, 0.3194895790065238, 0.02337698829623476]
Reyes, Silvestre#TX#16#DEM#2008#130375#
"""""""""""""""Mendoza, Benjamin Eloy """"""""""""""""Ben"""""""""""""""""""""""""""""""#TX#16#IND#2008#16348#
Baker, Mette A.#TX#16#LIB#2008#12000#[0.8213995451194849, 0.10299704516673702, 0.07560340971377809]
Edwards, Chet#TX#17#DEM#2008#134592#
Curnock, Rob#TX#17#REP#2008#115581#
Osborne, Gardner C.#TX#17#LIB#2008#3849#[0.5298438717906323, 0.45500389730023383, 0.015152230909133854]
Lee, Sheila Jackson#TX#18#DEM#2008#148617#
Faulk, John#TX#18#REP#2008#39095#
Taylor, Mike#TX#18#LIB#2008#4486#[0.7732494614928355, 0.20341002507830466, 0.023340513428859823]
Neugebauer, Randy#TX#19#REP#2008#168501#
Fullingim, Dwight#TX#19#DEM#2008#58030#
"""""""""""""""Peterson, Richard """"""""""""""""Chip"""""""""""""""""""""""""""""""#TX#19#LIB#2008#6080#[0.7243896462334112, 0.24947229494735845, 0.02613805881923039]
Gonzalez, Charles A.#TX#20#DEM#2008#127298#
Litoff, Robert#TX#20#REP#2008#44585#
Idrogo, Michael#TX#20#LIB#2008#5172#[0.7189743300104487, 0.2518144079523312, 0.029211262037220073]
Smith, Lamar#TX#21#REP#2008#243471#
Strohm, James Arthur#TX#21#LIB#2008#60879#[0.7999704287826516, 0.20002957121734843]
Olson, Pete#TX#22#REP#2008#161996#
Lampson, Nick#TX#22#DEM#2008#140160#
Wieder, John#TX#22#LIB#2008#6839#[0.524267382967362, 0.4535995728086215, 0.02213304422401657]
Rodriguez, Ciro D.#TX#23#DEM#2008#134090#
Larson, Lyle#TX#23#REP#2008#100799#
Connolly, Lani#TX#23#LIB#2008#5581#[0.5576163346779224, 0.41917494905809455, 0.023208716263983034]
Marchant, Kenny E.#TX#24#REP#2008#151434#
Love, Tom#TX#24#DEM#2008#111089#
Casey, David A.#TX#24#LIB#2008#7972#[0.5598402927965397, 0.4106878130834211, 0.02947189412003919]
Doggett, Lloyd#TX#25#DEM#2008#191755#
Morovich, George L.#TX#25#REP#2008#88693#
Stutsman, Jim#TX#25#LIB#2008#10848#[0.6582822970449302, 0.30447723278040206, 0.037240470174667695]
Burgess, Michael C.#TX#26#REP#2008#195181#
Leach, Ken#TX#26#DEM#2008#118167#
Weiss, Stephanie B.#TX#26#LIB#2008#11028#[0.6017122105211237, 0.3642902064271093, 0.03399758305176709]
Ortiz, Solomon P.#TX#27#DEM#2008#104864#
Vaden, William Willie#TX#27#REP#2008#69458#
Powell, Robert E.#TX#27#LIB#2008#6629#[0.5795160015694857, 0.3838497714850982, 0.03663422694541616]
Cuellar, Henry#TX#28#DEM#2008#123494#
Fish, Jim#TX#28#REP#2008#52524#
Leone, Ross Lynn#TX#28#LIB#2008#3722#[0.6870702125292089, 0.29222209858684767, 0.020707688883943472]
Green, Gene#TX#29#DEM#2008#79718#
Story, Eric#TX#29#REP#2008#25512#
Grace, Joel#TX#29#LIB#2008#1564#[0.7464651572185703, 0.23888982527108266, 0.014645017510347023]
Johnson, Eddie Bernice#TX#30#DEM#2008#168249#
Wood, Fred#TX#30#REP#2008#32361#
Woods, Jarrett#TX#30#LIB#2008#3366#[0.8248470408283327, 0.1586510177667961, 0.01650194140487116]
Carter, John#TX#31#REP#2008#175563#
Ruiz, Brian P.#TX#31#DEM#2008#106559#
Cooper, Barry N.#TX#31#LIB#2008#9182#[0.6026796748414028, 0.36579998901491223, 0.03152033614368495]
Sessions, Pete#TX#32#REP#2008#116283#
Roberson, Eric#TX#32#DEM#2008#82406#
Bischoff, Alex#TX#32#LIB#2008#4421#[0.5725124316872631, 0.40572103786125746, 0.021766530451479495]
Bishop, Rob#UT#1#REP#2008#196799#
Bowen, Morgan#UT#1#DEM#2008#92469#
Pearson, Kirk D.#UT#1#OTHER#2008#7397#
Buchman, Joseph Geddes#UT#1#LIB#2008#6780#[0.6485491604738914, 0.3047306760697985, 0.024376740430720557, 0.02234342302558948]
Matheson, Jim#UT#2#DEM#2008#220666#
Dew, Bill#UT#2#REP#2008#120083#
Arndt, Mathew#UT#2#LIB#2008#4576#
Emery, Dennis Ray#UT#2#OTHER#2008#3000#[0.6335060647383909, 0.344744132634752, 0.013137156391301228, 0.008612646235555875]
Chaffetz, Jason#UT#3#REP#2008#187035#
Spencer, Bennion L.#UT#3#DEM#2008#80626#
Noorlander, Jim#UT#3#OTHER#2008#17408#[0.6561043115877209, 0.2828297710378891, 0.06106591737439006]
Welch, Peter#VT#0#OTHER#2008#248203#
Bethel, Mike#VT#0#IND#2008#14349#
Trudell, Jerry#VT#0#OTHER#2008#10818#
Hermann, Thomas J.#VT#0#OTHER#2008#9081#
Ericson, Cris#VT#0#IND#2008#7841#
Newton, Jane#VT#0#OTHER#2008#5307#[0.8396611625885068, 0.04854211279469822, 0.03659687617346473, 0.030720672262084785, 0.026525800154939633, 0.01795337602630591]
"""""""""""""""Wittman, Robert J. """"""""""""""""Rob"""""""""""""""""""""""""""""""#VA#1#REP#2008#203839#
Day, Bill S., Jr.#VA#1#DEM#2008#150432#
Larson, Nathan D.#VA#1#LIB#2008#5265#[0.5669501802322994, 0.41840594544079035, 0.01464387432691024]
Nye, Glenn C., III#VA#2#DEM#2008#141857#
Drake, Thelma D.#VA#2#REP#2008#128486#[0.5247296952390111, 0.4752703047609888]
"""""""""""""""Scott, Robert C. """"""""""""""""Bobby"""""""""""""""""""""""""""""""#VA#3#DEM#2008#239911#[1.0]
Forbes, J. Randy#VA#4#REP#2008#199075#
Miller, Andrea R.#VA#4#DEM#2008#135041#[0.5958260005507069, 0.40417399944929305]
Perriello, Tom S. P.#VA#5#DEM#2008#158810#
Goode, Virgil H., Jr.#VA#5#REP#2008#158083#[0.5011470748801646, 0.4988529251198354]
"""""""""""""""Goodlatte, R. W. """"""""""""""""Bob"""""""""""""""""""""""""""""""#VA#6#REP#2008#192350#
"""""""""""""""Rasoul, S. """"""""""""""""Sam"""""""""""""""""""""""""""""""#VA#6#DEM#2008#114367#
Allen, Janice Lee#VA#6#IND#2008#5413#[0.6162496395732547, 0.36640822734117195, 0.01734213308557332]
Cantor, Eric I.#VA#7#REP#2008#233531#
Hartke, Anita#VA#7#DEM#2008#138123#[0.6283559439693909, 0.3716440560306091]
"""""""""""""""Moran, James P. """"""""""""""""Jim,"""""""""""""""" Jr."""""""""""""""#VA#8#DEM#2008#222986#
Ellmore, Mark W.#VA#8#REP#2008#97425#
Fisher, J. Ron#VA#8#OTHER#2008#6829#[0.6814142525363648, 0.2977172717271727, 0.020868475736462534]
Boucher, Rick C.#VA#9#DEM#2008#207306#[1.0]
Wolf, Frank R.#VA#10#REP#2008#223140#
Feder, Judy M.#VA#10#DEM#2008#147357#
Nigam, Neeraj C.#VA#10#IND#2008#8457#[0.5888313621178296, 0.3888519450909609, 0.022316692791209486]
"""""""""""""""Connolly, Gerald E. """"""""""""""""Gerry"""""""""""""""""""""""""""""""#VA#11#DEM#2008#196598#
Fimian, Keith S.#VA#11#REP#2008#154758#
Oddo, Joseph P.#VA#11#OTHER#2008#7271#[0.5481963153917581, 0.4315291375161379, 0.020274547092104054]
Inslee, Jay#WA#1#DEM#2008#233780#
Ishmael, Larry#WA#1#OTHER#2008#111240#[0.677583908179236, 0.32241609182076403]
Larsen, Rick#WA#2#DEM#2008#217416#
Bart, Rick#WA#2#REP#2008#131051#[0.6239213469281166, 0.37607865307188343]
Baird, Brian#WA#3#DEM#2008#216701#
Delavar, Michael#WA#3#REP#2008#121828#[0.6401253659213834, 0.3598746340786166]
Hastings, Doc#WA#4#REP#2008#169940#
Fearing, George#WA#4#DEM#2008#99430#[0.6308794594795263, 0.3691205405204737]
Rodgers, Cathy McMorris#WA#5#REP#2008#211305#
Mays, Mark#WA#5#DEM#2008#112382#[0.6528065693092401, 0.3471934306907599]
Dicks, Norm#WA#6#DEM#2008#205991#
Cloud, Doug#WA#6#REP#2008#102081#[0.6686456412786621, 0.3313543587213379]
McDermott, Jim#WA#7#DEM#2008#291963#
Beren, Steve#WA#7#REP#2008#57054#[0.8365294527200681, 0.16347054727993193]
Reichert, Dave#WA#8#REP#2008#191568#
Burner, Darcy#WA#8#DEM#2008#171358#[0.5278431415770708, 0.4721568584229292]
Smith, Adam#WA#9#DEM#2008#176295#
Postma, James#WA#9#REP#2008#93080#[0.6544593967517401, 0.34554060324825986]
Mollohan, Alan B.#WV#1#DEM#2008#187734#
Osgood, Ted#WV#1#WRI#2008#69#
Smith, R. J.#WV#1#WRI#2008#61#[0.9993080100498233, 0.0003672869735553379, 0.00032470297662138566]
Capito, Shelley Moore#WV#2#REP#2008#147334#
Barth, Anne#WV#2#DEM#2008#110819#
Mills, Aaron#WV#2#WRI#2008#16#[0.5706881926180137, 0.42924983247407705, 6.197490790916027e-05]
Rahall, Nick Joe, II#WV#3#DEM#2008#133522#
Gearheart, Marty#WV#3#REP#2008#66005#[0.6691926405950072, 0.3308073594049928]
Ryan, Paul#WI#1#REP#2008#231009#
Krupp, Marge#WI#1#DEM#2008#125268#
Kexel, Joseph#WI#1#LIB#2008#4606#[0.6401215906540347, 0.3471152700459706, 0.012763139299994735]
Baldwin, Tammy#WI#2#DEM#2008#277914#
Theron, Peter#WI#2#REP#2008#122513#[0.694044107914801, 0.3059558920851991]
Kind, Ron#WI#3#DEM#2008#225208#
Stark, Paul#WI#3#REP#2008#122760#
Barrett, Kevin#WI#3#LIB#2008#8236#[0.6322444441948996, 0.3446339737902999, 0.023121582014800506]
Moore, Gwendolynne#WI#4#DEM#2008#222728#
LaForest, Michael D.#WI#4#IND#2008#29282#[0.8838061981667394, 0.11619380183326058]
Sensenbrenner, F. James, Jr.#WI#5#REP#2008#275271#
Raymond, Robert R.#WI#5#IND#2008#69715#[0.7979193358571073, 0.20208066414289275]
Petri, Tom#WI#6#REP#2008#221875#
Kittelson, Roger A.#WI#6#DEM#2008#126090#[0.6376359691348268, 0.3623640308651732]
Obey, David R.#WI#7#DEM#2008#212666#
Mielke, Dan#WI#7#REP#2008#136938#[0.6083053969634215, 0.39169460303657855]
Kagen, Steve#WI#8#DEM#2008#193662#
Gard, John#WI#8#REP#2008#164621#[0.540528018354206, 0.45947198164579395]
Lummis, Cynthia M.#WY#0#REP#2008#131244#
Trauner, Gary#WY#0#DEM#2008#106758#
Herbert, W. David#WY#0#LIB#2008#11030#[0.5270166083073661, 0.42869189501750776, 0.04429149667512609]
Bonner, Jo#AL#1#REP#2010#129063#
Walter, David#AL#1#OTHER#2010#26357#[0.8304143610860893, 0.16958563891391068]
Roby, Martha#AL#2#REP#2010#111645#
Bright, Bobby#AL#2#DEM#2010#106865#[0.5109377145210745, 0.48906228547892544]
Rogers, Mike#AL#3#REP#2010#117736#
Segrest, Steve#AL#3#DEM#2010#80204#[0.59480650702233, 0.40519349297767]
Aderholt, Robert#AL#4#REP#2010#167714#[1.0]
Brooks, Mo#AL#5#REP#2010#131109#
Raby, Steve#AL#5#DEM#2010#95192#[0.5793566974958131, 0.4206433025041869]
Bachus, Spencer#AL#6#REP#2010#205288#[1.0]
Sewell, Terri A.#AL#7#DEM#2010#136696#
Chamberlain, Don#AL#7#REP#2010#51890#[0.724847019396986, 0.275152980603014]
Young, Don#AK#0#REP#2010#175384#
Crawford, Harry T., Jr.#AK#0#DEM#2010#77606#[0.69324479228428, 0.30675520771572]
Gosar, Paul#AZ#1#REP#2010#112816#
Kirkpatrick, Ann#AZ#1#DEM#2010#99233#
Patti, Nicole#AZ#1#OTHER#2010#14869#[0.49716637728166124, 0.4373077499361003, 0.06552587278223852]
Franks, Trent#AZ#2#REP#2010#173173#
Thrasher, John#AZ#2#DEM#2010#82891#
Gammill, Powell#AZ#2#LIB#2010#10820#
William, Crum#AZ#2#WRI#2010#8#
Rankin, Mark#AZ#2#WRI#2010#2#[0.6488456091182268, 0.3105764835477755, 0.04054043927551762, 2.997444678411654e-05, 7.493611696029135e-06]
Quayle, Ben#AZ#3#REP#2010#108689#
Hulburd, Jon#AZ#3#DEM#2010#85610#
Shoen, Michael#AZ#3#LIB#2010#10478#
Clark, Leonard#AZ#3#OTHER#2010#3294#[0.5223649619601002, 0.4114460929202051, 0.05035781055505092, 0.0158311345646438]
Pastor, Ed#AZ#4#DEM#2010#61524#
Contreras, Janet#AZ#4#REP#2010#25300#
Cobb, Joe#AZ#4#LIB#2010#2718#
Dewitt, Rebecca#AZ#4#GRE#2010#2365#[0.6694158225162392, 0.2752782704255389, 0.02957337308366066, 0.025732533974561243]
Schweikert, David#AZ#5#REP#2010#110374#
Mitchell, Harry#AZ#5#DEM#2010#91749#
Coons, Nick#AZ#5#LIB#2010#10127#[0.5200188457008245, 0.4322685512367491, 0.04771260306242638]
Flake, Jeff#AZ#6#REP#2010#165649#
Schneider, Rebecca#AZ#6#DEM#2010#72615#
Tapp, Darell#AZ#6#OTHER#2010#7712#
Grayson, Richard#AZ#6#OTHER#2010#3407#[0.6642353328013537, 0.29117862885601664, 0.030924321224782763, 0.013661717117846845]
Grijalva, Raúl M.#AZ#7#DEM#2010#79935#
McClung, Ruth#AZ#7#REP#2010#70385#
Myer, Harley#AZ#7#IND#2010#4506#
Keane, George#AZ#7#LIB#2010#4318#[0.50228095309908, 0.4422724073794802, 0.028313979791886594, 0.02713265972955311]
Giffords, Gabrielle#AZ#8#DEM#2010#138280#
Kelly, Jesse#AZ#8#REP#2010#134124#
Stoltz, Steven#AZ#8#LIB#2010#11174#[0.4876259794483352, 0.4729703996783954, 0.039403620873269436]
Crawford, Rick#AR#1#REP#2010#93224#
Causey, Chad#AR#1#DEM#2010#78267#
Adler, Ken#AR#1#GRE#2010#8320#
Higgins, Mickey#AR#1#WRI#2010#196#[0.517890970906687, 0.43479975778719715, 0.04622042476125929, 0.001088846544856589]
Griffin, Tim#AR#2#REP#2010#122091#
